id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,out,foul_won,off_camera,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble,block,foul_committed,ball_recovery,substitution,related_events,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,pass_type_id,pass_type_name,related_events_2,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_end_location_2,shot_first_time,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,pass_switch,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball
d81fdece-d0f2-41d9-9add-943171859ba0,2102,2,00:03:56.175,48,56,42,Ball Receipt*,102,217,Barcelona,1,Regular Play,217,Barcelona,,,228fc017-4f17-4f1c-bdb6-09b27c21cab3,5470,Ivan Rakitić,13,Right Center Midfield,33.3,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d25a38-e752-410c-be65-991f4621c181,2103,2,00:03:56.175,48,56,30,Pass,102,217,Barcelona,1,Regular Play,217,Barcelona,1.1347,,79e24269-0f4d-41bc-bb5b-27d7606e9dc4,5470,Ivan Rakitić,13,Right Center Midfield,33.9,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,16.641214,-2.6537561,1.0,Ground Pass,19.2,67.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79e24269-0f4d-41bc-bb5b-27d7606e9dc4,2104,2,00:03:57.310,48,57,42,Ball Receipt*,102,217,Barcelona,1,Regular Play,217,Barcelona,,,97d25a38-e752-410c-be65-991f4621c181,4324,Daniel Alves da Silva,2,Right Back,19.2,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f97fe4d-f245-4ed8-bfc2-824700dd5354,2105,2,00:03:57.310,48,57,30,Pass,102,217,Barcelona,1,Regular Play,217,Barcelona,1.349653,,080e4eca-9f41-4ddb-8599-f17591cc4ba5,4324,Daniel Alves da Silva,2,Right Back,19.2,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,17.901117,-0.50113004,1.0,Ground Pass,34.9,59.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080e4eca-9f41-4ddb-8599-f17591cc4ba5,2106,2,00:03:58.660,48,58,42,Ball Receipt*,102,217,Barcelona,1,Regular Play,217,Barcelona,,,9f97fe4d-f245-4ed8-bfc2-824700dd5354,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,34.9,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4178505-170c-45cf-97fc-f0b34c5e807f,2107,2,00:03:58.660,48,58,43,Carry,102,217,Barcelona,1,Regular Play,217,Barcelona,1.607947,,080e4eca-9f41-4ddb-8599-f17591cc4ba5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,34.9,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e74cf728-b940-405d-9564-c3ce7dc96ff5,36.4,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e74cf728-b940-405d-9564-c3ce7dc96ff5,2108,2,00:04:00.268,49,0,30,Pass,102,217,Barcelona,1,Regular Play,217,Barcelona,1.4796,,3e687062-277c-44ee-94c1-5ea1af0666c7,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,36.4,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,33.659027,-0.7202274,1.0,Ground Pass,61.7,37.0,40.0,Right Foot,,,,,,,,,4a151624-de25-4f87-ac9f-a0ac48ca994c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e687062-277c-44ee-94c1-5ea1af0666c7,2109,2,00:04:01.747,49,1,42,Ball Receipt*,102,217,Barcelona,1,Regular Play,217,Barcelona,,,e74cf728-b940-405d-9564-c3ce7dc96ff5,4320,Neymar da Silva Santos Junior,21,Left Wing,61.7,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a06aaa8b-ea90-4462-8fda-56df093b734d,2110,2,00:04:01.747,49,1,43,Carry,102,217,Barcelona,1,Regular Play,217,Barcelona,5.6013,,3e687062-277c-44ee-94c1-5ea1af0666c7,4320,Neymar da Silva Santos Junior,21,Left Wing,61.7,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a151624-de25-4f87-ac9f-a0ac48ca994c,101.2,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a151624-de25-4f87-ac9f-a0ac48ca994c,2111,2,00:04:07.349,49,7,16,Shot,102,217,Barcelona,1,Regular Play,217,Barcelona,0.385127,,55bb839c-e819-4c8e-921d-773b4d3f5129,4320,Neymar da Silva Santos Junior,21,Left Wing,101.2,32.6,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06740473,120.0,16.2,e74cf728-b940-405d-9564-c3ce7dc96ff5,93.0,Normal,38.0,Left Foot,87.0,Open Play,101.0,Wayward,114.7,38.7,27457.0,Manuel Fernández Muñíz,1.0,Goalkeeper,False,103.3,33.1,23800.0,Laureano Sanabria Ruiz,2.0,Right Back,False,102.1,34.6,6777.0,Sidnei Rechel da Silva Júnior,3.0,Right Center Back,False,104.0,40.3,6913.0,Fernando Navarro i Corbacho,5.0,Left Center Back,False,100.1,34.7,23806.0,Alejandro Bergantiños García,13.0,Right Center Midfield,False,102.6,47.3,6738.0,Juan Francisco Moreno Fuertes,6.0,Left Back,False,100.8,39.2,6733.0,Pedro Mosquera Parada,10.0,Center Defensive Midfield,False,102.3,41.8,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,True,105.4,48.2,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
