id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,out,foul_won,off_camera,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble,block,foul_committed,ball_recovery,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_2,dribble_overrun,related_events,pass_assisted_shot_id,pass_goal_assist,dribble_no_touch,shot_one_on_one,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate
4d2deeca-2b21-439c-94dc-c043d614ab8f,3413,2,00:35:01.031,80,1,14,Dribble,141,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,e576ad7a-1e96-4c75-b120-1b9de6bdaba3,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,63.1,5.1,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e576ad7a-1e96-4c75-b120-1b9de6bdaba3,3414,2,00:35:01.031,80,1,4,Duel,141,217,Barcelona,7,From Goal Kick,219,RC Deportivo La Coruña,0.0,,4d2deeca-2b21-439c-94dc-c043d614ab8f,6733,Pedro Mosquera Parada,13,Right Center Midfield,57.0,75.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5656b190-3b63-4b42-a750-a0ba6bacd291,3415,2,00:35:01.031,80,1,43,Carry,141,217,Barcelona,7,From Goal Kick,219,RC Deportivo La Coruña,3.4182,,633d0b71-2d90-4f19-aedd-2ae3bd77bdb0,6733,Pedro Mosquera Parada,13,Right Center Midfield,57.0,75.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb811775-d80e-46cf-838b-98e519d2e5eb,63.1,68.8,,,,,,,e576ad7a-1e96-4c75-b120-1b9de6bdaba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633d0b71-2d90-4f19-aedd-2ae3bd77bdb0,3416,2,00:35:03.330,80,3,17,Pressure,141,217,Barcelona,7,From Goal Kick,217,Barcelona,0.989308,,5656b190-3b63-4b42-a750-a0ba6bacd291,4320,Neymar da Silva Santos Junior,21,Left Wing,61.5,16.8,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9236e575-8ae6-4638-986b-8c1de725baa8,3417,2,00:35:04.449,80,4,39,Dribbled Past,141,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,bb811775-d80e-46cf-838b-98e519d2e5eb,4320,Neymar da Silva Santos Junior,21,Left Wing,57.0,11.3,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb811775-d80e-46cf-838b-98e519d2e5eb,3418,2,00:35:04.449,80,4,14,Dribble,141,217,Barcelona,7,From Goal Kick,219,RC Deportivo La Coruña,0.0,,9236e575-8ae6-4638-986b-8c1de725baa8,6733,Pedro Mosquera Parada,13,Right Center Midfield,63.1,68.8,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211571ff-fd37-4fcb-9c76-a5498503bb92,3419,2,00:35:05.750,80,5,17,Pressure,141,217,Barcelona,7,From Goal Kick,219,RC Deportivo La Coruña,0.90967,,3db7ade2-f569-4cb6-aba7-204ddfaf82f6,6733,Pedro Mosquera Parada,13,Right Center Midfield,71.3,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3db7ade2-f569-4cb6-aba7-204ddfaf82f6,3420,2,00:35:06.588,80,6,30,Pass,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.730783,,211571ff-fd37-4fcb-9c76-a5498503bb92,22102,Adriano Correia Claro,6,Left Back,42.3,23.3,,,,True,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,24.865438,2.1933835,1.0,Ground Pass,27.8,43.5,40.0,Right Foot,66.0,Recovery,,e1098845-a157-4811-938b-745ab5e87232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1098845-a157-4811-938b-745ab5e87232,3421,2,00:35:08.319,80,8,42,Ball Receipt*,141,217,Barcelona,7,From Goal Kick,217,Barcelona,,,3db7ade2-f569-4cb6-aba7-204ddfaf82f6,7068,Marc Bartra Aregall,3,Right Center Back,27.8,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28e79899-a500-4df2-bfaa-0f4996319e5a,3422,2,00:35:08.319,80,8,43,Carry,141,217,Barcelona,7,From Goal Kick,217,Barcelona,1.586317,,238a6cb7-66bd-4bf3-9644-a79ed70f2a1b,7068,Marc Bartra Aregall,3,Right Center Back,27.8,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1098845-a157-4811-938b-745ab5e87232,28.0,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
