id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,pass,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,block_offensive,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name
1ad49008-cfba-4b8f-8cf7-071731a57c7f,663,1,00:15:30.702,15,30,17,Pressure,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.771361,,ea7663ae-6299-464c-92fb-1dac33323e55,9246,Patrick Ebert,19,Center Attacking Midfield,105.5,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf0be6f7-dfe9-486e-8024-c963c8980a4b,664,1,00:15:31.501,15,31,30,Pass,37,217,Barcelona,1,Regular Play,217,Barcelona,3.036454,,26de9f4d-d4b7-4d07-8caa-e53957cfd617,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.4,31.6,4320.0,Neymar da Silva Santos Junior,59.374153,-0.251923,3.0,High Pass,68.9,16.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,3ea6f75b-52c9-4eb7-95e4-40c7f288c09c,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26de9f4d-d4b7-4d07-8caa-e53957cfd617,665,1,00:15:34.537,15,34,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,217,Barcelona,,,cf0be6f7-dfe9-486e-8024-c963c8980a4b,4320,Neymar da Silva Santos Junior,21,Left Wing,67.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ea6f75b-52c9-4eb7-95e4-40c7f288c09c,666,1,00:15:34.537,15,34,30,Pass,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,1.494423,,118eacc2-d227-4e54-af47-a3158dc467b5,11298,José Ignacio Martínez García,2,Right Back,51.2,63.3,6852.0,Jozabed Sánchez Ruiz,21.83575,-0.14707835,2.0,Low Pass,72.8,60.1,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,cf0be6f7-dfe9-486e-8024-c963c8980a4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118eacc2-d227-4e54-af47-a3158dc467b5,667,1,00:15:36.032,15,36,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,,,3ea6f75b-52c9-4eb7-95e4-40c7f288c09c,6852,Jozabed Sánchez Ruiz,11,Left Defensive Midfield,72.8,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3e76598-dbc6-4ce5-a423-9ef14ef90efb,668,1,00:15:36.032,15,36,43,Carry,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,1.625057,,118eacc2-d227-4e54-af47-a3158dc467b5,6852,Jozabed Sánchez Ruiz,11,Left Defensive Midfield,72.8,60.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,b99fede8-5990-4836-ae12-10fb303971eb,70.6,60.9,e7c8e7f9-98b4-4419-b692-5fa35fbcc807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7c8e7f9-98b4-4419-b692-5fa35fbcc807,669,1,00:15:36.222,15,36,17,Pressure,37,217,Barcelona,1,Regular Play,217,Barcelona,1.545842,,b99fede8-5990-4836-ae12-10fb303971eb,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,43.9,20.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,e3e76598-dbc6-4ce5-a423-9ef14ef90efb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b99fede8-5990-4836-ae12-10fb303971eb,670,1,00:15:37.657,15,37,30,Pass,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.31128,,e1e0d3d4-ae26-446d-b8c7-f771f799204e,6852,Jozabed Sánchez Ruiz,11,Left Defensive Midfield,70.6,60.9,6713.0,Diego Javier Llorente Ríos,2.8071337,-3.070285,1.0,Ground Pass,67.8,60.7,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,e7c8e7f9-98b4-4419-b692-5fa35fbcc807,,,e9d8bfbc-5442-4080-ab7c-eb77ced7a89a,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1e0d3d4-ae26-446d-b8c7-f771f799204e,671,1,00:15:37.968,15,37,42,Ball Receipt*,37,217,Barcelona,1,Regular Play,360,Rayo Vallecano,,,b99fede8-5990-4836-ae12-10fb303971eb,6713,Diego Javier Llorente Ríos,3,Right Center Back,63.6,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d8bfbc-5442-4080-ab7c-eb77ced7a89a,672,1,00:15:37.968,15,37,10,Interception,37,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,b99fede8-5990-4836-ae12-10fb303971eb,5211,Jordi Alba Ramos,6,Left Back,52.3,19.4,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,
