id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,dribble,out,clearance,duel,ball_receipt,counterpress,miscontrol,off_camera,interception,ball_recovery,shot,goalkeeper,foul_committed,foul_won,substitution,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,miscontrol_aerial_won,pass_miscommunication,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_no_touch,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,clearance_head,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_first_time
7700a6ac-26e2-433b-bd01-c0b2044287d8,15,1,00:00:05.755,0,5,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.153906,,315c9420-1d47-45ea-a7a7-39b6f52b9d12,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,49.8,33.1,5211.0,Jordi Alba Ramos,26.112257,-1.601438,1.0,Ground Pass,49.0,7.0,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315c9420-1d47-45ea-a7a7-39b6f52b9d12,16,1,00:00:07.909,0,7,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,7700a6ac-26e2-433b-bd01-c0b2044287d8,5211,Jordi Alba Ramos,6,Left Back,49.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b87dfb3-4094-4d86-a60c-28c3eda72c27,17,1,00:00:07.909,0,7,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.0521,,315c9420-1d47-45ea-a7a7-39b6f52b9d12,5211,Jordi Alba Ramos,6,Left Back,49.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edc982f9-dcf7-4313-b6f5-8496adca3e97,43.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc982f9-dcf7-4313-b6f5-8496adca3e97,18,1,00:00:08.961,0,8,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.653983,,37d5a1e5-8de4-49ac-8df2-fb220e33f434,5211,Jordi Alba Ramos,6,Left Back,43.9,8.5,4691.0,Claudio Andrés Bravo Muñoz,33.443085,2.6083524,1.0,Ground Pass,15.1,25.5,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37d5a1e5-8de4-49ac-8df2-fb220e33f434,19,1,00:00:11.615,0,11,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,edc982f9-dcf7-4313-b6f5-8496adca3e97,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,15.1,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d296cd0-6974-402b-bcff-fa2a407213f0,20,1,00:00:11.615,0,11,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.946311,,22ae5af3-521d-4905-a6f6-ca007d7889eb,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,15.1,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37d5a1e5-8de4-49ac-8df2-fb220e33f434,14.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22ae5af3-521d-4905-a6f6-ca007d7889eb,21,1,00:00:12.562,0,12,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.7935,,46cda111-da1c-4248-bb20-93968eab48f2,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,14.5,25.1,5213.0,Gerard Piqué Bernabéu,30.51639,1.5380212,1.0,Ground Pass,15.5,55.6,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46cda111-da1c-4248-bb20-93968eab48f2,22,1,00:00:14.355,0,14,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,22ae5af3-521d-4905-a6f6-ca007d7889eb,5213,Gerard Piqué Bernabéu,3,Right Center Back,15.5,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f67d7a6e-750a-4dc8-a152-c661365bb4cc,23,1,00:00:14.355,0,14,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.3218,,07a7a474-2f59-4f19-8364-dca536640959,5213,Gerard Piqué Bernabéu,3,Right Center Back,15.5,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46cda111-da1c-4248-bb20-93968eab48f2,17.9,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07a7a474-2f59-4f19-8364-dca536640959,24,1,00:00:16.677,0,16,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.242843,,f833b335-d218-49e8-8109-479930843397,5213,Gerard Piqué Bernabéu,3,Right Center Back,17.9,56.8,5506.0,Javier Alejandro Mascherano,39.32493,-1.6778029,1.0,Ground Pass,13.7,17.7,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
