id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,duel,counterpress,ball_recovery,ball_receipt,interception,out,off_camera,dribble,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,shot,clearance,substitution,foul_committed,foul_won,block,bad_behaviour,50_50,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,pass_outcome_id,pass_outcome_name,related_events_1,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,carry_end_location_0,carry_end_location_1,related_events_2,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events_4,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,related_events,duel_type_id,duel_type_name,pass_aerial_won
c8300cbb-549c-4748-b63e-e7e99b51650f,3407,2,00:42:11.607,87,11,23,Goal Keeper,172,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,71a856eb-7757-4f27-8ca7-a1bfd5bcce71,20055,Marc-André ter Stegen,1,Goalkeeper,1.8,42.1,,,,,,,,,,,,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02b82277-e6ee-46e7-95e3-3f0934f8643c,3408,2,00:43:03.123,88,3,30,Pass,173,217,Barcelona,9,From Kick Off,217,Barcelona,0.574101,,347ab918-0b01-4af9-a218-559cbf76882b,5246,Luis Alberto Suárez Díaz,23,Center Forward,61.0,40.1,,,,,,,,,,True,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,2.3537204,-1.3567356,1.0,Ground Pass,61.5,37.8,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347ab918-0b01-4af9-a218-559cbf76882b,3409,2,00:43:03.697,88,3,42,Ball Receipt*,173,217,Barcelona,9,From Kick Off,217,Barcelona,,,02b82277-e6ee-46e7-95e3-3f0934f8643c,4320,Neymar da Silva Santos Junior,21,Left Wing,61.5,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e771233-2b66-455b-a241-32f9209a89a2,3410,2,00:43:04.111,88,4,30,Pass,173,217,Barcelona,9,From Kick Off,217,Barcelona,3.336092,,8d5c7ff4-eed8-44ef-b857-8e7c45980c2d,4320,Neymar da Silva Santos Junior,21,Left Wing,60.9,37.6,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,32.177166,-2.371578,1.0,Ground Pass,37.8,15.2,40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d5c7ff4-eed8-44ef-b857-8e7c45980c2d,3411,2,00:43:07.447,88,7,2,Ball Recovery,173,217,Barcelona,9,From Kick Off,208,Las Palmas,0.0,,1e771233-2b66-455b-a241-32f9209a89a2,7906,David Simón Rodríguez Santana,7,Right Wing Back,82.3,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b82a6a7-8f56-45b0-8c2d-fec54e7598e4,3412,2,00:43:08.242,88,8,30,Pass,173,217,Barcelona,9,From Kick Off,208,Las Palmas,0.499481,,600290ac-3072-45ae-8a6c-98ce0eb4c4c8,7906,David Simón Rodríguez Santana,7,Right Wing Back,82.3,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,6608.0,Nabil El Zhar,11.601724,-0.6262614,1.0,Ground Pass,91.7,59.0,40.0,Right Foot,,,,9.0,Incomplete,70343f14-93fa-4117-b469-8ee2d48dd7fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70343f14-93fa-4117-b469-8ee2d48dd7fa,3413,2,00:43:08.741,88,8,42,Ball Receipt*,173,217,Barcelona,9,From Kick Off,208,Las Palmas,,,5b82a6a7-8f56-45b0-8c2d-fec54e7598e4,6608,Nabil El Zhar,22,Right Center Forward,91.7,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600290ac-3072-45ae-8a6c-98ce0eb4c4c8,3414,2,00:43:08.741,88,8,10,Interception,173,217,Barcelona,9,From Kick Off,217,Barcelona,0.0,,5b82a6a7-8f56-45b0-8c2d-fec54e7598e4,22102,Adriano Correia Claro,6,Left Back,28.4,21.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ee961ae-52e9-45da-9100-9f04444025ff,3415,2,00:43:08.741,88,8,43,Carry,173,217,Barcelona,9,From Kick Off,217,Barcelona,0.6614,,600290ac-3072-45ae-8a6c-98ce0eb4c4c8,22102,Adriano Correia Claro,6,Left Back,28.4,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9816adaf-bede-4ed8-952a-fe40ff1ca660,,,,,32.7,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816adaf-bede-4ed8-952a-fe40ff1ca660,3416,2,00:43:09.403,88,9,3,Dispossessed,173,217,Barcelona,9,From Kick Off,217,Barcelona,0.0,,b63d6e57-f0ea-47e7-b6ea-a7a60072099c,22102,Adriano Correia Claro,6,Left Back,32.7,24.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
