id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events_1,pass_outcome_id,pass_outcome_name,pass_body_part_id,pass_body_part_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events,related_events_2,carry_end_location_0,carry_end_location_1,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_aerial_won,related_events_3,pass_technique_id,pass_technique_name,pass_through_ball,pass_cross,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_switch,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,block_save_block,goalkeeper_end_location_0,goalkeeper_end_location_1,shot_open_goal,shot_end_location_2,shot_first_time
181d9a4c-8630-4f05-a30c-807f80a115c2,2358,2,00:15:05.731,60,5,2,Ball Recovery,120,217,Barcelona,4,From Throw In,209,Celta Vigo,0.0,,,6805,Hugo Mallo Novegil,2,Right Back,1.8,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fc8bcd7-df67-48f4-b453-8c246f66ddce,2359,2,00:15:05.731,60,5,43,Carry,120,217,Barcelona,4,From Throw In,209,Celta Vigo,1.062797,,181d9a4c-8630-4f05-a30c-807f80a115c2,6805,Hugo Mallo Novegil,2,Right Back,1.8,74.3,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833603e4-2db5-48ce-8dce-2588d3a57b9b,,,,,,,,,,,,,,ee9fc0ce-3878-4df8-9b51-5dab5d3663e5,0.1,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833603e4-2db5-48ce-8dce-2588d3a57b9b,2360,2,00:15:06.068,60,6,17,Pressure,120,217,Barcelona,4,From Throw In,217,Barcelona,0.8042,,3fc8bcd7-df67-48f4-b453-8c246f66ddce,4320,Neymar da Silva Santos Junior,21,Left Wing,109.5,6.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ee9fc0ce-3878-4df8-9b51-5dab5d3663e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee9fc0ce-3878-4df8-9b51-5dab5d3663e5,2361,2,00:15:06.794,60,6,30,Pass,120,217,Barcelona,4,From Throw In,209,Celta Vigo,0.1288,,833603e4-2db5-48ce-8dce-2588d3a57b9b,6805,Hugo Mallo Novegil,2,Right Back,0.1,76.9,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,2.5179358,-0.119428925,3.0,High Pass,2.6,76.6,,,,aafe0424-32d8-401f-b8f3-631a92da996b,9.0,Incomplete,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aafe0424-32d8-401f-b8f3-631a92da996b,2362,2,00:15:06.922,60,6,6,Block,120,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,ee9fc0ce-3878-4df8-9b51-5dab5d3663e5,4320,Neymar da Silva Santos Junior,21,Left Wing,117.5,3.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e61a2d2-0bfc-4609-8ea5-08174efdcd58,2363,2,00:15:07.141,60,7,6,Block,120,217,Barcelona,4,From Throw In,209,Celta Vigo,0.0,,,6805,Hugo Mallo Novegil,2,Right Back,0.3,76.2,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689a8d3-7cee-46ca-bd3f-742eea9828a7,2364,2,00:15:20.002,60,20,19,Substitution,120,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,4324,Daniel Alves da Silva,2,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6400.0,Aleix Vidal Parreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d4ec80e-76e8-4c29-bc2b-3f6a44584523,2365,2,00:15:48.059,60,48,19,Substitution,120,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,6379,Sergi Roberto Carnicer,13,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,5470.0,Ivan Rakitić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b367b0ae-1d39-4fcc-92c7-20f71207efa9,2366,2,00:15:54.170,60,54,30,Pass,121,217,Barcelona,4,From Throw In,217,Barcelona,1.9383,,55f16a28-d194-4689-afd3-20a75c13d692,5211,Jordi Alba Ramos,6,Left Back,111.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,16.211723,1.9432845,2.0,Low Pass,105.5,15.2,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a72912a4-7743-4aa0-8475-3de315d41470,2367,2,00:15:54.828,60,54,17,Pressure,121,217,Barcelona,4,From Throw In,209,Celta Vigo,1.404755,,55f16a28-d194-4689-afd3-20a75c13d692,6794,Gustavo Daniel Cabral Cáceres,3,Right Center Back,8.1,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c44a6f1e-31b0-4137-829d-bf9a7b7d1f3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
