id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,dribble,out,clearance,duel,ball_receipt,counterpress,miscontrol,off_camera,interception,ball_recovery,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed,foul_won,substitution,block,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,related_events,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events_4,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_miscommunication,location,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,shot_freeze_frame_17_location_0,shot_freeze_frame_17_location_1,shot_freeze_frame_17_player_id,shot_freeze_frame_17_player_name,shot_freeze_frame_17_position_id,shot_freeze_frame_17_position_name,shot_freeze_frame_17_teammate,interception_outcome_id,interception_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cross,clearance_right_foot,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_goal_assist,pass_through_ball,shot_one_on_one
c219d325-8495-4e3d-80f3-0d1885bc563e,1157,1,00:25:02.762,25,2,42,Ball Receipt*,57,217,Barcelona,1,Regular Play,217,Barcelona,,,29bb1c56-6dfa-4d96-933f-2ef3decaee3f,5246,Luis Alberto Suárez Díaz,23,Center Forward,24.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6aa34b8d-227e-4638-a862-427f5094ae7f,1158,1,00:25:02.762,25,2,43,Carry,57,217,Barcelona,1,Regular Play,217,Barcelona,1.095067,,053d5212-3891-4c8b-9b78-7af51cdeb24f,5246,Luis Alberto Suárez Díaz,23,Center Forward,24.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,c219d325-8495-4e3d-80f3-0d1885bc563e,,,,,,,,,,,,,,28.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053d5212-3891-4c8b-9b78-7af51cdeb24f,1159,1,00:25:03.857,25,3,30,Pass,57,217,Barcelona,1,Regular Play,217,Barcelona,0.9051,,c2b0a656-e55c-41be-86e0-fdc9dac774ca,5246,Luis Alberto Suárez Díaz,23,Center Forward,28.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,9.688137,2.9441972,1.0,Ground Pass,18.7,5.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9708fa39-5746-47c3-a6c1-14cbe441ea18,1160,1,00:25:04.741,25,4,17,Pressure,57,217,Barcelona,1,Regular Play,220,Real Madrid,0.3876,,18f83787-eee1-4390-84e5-9ff6efbad42a,6399,Gareth Frank Bale,19,Center Attacking Midfield,97.6,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,c2b0a656-e55c-41be-86e0-fdc9dac774ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2b0a656-e55c-41be-86e0-fdc9dac774ca,1161,1,00:25:04.762,25,4,42,Ball Receipt*,57,217,Barcelona,1,Regular Play,217,Barcelona,,,053d5212-3891-4c8b-9b78-7af51cdeb24f,5211,Jordi Alba Ramos,6,Left Back,18.7,5.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,9708fa39-5746-47c3-a6c1-14cbe441ea18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18f83787-eee1-4390-84e5-9ff6efbad42a,1162,1,00:25:04.762,25,4,30,Pass,57,217,Barcelona,1,Regular Play,217,Barcelona,1.162473,,528d6e64-e916-49ca-9e2d-1dd0b4d6e99a,5211,Jordi Alba Ramos,6,Left Back,18.3,5.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,9708fa39-5746-47c3-a6c1-14cbe441ea18,5506.0,Javier Alejandro Mascherano,11.637869,1.903416,1.0,Ground Pass,14.5,16.1,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528d6e64-e916-49ca-9e2d-1dd0b4d6e99a,1163,1,00:25:05.924,25,5,42,Ball Receipt*,57,217,Barcelona,1,Regular Play,217,Barcelona,,,18f83787-eee1-4390-84e5-9ff6efbad42a,5506,Javier Alejandro Mascherano,5,Left Center Back,14.5,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc51bba8-8f55-4eea-bff7-8969b684cbad,1164,1,00:25:05.924,25,5,30,Pass,57,217,Barcelona,1,Regular Play,217,Barcelona,1.1104,,2943759c-9ca2-4cf5-8b0e-60a30dd283dc,5506,Javier Alejandro Mascherano,5,Left Center Back,14.9,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,21.513252,-0.4781996,1.0,Ground Pass,34.0,4.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943759c-9ca2-4cf5-8b0e-60a30dd283dc,1165,1,00:25:07.035,25,7,42,Ball Receipt*,57,217,Barcelona,1,Regular Play,217,Barcelona,,,cc51bba8-8f55-4eea-bff7-8969b684cbad,5246,Luis Alberto Suárez Díaz,23,Center Forward,34.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affe0d4d-037c-4319-8b5b-6e78ae6c529f,1166,1,00:25:07.035,25,7,30,Pass,57,217,Barcelona,1,Regular Play,217,Barcelona,2.1766,,daf449f5-f352-4e04-8924-c128f000d198,5246,Luis Alberto Suárez Díaz,23,Center Forward,34.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.595602,1.4361029,3.0,High Pass,37.6,25.9,40.0,Right Foot,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
