id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,duel,carry,ball_receipt,interception,counterpress,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,dribble,clearance,out,miscontrol,foul_committed,foul_won,shot,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_type_id,pass_type_name,pass_switch,ball_recovery_recovery_failure,pass_cross,pass_aerial_won,clearance_right_foot,foul_committed_penalty,foul_won_penalty,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name
46462c8f-a030-46af-ae58-c8bc7d632433,2413,2,00:11:31.252,56,31,23,Goal Keeper,129,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,d67d2255-b408-4267-9df3-f6f02cc7527e,,20055,Marc-André ter Stegen,1,Goalkeeper,4.9,37.8,,,,,,,,44.0,Set,45.0,Diving,15.0,Success,35.0,Both Hands,33.0,Shot Saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b3c6217-e5e3-4b18-bff2-0060e35f468e,2414,2,00:11:46.885,56,46,30,Pass,130,217,Barcelona,8,From Keeper,217,Barcelona,2.383286,,cd0ca0d3-4d0a-48df-81d4-f04390325bfb,True,20055,Marc-André ter Stegen,1,Goalkeeper,9.5,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,36.84522,-0.66032904,1.0,Ground Pass,38.6,10.2,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd0ca0d3-4d0a-48df-81d4-f04390325bfb,2415,2,00:11:49.268,56,49,42,Ball Receipt*,130,217,Barcelona,8,From Keeper,217,Barcelona,,,1b3c6217-e5e3-4b18-bff2-0060e35f468e,,22102,Adriano Correia Claro,6,Left Back,38.6,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053ca937-1faa-4ba1-b32e-c98b7ca6139b,2416,2,00:11:52.461,56,52,30,Pass,131,217,Barcelona,1,Regular Play,217,Barcelona,1.061793,,161541f0-844c-4bf2-a915-392c8c1f33b7,,22102,Adriano Correia Claro,6,Left Back,55.3,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,13.868309,-0.892677,1.0,Ground Pass,64.0,4.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f8fa379-a3f2-4f46-b899-e5f5a07357d8,2417,2,00:11:53.031,56,53,17,Pressure,131,217,Barcelona,1,Regular Play,221,Levante UD,4.858057,,161541f0-844c-4bf2-a915-392c8c1f33b7,,8801,Iván López Mendoza,7,Right Wing Back,48.9,71.6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab454a35-05c9-4be3-9402-d394093b5140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161541f0-844c-4bf2-a915-392c8c1f33b7,2418,2,00:11:53.523,56,53,42,Ball Receipt*,131,217,Barcelona,1,Regular Play,217,Barcelona,,,053ca937-1faa-4ba1-b32e-c98b7ca6139b,,4320,Neymar da Silva Santos Junior,21,Left Wing,64.0,4.6,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f8fa379-a3f2-4f46-b899-e5f5a07357d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab454a35-05c9-4be3-9402-d394093b5140,2419,2,00:11:53.523,56,53,43,Carry,131,217,Barcelona,1,Regular Play,217,Barcelona,4.479348,,161541f0-844c-4bf2-a915-392c8c1f33b7,,4320,Neymar da Silva Santos Junior,21,Left Wing,64.0,4.6,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4f8fa379-a3f2-4f46-b899-e5f5a07357d8,f1448770-dfed-458a-8d4e-38e2b3185b8c,58.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1448770-dfed-458a-8d4e-38e2b3185b8c,2420,2,00:11:58.003,56,58,30,Pass,132,217,Barcelona,1,Regular Play,217,Barcelona,1.598273,,cf12dd8b-6628-42a7-bb9d-6fb2dffebaad,,4320,Neymar da Silva Santos Junior,21,Left Wing,58.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,19.924858,2.1922126,1.0,Ground Pass,47.1,19.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf12dd8b-6628-42a7-bb9d-6fb2dffebaad,2421,2,00:11:59.601,56,59,42,Ball Receipt*,132,217,Barcelona,1,Regular Play,217,Barcelona,,,f1448770-dfed-458a-8d4e-38e2b3185b8c,,5506,Javier Alejandro Mascherano,5,Left Center Back,47.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835e56b3-7342-4bac-a7a0-cc17e1dce319,2422,2,00:11:59.601,56,59,43,Carry,132,217,Barcelona,1,Regular Play,217,Barcelona,1.144427,,7c01d208-8007-41d0-bdc7-60bf42c3ca5a,,5506,Javier Alejandro Mascherano,5,Left Center Back,47.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf12dd8b-6628-42a7-bb9d-6fb2dffebaad,,47.5,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
