id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,player,position,location,pass,carry,under_pressure,ball_receipt,out,duel,clearance,shot,goalkeeper,counterpress,foul_committed,foul_won,dribble,off_camera,interception,ball_recovery,miscontrol,substitution,block,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,related_events_3,pass_switch,pass_deflected,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name
43543e0c-f362-4650-a7be-297586728feb,1,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,433.0,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,13.0,4324.0,Daniel Alves da Silva,2.0,Right Back,6.0,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,3.0,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,14.0,5211.0,Jordi Alba Ramos,6.0,Left Back,18.0,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5.0,5470.0,Ivan Rakitić,13.0,Right Center Midfield,4.0,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,8.0,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,10.0,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,11.0,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122a48-acef-4736-9847-df6fcc4c77ba,2,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.0,442.0,6378.0,Jan Oblak,1.0,Goalkeeper,13.0,6375.0,Juan Francisco Torres Belén,2.0,Right Back,20.0,5259.0,José María Giménez de Vargas,3.0,Right Center Back,24.0,5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,2.0,6320.0,Filipe Luís Kasmirski,6.0,Left Back,3.0,6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,14.0,19668.0,Augusto Matías Fernández,11.0,Left Defensive Midfield,12.0,6381.0,Saúl Ñíguez Esclapez,12.0,Right Midfield,17.0,5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,6.0,5487.0,Antoine Griezmann,22.0,Right Center Forward,7.0,5633.0,Yannick Ferreira Carrasco,24.0,Left Center Forward,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26935068-2835-4b3d-a58e-9efd5d520361,3,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbd6b920-da19-4159-997c-f86d3cd911b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbd6b920-da19-4159-997c-f86d3cd911b2,4,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26935068-2835-4b3d-a58e-9efd5d520361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8af80949-314a-43bb-b670-6b199fe60613,5,1,00:00:01.237,0,1,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.688321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caad525a-9840-49c6-9f20-24a1af1d7e37,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,60.0,40.0,4320.0,Neymar da Silva Santos Junior,2.34094,-1.2220253,1.0,Ground Pass,60.8,37.8,65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
caad525a-9840-49c6-9f20-24a1af1d7e37,6,1,00:00:01.926,0,1,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8af80949-314a-43bb-b670-6b199fe60613,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,60.8,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e984f5f-f011-4e41-8e58-9d0d11a120f4,7,1,00:00:01.926,0,1,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.737979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caad525a-9840-49c6-9f20-24a1af1d7e37,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,60.8,37.8,,,,,,,,,,,,,ec548322-7188-42ee-9092-f7a103a11275,59.5,37.5,,,,,,,,,,,,,,,,,,,,
ec548322-7188-42ee-9092-f7a103a11275,8,1,00:00:02.664,0,2,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce091f2a-2243-4287-80fb-d5634d4b2392,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,59.5,37.5,5203.0,Sergio Busquets i Burgos,13.563554,2.9861407,1.0,Ground Pass,46.1,39.6,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
ce091f2a-2243-4287-80fb-d5634d4b2392,9,1,00:00:03.564,0,3,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec548322-7188-42ee-9092-f7a103a11275,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,46.1,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed4cc3c-9f95-4b51-9c95-60c2ef289541,10,1,00:00:03.564,0,3,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.9252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce091f2a-2243-4287-80fb-d5634d4b2392,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,46.1,39.6,,,,,,,,,,,,,e6c80595-df90-49c6-b9fe-9d651aeccc5a,46.1,39.6,,,,,,,,,,,,,,,,,,,,
