id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,duel,clearance,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,foul_committed,foul_won,dribble,off_camera,interception,ball_recovery,miscontrol,substitution,block,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_3,pass_switch,pass_type_id,pass_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
e20361d5-4a35-43e3-9410-f5dee7e3cae6,1404,1,00:33:01.468,33,1,42,Ball Receipt*,56,217,Barcelona,1,Regular Play,217,Barcelona,,,93ee1746-3b02-4cf9-93cf-deb4932b04c3,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,9.5,74.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,f00dcaf1-5ed5-4604-80be-9f6718d15834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b35ad795-25d8-4d14-8458-6ced4f96461b,1405,1,00:33:01.468,33,1,43,Carry,56,217,Barcelona,1,Regular Play,217,Barcelona,1.313,,93ee1746-3b02-4cf9-93cf-deb4932b04c3,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,9.5,74.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,998d54be-1b36-45bf-957c-be1b4e456c3b,b72aba8b-3fa6-414a-970b-774db79b5fe8,5.8,71.6,,,,,,,,,,,e20361d5-4a35-43e3-9410-f5dee7e3cae6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998d54be-1b36-45bf-957c-be1b4e456c3b,1406,1,00:33:01.794,33,1,17,Pressure,56,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.836,,b35ad795-25d8-4d14-8458-6ced4f96461b,6320,Filipe Luís Kasmirski,6,Left Back,113.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262693b-1f06-42ea-a6c3-8d4bafc7c907,1407,1,00:33:02.781,33,2,22,Foul Committed,56,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.0,,b72aba8b-3fa6-414a-970b-774db79b5fe8,6320,Filipe Luís Kasmirski,6,Left Back,114.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b72aba8b-3fa6-414a-970b-774db79b5fe8,1408,1,00:33:02.781,33,2,21,Foul Won,56,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,1262693b-1f06-42ea-a6c3-8d4bafc7c907,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,5.8,71.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8eccb28-ab1c-4fbd-98fa-160ca429294e,1409,1,00:33:15.610,33,15,30,Pass,57,217,Barcelona,3,From Free Kick,217,Barcelona,2.8275,,5bae3976-5e9e-42d0-a05c-61e57d38a741,5213,Gerard Piqué Bernabéu,3,Right Center Back,4.1,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,56.051407,-1.5279654,1.0,Ground Pass,6.5,14.7,40.0,Right Foot,,True,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bae3976-5e9e-42d0-a05c-61e57d38a741,1410,1,00:33:18.438,33,18,42,Ball Receipt*,57,217,Barcelona,3,From Free Kick,217,Barcelona,,,c8eccb28-ab1c-4fbd-98fa-160ca429294e,5506,Javier Alejandro Mascherano,5,Left Center Back,6.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81d35150-6959-4624-9537-0894418c1e8a,1411,1,00:33:18.438,33,18,43,Carry,57,217,Barcelona,3,From Free Kick,217,Barcelona,4.2262,,23aa80f9-545e-4607-90b4-51c10397ffb1,5506,Javier Alejandro Mascherano,5,Left Center Back,6.5,14.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,24577aeb-223e-40df-aa84-c1979dec021e,5bae3976-5e9e-42d0-a05c-61e57d38a741,30.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24577aeb-223e-40df-aa84-c1979dec021e,1412,1,00:33:20.137,33,20,17,Pressure,57,217,Barcelona,3,From Free Kick,212,Atlético Madrid,2.2148,,81d35150-6959-4624-9537-0894418c1e8a,5487,Antoine Griezmann,22,Right Center Forward,106.5,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23aa80f9-545e-4607-90b4-51c10397ffb1,1413,1,00:33:22.664,33,22,30,Pass,57,217,Barcelona,3,From Free Kick,217,Barcelona,1.247178,,03f01741-92ff-47bb-b473-2461bb88d21d,5506,Javier Alejandro Mascherano,5,Left Center Back,30.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,12.408464,1.9767463,1.0,Ground Pass,25.1,29.1,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
