id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,ball_recovery,block,substitution,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_switch,related_events,player,position,location
e0a24428-7913-4a95-adbd-060f9c4e6e3c,3489,2,00:45:04.718,90,4,23,Goal Keeper,167,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,920119cc-61e4-4b38-8190-717622442a7b,6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,4.9,47.4,,,,,,,,,,,,,,,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0534e28-ad72-4039-bf97-0ee438bf98ce,3501,2,00:46:22.856,91,22,2,Ball Recovery,169,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,87f80954-d87d-47e2-b31c-ee2540d6cf33,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,105.5,11.2,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13104e0b-2fb9-4e9b-bf48-bc16143badfe,3502,2,00:46:22.856,91,22,43,Carry,169,217,Barcelona,1,Regular Play,217,Barcelona,2.820214,,1f121457-4984-4a88-89b3-f324a83294d6,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,105.5,11.2,,,,True,,,,,,,,,,,,,,,,,,,,,,,,87f80954-d87d-47e2-b31c-ee2540d6cf33,f0534e28-ad72-4039-bf97-0ee438bf98ce,113.3,10.4,,,,,,,,,,,,,,,,,,,,,,,
1f121457-4984-4a88-89b3-f324a83294d6,3503,2,00:46:25.677,91,25,14,Dribble,169,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,a4f6cef9-0ade-4d77-addd-50b61f4d01bd,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,113.3,10.4,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,
a4f6cef9-0ade-4d77-addd-50b61f4d01bd,3504,2,00:46:25.677,91,25,4,Duel,169,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,1f121457-4984-4a88-89b3-f324a83294d6,6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,6.8,69.7,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,14.0,Lost Out,,,,,,,,,,,,,,,,,
6580ca94-e27f-4d6c-80cc-76b5a0afd792,3505,2,00:46:35.323,91,35,30,Pass,170,217,Barcelona,2,From Corner,217,Barcelona,2.7226,,04421d30-dce3-449b-ab2e-23937d209d7b,11094.0,Arda Turan,15.0,Left Center Midfield,120.0,0.1,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,8.25409,2.8083484,1.0,Ground Pass,112.2,2.8,40.0,Right Foot,61.0,Corner,,,,,
04421d30-dce3-449b-ab2e-23937d209d7b,3506,2,00:46:38.046,91,38,42,Ball Receipt*,170,217,Barcelona,2,From Corner,217,Barcelona,,,6580ca94-e27f-4d6c-80cc-76b5a0afd792,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,112.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db03299f-8bf9-4529-8abb-9c05b85974c7,3507,2,00:46:40.566,91,40,30,Pass,170,217,Barcelona,2,From Corner,217,Barcelona,0.813314,,1e3408c6-60e5-4a52-be69-e1aedd261ec2,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,109.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,5.2038445,-3.1031501,1.0,Ground Pass,104.7,2.2,38.0,Left Foot,,,,,,,
1e3408c6-60e5-4a52-be69-e1aedd261ec2,3508,2,00:46:41.379,91,41,42,Ball Receipt*,170,217,Barcelona,2,From Corner,217,Barcelona,,,db03299f-8bf9-4529-8abb-9c05b85974c7,11094.0,Arda Turan,15.0,Left Center Midfield,104.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db8e196e-c5f5-44ec-abbe-7efc5eb29044,3509,2,00:46:41.379,91,41,43,Carry,170,217,Barcelona,2,From Corner,217,Barcelona,0.756186,,1e3408c6-60e5-4a52-be69-e1aedd261ec2,11094.0,Arda Turan,15.0,Left Center Midfield,104.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab51ce5b-1b24-4ce3-aa7d-406f42af2791,,103.8,3.2,,,,,,,,,,,,,,,,,,,,,,,
ab51ce5b-1b24-4ce3-aa7d-406f42af2791,3510,2,00:46:42.135,91,42,30,Pass,170,217,Barcelona,2,From Corner,217,Barcelona,1.167862,,9022cdc3-e81b-452d-a4df-ed5afba59370,11094.0,Arda Turan,15.0,Left Center Midfield,103.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,14.785128,2.617413,1.0,Ground Pass,91.0,10.6,40.0,Right Foot,,,,,,,
9022cdc3-e81b-452d-a4df-ed5afba59370,3511,2,00:46:43.303,91,43,42,Ball Receipt*,170,217,Barcelona,2,From Corner,217,Barcelona,,,ab51ce5b-1b24-4ce3-aa7d-406f42af2791,5211.0,Jordi Alba Ramos,6.0,Left Back,91.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9defc3c-7ae4-4cbc-913f-bb942a37ebf5,3512,2,00:46:43.303,91,43,43,Carry,170,217,Barcelona,2,From Corner,217,Barcelona,0.693838,,65b8c243-4ee3-4ca6-bbca-aa5d7b402311,5211.0,Jordi Alba Ramos,6.0,Left Back,91.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9022cdc3-e81b-452d-a4df-ed5afba59370,,91.4,10.8,,,,,,,,,,,,,,,,,,,,,,,
65b8c243-4ee3-4ca6-bbca-aa5d7b402311,3513,2,00:46:43.997,91,43,30,Pass,170,217,Barcelona,2,From Corner,217,Barcelona,1.0576,,e4489439-3ce3-4027-9cdb-03215f29239b,5211.0,Jordi Alba Ramos,6.0,Left Back,91.4,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,11.6,-0.8097836,1.0,Ground Pass,99.4,2.4,40.0,Right Foot,,,,,,,
e4489439-3ce3-4027-9cdb-03215f29239b,3514,2,00:46:45.055,91,45,42,Ball Receipt*,170,217,Barcelona,2,From Corner,217,Barcelona,,,65b8c243-4ee3-4ca6-bbca-aa5d7b402311,11094.0,Arda Turan,15.0,Left Center Midfield,99.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776eaeb6-0b52-49d8-91ff-ca91dfb877b8,3515,2,00:46:45.055,91,45,43,Carry,170,217,Barcelona,2,From Corner,217,Barcelona,0.4112,,967770ff-e912-4d40-9d1f-4e080f619c56,11094.0,Arda Turan,15.0,Left Center Midfield,99.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4489439-3ce3-4027-9cdb-03215f29239b,,99.4,2.4,,,,,,,,,,,,,,,,,,,,,,,
