id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,interception,counterpress,dribble,duel,clearance,foul_won,off_camera,out,foul_committed,ball_recovery,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,bad_behaviour,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,pass_outswinging,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate
9d251d6c-701a-429a-ad7c-10ac895e1d28,1969,2,00:08:15.582,53,15,43,Carry,102,217,Barcelona,4,From Throw In,217,Barcelona,0.565321,,6f3f0bc3-4ba0-4c0e-8a52-b952221ae4da,5246,Luis Alberto Suárez Díaz,23,Center Forward,99.7,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8c96896-7d63-47d0-9feb-97728c1aad26,102.5,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8c96896-7d63-47d0-9feb-97728c1aad26,1970,2,00:08:16.147,53,16,14,Dribble,102,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,9c7d0103-0f6d-4a72-b7a0-2b02c0830fcd,5246,Luis Alberto Suárez Díaz,23,Center Forward,102.5,57.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c7d0103-0f6d-4a72-b7a0-2b02c0830fcd,1971,2,00:08:16.147,53,16,4,Duel,102,217,Barcelona,4,From Throw In,214,Espanyol,0.0,,e8c96896-7d63-47d0-9feb-97728c1aad26,16456,Enzo Pablo Roco Roco,3,Right Center Back,17.6,22.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af14cf63-7ed6-47c7-b96d-de8665f48051,1972,2,00:08:17.487,53,17,2,Ball Recovery,102,217,Barcelona,4,From Throw In,214,Espanyol,0.0,,,27241,Víctor Guillermo Álvarez Delgado,6,Left Back,9.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49a1d473-f27c-43bd-ac9e-b489a4e6f122,1973,2,00:08:17.487,53,17,43,Carry,102,217,Barcelona,4,From Throw In,214,Espanyol,4.1572,,af14cf63-7ed6-47c7-b96d-de8665f48051,27241,Víctor Guillermo Álvarez Delgado,6,Left Back,9.0,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd4a63e2-47b5-46b7-a5ec-994fb9fce2e8,13.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4a63e2-47b5-46b7-a5ec-994fb9fce2e8,1974,2,00:08:21.645,53,21,30,Pass,102,217,Barcelona,4,From Throw In,214,Espanyol,6.368195,,981ab5b5-2000-40ac-a13c-2d7ae17c585b,27241,Víctor Guillermo Álvarez Delgado,6,Left Back,13.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.29359,0.04455648,3.0,High Pass,107.8,12.0,,,,38.0,Left Foot,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981ab5b5-2000-40ac-a13c-2d7ae17c585b,1975,2,00:08:28.013,53,28,2,Ball Recovery,103,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,bd4a63e2-47b5-46b7-a5ec-994fb9fce2e8,20055,Marc-André ter Stegen,1,Goalkeeper,12.3,68.1,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01fa0dea-6956-4ead-861e-f0eaa75ac2cd,1976,2,00:08:33.880,53,33,30,Pass,103,217,Barcelona,1,Regular Play,217,Barcelona,2.0,,8aef939a-366f-4783-a61d-d7da0b0556f3,20055,Marc-André ter Stegen,1,Goalkeeper,14.9,66.9,,,,,,,,,,,True,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,59.90601,-1.078777,1.0,Ground Pass,43.2,14.1,,,,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8aef939a-366f-4783-a61d-d7da0b0556f3,1977,2,00:08:35.880,53,35,42,Ball Receipt*,103,217,Barcelona,1,Regular Play,217,Barcelona,,,01fa0dea-6956-4ead-861e-f0eaa75ac2cd,5211,Jordi Alba Ramos,6,Left Back,43.2,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bb0c0a0-3a56-4d95-8dfe-46ef25f276be,1978,2,00:08:36.153,53,36,30,Pass,103,217,Barcelona,1,Regular Play,217,Barcelona,1.222702,,9608b354-ae7e-47d2-893a-88b29fa745bc,5211,Jordi Alba Ramos,6,Left Back,47.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,15.250574,1.215863,1.0,Ground Pass,52.7,26.3,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
