id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,dribble,counterpress,duel,ball_receipt,out,ball_recovery,clearance,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception,block,foul_committed,foul_won,bad_behaviour,substitution,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events,pass_outcome_id,pass_outcome_name,foul_won_defensive,pass_type_id,pass_type_name,dribble_outcome_id,dribble_outcome_name,related_events_3,location,bad_behaviour_card_id,bad_behaviour_card_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,pass_aerial_won,pass_cross,pass_switch,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,clearance_head,pass_outswinging,pass_technique_id,pass_technique_name,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_deflected,block_deflection,ball_recovery_recovery_failure,pass_inswinging,foul_committed_type_id,foul_committed_type_name,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,block_offensive,shot_freeze_frame_17_location_0,shot_freeze_frame_17_location_1,shot_freeze_frame_17_player_id,shot_freeze_frame_17_player_name,shot_freeze_frame_17_position_id,shot_freeze_frame_17_position_name,shot_freeze_frame_17_teammate,player,position
e4b135ef-2930-4313-8147-583f7814d3ac,2504,2,00:29:08.731,74,8,21,Foul Won,182,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,697458e1-bc14-4406-ab04-5795eda573e1,,6379.0,Sergi Roberto Carnicer,15.0,Left Center Midfield,57.9,9.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,ecf4c7a9-3669-4713-b366-0c293b08f4cd,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c98a1da6-1e14-42a2-996b-ff75f13f3977,2505,2,00:29:30.506,74,30,30,Pass,183,217,Barcelona,3,From Free Kick,217,Barcelona,2.111196,,de7018fd-db2d-4fd8-8faf-d591bd876301,True,5211.0,Jordi Alba Ramos,6.0,Left Back,54.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,7.3334846,0.09559812,1.0,Ground Pass,61.6,9.4,38.0,Left Foot,,,,,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3453327-7486-4e91-a13c-e02265bb4010,2506,2,00:29:32.211,74,32,17,Pressure,183,217,Barcelona,3,From Free Kick,213,Sevilla,1.5468,,2bc51fb3-dd9c-4006-975f-d97683c9c73f,,6841.0,Víctor Machín Pérez,17.0,Right Wing,59.1,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de7018fd-db2d-4fd8-8faf-d591bd876301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de7018fd-db2d-4fd8-8faf-d591bd876301,2507,2,00:29:32.617,74,32,42,Ball Receipt*,183,217,Barcelona,3,From Free Kick,217,Barcelona,,,c3453327-7486-4e91-a13c-e02265bb4010,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,61.6,9.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,c98a1da6-1e14-42a2-996b-ff75f13f3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bc51fb3-dd9c-4006-975f-d97683c9c73f,2508,2,00:29:32.617,74,32,43,Carry,183,217,Barcelona,3,From Free Kick,217,Barcelona,1.741732,,c3453327-7486-4e91-a13c-e02265bb4010,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,61.6,9.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,cd5d1985-9125-4c87-9fe9-b147edcab8ae,de7018fd-db2d-4fd8-8faf-d591bd876301,62.7,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff9e02ec-8be3-43bb-b64d-82485510a1d9,2509,2,00:29:34.359,74,34,39,Dribbled Past,183,217,Barcelona,3,From Free Kick,213,Sevilla,0.0,,5ffd5dff-c69c-4e7f-b909-2af645e46972,,6841.0,Víctor Machín Pérez,17.0,Right Wing,57.4,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd5d1985-9125-4c87-9fe9-b147edcab8ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd5d1985-9125-4c87-9fe9-b147edcab8ae,2510,2,00:29:34.359,74,34,14,Dribble,183,217,Barcelona,3,From Free Kick,217,Barcelona,0.0,,ff9e02ec-8be3-43bb-b64d-82485510a1d9,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,62.7,19.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffd5dff-c69c-4e7f-b909-2af645e46972,2511,2,00:29:34.359,74,34,43,Carry,183,217,Barcelona,3,From Free Kick,217,Barcelona,2.048504,,9440fba2-378a-49af-9a86-0c4c28e477fe,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,62.7,19.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,cd5d1985-9125-4c87-9fe9-b147edcab8ae,d5ec2081-7e56-4a8c-b965-db86e4051eb2,72.9,23.7,,,,,,,,,,,,,,,,,,,ff9e02ec-8be3-43bb-b64d-82485510a1d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9440fba2-378a-49af-9a86-0c4c28e477fe,2512,2,00:29:34.858,74,34,17,Pressure,183,217,Barcelona,3,From Free Kick,213,Sevilla,1.190438,,5ffd5dff-c69c-4e7f-b909-2af645e46972,,6356.0,Michael Krohn-Dehli,21.0,Left Wing,51.6,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435f977f-dd75-4e04-b02c-5db2536a1d4c,2513,2,00:29:36.408,74,36,22,Foul Committed,183,217,Barcelona,3,From Free Kick,213,Sevilla,0.0,,d5ec2081-7e56-4a8c-b965-db86e4051eb2,,6356.0,Michael Krohn-Dehli,21.0,Left Wing,47.2,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
