id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,player,position,location,pass,carry,under_pressure,ball_receipt,dribble,duel,clearance,counterpress,out,ball_recovery,shot,goalkeeper,off_camera,foul_committed,foul_won,substitution,interception,block,miscontrol,bad_behaviour,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,ball_recovery_recovery_failure,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_aerial_won,pass_body_part_id,pass_body_part_name,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate
c05312cc-5868-4119-b4cd-f890b3eddcc2,1,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,433.0,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,13.0,6400.0,Aleix Vidal Parreu,2.0,Right Back,22.0,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,3.0,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,14.0,5211.0,Jordi Alba Ramos,6.0,Left Back,18.0,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5.0,5470.0,Ivan Rakitić,13.0,Right Center Midfield,4.0,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,8.0,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,10.0,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,11.0,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260f501a-772a-45ac-8bf1-20f01df38a41,2,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,4411.0,6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,1.0,6386.0,Eneko Bóveda Altube,2.0,Right Back,2.0,6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,16.0,4353.0,Aymeric Laporte,5.0,Left Center Back,4.0,6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,24.0,6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,6.0,6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,7.0,6649.0,Óscar de Marcos Arana,12.0,Right Midfield,10.0,6842.0,Iker Muniain Goñi,16.0,Left Midfield,19.0,6606.0,Javier Eraso Goñi,19.0,Center Attacking Midfield,5.0,6393.0,Iñaki Williams Arthuer,23.0,Center Forward,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0aafddff-3907-4ccf-95d1-1813abed78f8,3,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a0ea9f06-7fa3-4987-8d48-1d9744d2e924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0ea9f06-7fa3-4987-8d48-1d9744d2e924,4,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0aafddff-3907-4ccf-95d1-1813abed78f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de5890b2-695f-4c97-90f9-eaf970625422,39,1,00:00:32.317,0,32,4,Duel,4,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,2febb4cb-d338-440d-b67b-c87a69fc8bb3,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,22.8,7.3,11.0,Tackle,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d97a17f5-b6e1-4541-8090-9fd827342924,40,1,00:00:32.317,0,32,43,Carry,4,217,Barcelona,1,Regular Play,217,Barcelona,1.683055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,035dde6f-529a-472e-82b4-9671d48eae6f,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,22.8,7.3,,,,,c601fb62-8916-402d-9184-c2aaff215270,de5890b2-695f-4c97-90f9-eaf970625422,13.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035dde6f-529a-472e-82b4-9671d48eae6f,41,1,00:00:33.628,0,33,17,Pressure,4,217,Barcelona,1,Regular Play,215,Athletic Club,0.795205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,c601fb62-8916-402d-9184-c2aaff215270,6393.0,Iñaki Williams Arthuer,23.0,Center Forward,102.1,75.0,,,,,d97a17f5-b6e1-4541-8090-9fd827342924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c601fb62-8916-402d-9184-c2aaff215270,42,1,00:00:34.000,0,34,38,Miscontrol,4,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,035dde6f-529a-472e-82b4-9671d48eae6f,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,13.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997caf49-2da7-4b6a-bac0-dbfe8d20e0d4,43,1,00:00:34.724,0,34,2,Ball Recovery,4,217,Barcelona,1,Regular Play,215,Athletic Club,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,6393.0,Iñaki Williams Arthuer,23.0,Center Forward,108.6,74.6,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0705454-68fe-4964-9b58-72efac01eef9,44,1,00:00:46.209,0,46,30,Pass,5,217,Barcelona,4,From Throw In,217,Barcelona,1.999572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fafe38c0-d16e-463a-b1c2-0a399a838071,5211.0,Jordi Alba Ramos,6.0,Left Back,20.0,0.1,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,19.608671,0.30562294,3.0,High Pass,38.7,6.0,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
