id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,interception,dribble,duel,out,clearance,off_camera,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,ball_recovery,foul_committed,block,foul_won,miscontrol,injury_stoppage,substitution,bad_behaviour,50_50,interception_outcome_id,interception_outcome_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_technique_id,pass_technique_name,pass_through_ball,related_events,related_events_2,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_3,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,location,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,foul_committed_advantage,foul_committed_type_id,foul_committed_type_name,pass_cross,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,player,position
0ec12e3f-2876-4a7c-aaf3-858aad00039e,2967,2,00:39:14.603,84,14,23,Goal Keeper,200,217,Barcelona,1,Regular Play,322,Eibar,0.0,,fc6c88f2-537a-42a7-8518-d60692a22a1b,10763.0,Asier Riesgo Unamuno,1.0,Goalkeeper,5.1,43.0,,,,,,,,,,,,,55.0,No Touch,45.0,Diving,44.0,Set,26.0,Goal Conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce31110b-e880-44e1-8817-78de963b96de,2977,2,00:40:30.289,85,30,10,Interception,202,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,a1862d5b-6636-41ed-8945-79f49a2a34da,4324.0,Daniel Alves da Silva,2.0,Right Back,34.6,75.7,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b832c56-7f2c-478e-b413-acb8a4ba4cad,2978,2,00:40:30.289,85,30,43,Carry,202,217,Barcelona,1,Regular Play,217,Barcelona,0.920945,,ce31110b-e880-44e1-8817-78de963b96de,4324.0,Daniel Alves da Silva,2.0,Right Back,34.6,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e6f0fa0b-5b8d-444e-b470-a7b2903b7884,33.4,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6f0fa0b-5b8d-444e-b470-a7b2903b7884,2979,2,00:40:31.210,85,31,30,Pass,202,217,Barcelona,1,Regular Play,217,Barcelona,1.208811,,48dcb52e-af3e-4147-b3cf-05781525dd78,4324.0,Daniel Alves da Silva,2.0,Right Back,33.4,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616.0,Munir El Haddadi Mohamed,12.201639,-0.016391974,1.0,Ground Pass,45.6,75.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48dcb52e-af3e-4147-b3cf-05781525dd78,2980,2,00:40:32.419,85,32,42,Ball Receipt*,202,217,Barcelona,1,Regular Play,217,Barcelona,,,e6f0fa0b-5b8d-444e-b470-a7b2903b7884,6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,45.6,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f86ca1b-9961-4639-8e56-d21675420784,2981,2,00:40:32.419,85,32,43,Carry,202,217,Barcelona,1,Regular Play,217,Barcelona,0.135246,,48dcb52e-af3e-4147-b3cf-05781525dd78,6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,45.6,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69cad112-1e7b-4944-a168-f6bad03bf6e0,45.1,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69cad112-1e7b-4944-a168-f6bad03bf6e0,2982,2,00:40:32.554,85,32,30,Pass,202,217,Barcelona,1,Regular Play,217,Barcelona,0.551457,,80d1d2aa-c954-4c99-9ac5-010577a8e66d,6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,45.1,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,10.245975,-2.0038857,1.0,Ground Pass,40.8,66.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80d1d2aa-c954-4c99-9ac5-010577a8e66d,2983,2,00:40:33.105,85,33,42,Ball Receipt*,202,217,Barcelona,1,Regular Play,217,Barcelona,,,69cad112-1e7b-4944-a168-f6bad03bf6e0,5470.0,Ivan Rakitić,13.0,Right Center Midfield,40.8,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76044899-a41c-4fba-915f-a59f305a23d3,2984,2,00:40:33.105,85,33,30,Pass,202,217,Barcelona,1,Regular Play,217,Barcelona,2.829853,,ee06d06d-fe6f-480f-8291-3c6349728b1d,5470.0,Ivan Rakitić,13.0,Right Center Midfield,40.8,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616.0,Munir El Haddadi Mohamed,25.676643,0.48629183,1.0,Ground Pass,63.5,78.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee06d06d-fe6f-480f-8291-3c6349728b1d,2985,2,00:40:35.935,85,35,42,Ball Receipt*,202,217,Barcelona,1,Regular Play,217,Barcelona,,,76044899-a41c-4fba-915f-a59f305a23d3,6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,63.5,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
