id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_no_touch,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_type_id,pass_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name
09292cf3-a77f-4c34-8e35-b5a0ec8e5d9c,2012,2,00:07:53.667,52,53,23,Goal Keeper,119,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.0,,602e6932-ef9d-4c48-88cf-f79ea806375b,24255,Juan Carlos Martín Corral,1,Goalkeeper,1.1,36.6,,,,,,,,,,,,,,,45.0,Diving,43.0,Prone,41.0,Right Hand,26.0,Goal Conceded,58.0,Touched In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4ab8a9c-2c40-4c20-8a87-2c5031884ba6,2020,2,00:08:55.681,53,55,4,Duel,121,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,8eb6f147-a0e7-4b5b-8545-354f192fc713,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.0,54.2,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79e6b559-4667-4a67-b95d-d7ffc43379ce,2021,2,00:08:56.502,53,56,17,Pressure,121,217,Barcelona,1,Regular Play,360,Rayo Vallecano,0.484356,,49b54bf6-9754-4220-abe6-c904d0584786,11539,Adrián Embarba Blázquez,17,Right Wing,71.7,25.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,6f691349-7347-4671-b437-36ddf3267b21,92c199a1-6e13-4553-bfb8-1539edd5f0ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f691349-7347-4671-b437-36ddf3267b21,2022,2,00:08:56.530,53,56,2,Ball Recovery,121,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,79e6b559-4667-4a67-b95d-d7ffc43379ce,6379,Sergi Roberto Carnicer,2,Right Back,41.5,55.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92c199a1-6e13-4553-bfb8-1539edd5f0ff,2023,2,00:08:56.530,53,56,43,Carry,121,217,Barcelona,1,Regular Play,217,Barcelona,0.211256,,49b54bf6-9754-4220-abe6-c904d0584786,6379,Sergi Roberto Carnicer,2,Right Back,41.5,55.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f691349-7347-4671-b437-36ddf3267b21,79e6b559-4667-4a67-b95d-d7ffc43379ce,41.3,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49b54bf6-9754-4220-abe6-c904d0584786,2024,2,00:08:56.741,53,56,30,Pass,121,217,Barcelona,1,Regular Play,217,Barcelona,0.875369,,79e6b559-4667-4a67-b95d-d7ffc43379ce,6379,Sergi Roberto Carnicer,2,Right Back,41.3,56.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7f298e7d-ae28-47e7-9d1f-5ff2e0a69984,,,,5203.0,Sergio Busquets i Burgos,9.052072,-0.76977444,1.0,Ground Pass,47.8,50.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f298e7d-ae28-47e7-9d1f-5ff2e0a69984,2025,2,00:08:57.617,53,57,42,Ball Receipt*,121,217,Barcelona,1,Regular Play,217,Barcelona,,,49b54bf6-9754-4220-abe6-c904d0584786,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.8,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6de02e0-b7a5-4ad9-9282-cd7a1d170d32,2026,2,00:08:57.617,53,57,30,Pass,121,217,Barcelona,1,Regular Play,217,Barcelona,0.919167,,c4d1bcfb-3c64-431a-8fff-c1f6654e91d3,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,46.5,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,5.903389,0.03388533,1.0,Ground Pass,52.4,49.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4d1bcfb-3c64-431a-8fff-c1f6654e91d3,2027,2,00:08:58.536,53,58,42,Ball Receipt*,121,217,Barcelona,1,Regular Play,217,Barcelona,,,f6de02e0-b7a5-4ad9-9282-cd7a1d170d32,5216,Andrés Iniesta Luján,13,Right Center Midfield,52.4,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11c1227a-faac-410f-b712-6a6a81802fd0,2028,2,00:08:58.536,53,58,43,Carry,121,217,Barcelona,1,Regular Play,217,Barcelona,0.716533,,c4d1bcfb-3c64-431a-8fff-c1f6654e91d3,5216,Andrés Iniesta Luján,13,Right Center Midfield,52.4,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0300775-7a3a-4549-b8c6-7bfbf95032ca,,53.1,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
