id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,ball_recovery,counterpress,dribble,duel,interception,off_camera,foul_won,foul_committed,block,substitution,miscontrol,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name
b2bf3e0f-c1e9-4044-854c-cd7216580137,375,1,00:08:35.734,8,35,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,1.0848,,a667fe73-1afe-47b1-a14f-65ac4aa59b59,5216,Andrés Iniesta Luján,15,Left Center Midfield,72.1,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379.0,Sergi Roberto Carnicer,18.597311,1.6731402,1.0,Ground Pass,70.2,30.8,40.0,Right Foot,,,,,,,,,,,,,,
a667fe73-1afe-47b1-a14f-65ac4aa59b59,376,1,00:08:36.819,8,36,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,b2bf3e0f-c1e9-4044-854c-cd7216580137,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,70.2,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775bb667-c8bb-4b43-9a01-0d5b99b775a5,377,1,00:08:36.819,8,36,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,1.262498,,80927f53-a67f-4f99-9a20-e57eeda7e220,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,70.2,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,11.321661,-1.5089285,1.0,Ground Pass,70.9,19.5,40.0,Right Foot,,,,,,,,,,,,,,
80927f53-a67f-4f99-9a20-e57eeda7e220,378,1,00:08:38.081,8,38,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,775bb667-c8bb-4b43-9a01-0d5b99b775a5,5216,Andrés Iniesta Luján,15,Left Center Midfield,70.9,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feaffb9d-ddb5-49d8-b87c-7d0cadc03da9,379,1,00:08:38.081,8,38,43,Carry,19,217,Barcelona,4,From Throw In,217,Barcelona,0.939129,,80927f53-a67f-4f99-9a20-e57eeda7e220,5216,Andrés Iniesta Luján,15,Left Center Midfield,70.9,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8cdb9d66-3392-48e5-916c-a3d14287fe23,,,,,,,,,,,,,,,69.6,24.5,,,,,,,,
8cdb9d66-3392-48e5-916c-a3d14287fe23,380,1,00:08:39.021,8,39,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,2.105073,,0f54b3a1-90ff-4229-ab50-dac599f8bde7,5216,Andrés Iniesta Luján,15,Left Center Midfield,69.6,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,25.166843,2.0859997,1.0,Ground Pass,57.2,46.4,40.0,Right Foot,,,,,,,,,,,,,,
0f54b3a1-90ff-4229-ab50-dac599f8bde7,381,1,00:08:41.126,8,41,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,8cdb9d66-3392-48e5-916c-a3d14287fe23,5506,Javier Alejandro Mascherano,3,Right Center Back,57.2,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76ce9d08-7b4c-494c-b169-b34c0d8bfb9e,382,1,00:08:41.126,8,41,43,Carry,19,217,Barcelona,4,From Throw In,217,Barcelona,4.5791,,0f54b3a1-90ff-4229-ab50-dac599f8bde7,5506,Javier Alejandro Mascherano,3,Right Center Back,57.2,46.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,233f7f90-80e1-4b4d-acc7-2f7367e535e9,,,,,,,,,,,,,,d9a08c6d-4852-4307-b6ff-9fcc491c3268,75.3,67.6,,,,,,,,
233f7f90-80e1-4b4d-acc7-2f7367e535e9,383,1,00:08:43.482,8,43,17,Pressure,19,217,Barcelona,4,From Throw In,208,Las Palmas,2.079015,,76ce9d08-7b4c-494c-b169-b34c0d8bfb9e,6721,Willian José da Silva,23,Center Forward,55.2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9a08c6d-4852-4307-b6ff-9fcc491c3268,384,1,00:08:45.705,8,45,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,0.9602,,8ba54c39-6f32-4e97-9f69-cc4ff36af510,5506,Javier Alejandro Mascherano,3,Right Center Back,75.3,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.53423,1.2220253,1.0,Ground Pass,78.9,77.5,40.0,Right Foot,,,,,,,,,,,,,,
cad980be-9561-44d0-93f4-b3c7e0bbb407,385,1,00:08:46.174,8,46,17,Pressure,19,217,Barcelona,4,From Throw In,208,Las Palmas,1.376931,,4cffdb97-3c65-42e0-b48b-02cb1a611e85,26448,Javier Garrido Behovide,6,Left Back,38.6,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,8ba54c39-6f32-4e97-9f69-cc4ff36af510,,,,,,,,,,,,,,,,,,,,,,,,
8ba54c39-6f32-4e97-9f69-cc4ff36af510,386,1,00:08:46.665,8,46,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,cad980be-9561-44d0-93f4-b3c7e0bbb407,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,78.9,77.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,d9a08c6d-4852-4307-b6ff-9fcc491c3268,,,,,,,,,,,,,,,,,,,,,,,,
4cffdb97-3c65-42e0-b48b-02cb1a611e85,387,1,00:08:46.665,8,46,43,Carry,19,217,Barcelona,4,From Throw In,217,Barcelona,1.131598,,8ba54c39-6f32-4e97-9f69-cc4ff36af510,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,78.9,77.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,c7efe368-3f18-4dfb-bb61-b7915011688d,,,,,,,,,,,,,,cad980be-9561-44d0-93f4-b3c7e0bbb407,72.3,75.2,,,,,,,,
c7efe368-3f18-4dfb-bb61-b7915011688d,388,1,00:08:47.797,8,47,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,1.666811,,b3f854b3-dcc6-4af9-9aa3-0b7c713b952d,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,72.3,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6379.0,Sergi Roberto Carnicer,27.443396,-2.1274643,2.0,Low Pass,57.8,51.9,40.0,Right Foot,,,,,,,,,,,,,,
b3f854b3-dcc6-4af9-9aa3-0b7c713b952d,389,1,00:08:49.463,8,49,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,c7efe368-3f18-4dfb-bb61-b7915011688d,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,57.8,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a01883a-2fc3-4873-9dc0-43fbb11fdefc,390,1,00:08:49.463,8,49,43,Carry,19,217,Barcelona,4,From Throw In,217,Barcelona,4.725691,,224aca16-9b15-4ade-b890-29325e695d2a,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,57.8,51.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,9bcfdd29-116b-46a8-a92d-f79e46bd3dd2,,,,,,,,,,,,,,b3f854b3-dcc6-4af9-9aa3-0b7c713b952d,78.2,48.9,,,,,,,,
9bcfdd29-116b-46a8-a92d-f79e46bd3dd2,391,1,00:08:53.879,8,53,17,Pressure,19,217,Barcelona,4,From Throw In,208,Las Palmas,0.203056,,4a01883a-2fc3-4873-9dc0-43fbb11fdefc,3610,Roque Mesa Quevedo,10,Center Defensive Midfield,39.8,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224aca16-9b15-4ade-b890-29325e695d2a,392,1,00:08:54.189,8,54,30,Pass,19,217,Barcelona,4,From Throw In,217,Barcelona,2.0104,,2657be57-ff48-41c8-8c58-847f1f111aa2,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,78.2,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,c07ed5f8-c6dc-4d30-8ba0-5e8fff4aa6ee,5211.0,Jordi Alba Ramos,34.40131,-0.9360159,3.0,High Pass,98.6,21.2,40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,
c07ed5f8-c6dc-4d30-8ba0-5e8fff4aa6ee,393,1,00:08:56.200,8,56,42,Ball Receipt*,19,217,Barcelona,4,From Throw In,217,Barcelona,,,224aca16-9b15-4ade-b890-29325e695d2a,5211,Jordi Alba Ramos,6,Left Back,94.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,
