id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,off_camera,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance,out,ball_receipt,interception,dribble,counterpress,duel,ball_recovery,foul_won,block,foul_committed,injury_stoppage,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,dribble_outcome_id,dribble_outcome_name,pass_switch,duel_type_id,duel_type_name,pass_aerial_won,related_events_3,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_miscommunication,block_offensive,duel_outcome_id,duel_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,foul_won_defensive,ball_recovery_recovery_failure,clearance_right_foot,foul_committed_advantage,foul_won_advantage,block_deflection
6d4fe64b-3c36-40c7-8e51-e1e31a0d7087,57,1,00:01:04.460,1,4,23,Goal Keeper,3,217,Barcelona,3,From Free Kick,223,Málaga,0.0,,97fbe520-719e-44eb-a32f-78b070d75ebb,26103,Idriss Carlos Kameni,1,Goalkeeper,0.6,31.1,,,,,,55.0,No Touch,26.0,Goal Conceded,45.0,Diving,43.0,Prone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af12de6e-1f82-428d-94cf-0f307399ad17,66,1,00:02:20.960,2,20,30,Pass,5,217,Barcelona,7,From Goal Kick,217,Barcelona,1.721608,,ff7f0cb6-5960-423c-a3e6-226e6855d819,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,21.566874,0.78867686,1.0,Ground Pass,22.2,51.4,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff7f0cb6-5960-423c-a3e6-226e6855d819,67,1,00:02:22.682,2,22,42,Ball Receipt*,5,217,Barcelona,7,From Goal Kick,217,Barcelona,,,af12de6e-1f82-428d-94cf-0f307399ad17,11094,Arda Turan,13,Right Center Midfield,22.2,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18774ac0-9e4d-4c14-a1c4-30877dec3b27,68,1,00:02:22.682,2,22,43,Carry,5,217,Barcelona,7,From Goal Kick,217,Barcelona,0.364253,,60ae97c7-f532-4096-984f-7d962ff58195,11094,Arda Turan,13,Right Center Midfield,22.2,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff7f0cb6-5960-423c-a3e6-226e6855d819,22.2,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ae97c7-f532-4096-984f-7d962ff58195,69,1,00:02:23.046,2,23,30,Pass,5,217,Barcelona,7,From Goal Kick,217,Barcelona,1.770139,,0cbc91aa-4cdd-467b-bc8c-13e7a4ce91fc,11094,Arda Turan,13,Right Center Midfield,22.2,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,4691.0,Claudio Andrés Bravo Muñoz,12.39758,-2.551353,1.0,Ground Pass,11.9,44.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46ae236c-468d-491f-bede-c07c861fbb18,70,1,00:02:24.060,2,24,17,Pressure,5,217,Barcelona,7,From Goal Kick,223,Málaga,0.763725,,0cbc91aa-4cdd-467b-bc8c-13e7a4ce91fc,6707,Charles Días Barbosa de Oliveira,22,Right Center Forward,107.9,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cc99c17-8518-4be4-998d-0d1bef3fadd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cbc91aa-4cdd-467b-bc8c-13e7a4ce91fc,71,1,00:02:24.816,2,24,42,Ball Receipt*,5,217,Barcelona,7,From Goal Kick,217,Barcelona,,,46ae236c-468d-491f-bede-c07c861fbb18,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.9,44.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60ae97c7-f532-4096-984f-7d962ff58195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc99c17-8518-4be4-998d-0d1bef3fadd0,72,1,00:02:24.816,2,24,43,Carry,5,217,Barcelona,7,From Goal Kick,217,Barcelona,0.12,,0cbc91aa-4cdd-467b-bc8c-13e7a4ce91fc,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.9,44.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46ae236c-468d-491f-bede-c07c861fbb18,11.9,44.9,f184880c-f4f4-4c47-900c-a40ad44a7614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f184880c-f4f4-4c47-900c-a40ad44a7614,73,1,00:02:24.936,2,24,30,Pass,5,217,Barcelona,7,From Goal Kick,217,Barcelona,6.0943,,5184eced-7aed-4ed1-877e-b96a6ef6eaea,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.9,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,90.39524,0.0808445,3.0,High Pass,102.0,52.2,40.0,Right Foot,,,,6f0e389e-877d-443b-a9cb-944ab5f854d8,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5184eced-7aed-4ed1-877e-b96a6ef6eaea,74,1,00:02:31.031,2,31,42,Ball Receipt*,5,217,Barcelona,7,From Goal Kick,217,Barcelona,,,f184880c-f4f4-4c47-900c-a40ad44a7614,5246,Luis Alberto Suárez Díaz,23,Center Forward,67.7,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93c94dcf-d7ce-4355-9397-edef572a8b21,86,1,00:03:03.216,3,3,30,Pass,7,217,Barcelona,4,From Throw In,217,Barcelona,1.5523,,a4b8562b-44aa-435b-ad58-1ba2915538e3,6400,Aleix Vidal Parreu,2,Right Back,67.7,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,18.221416,-0.115505666,3.0,High Pass,85.8,77.9,,,67.0,Throw-in,,f69a38a1-9488-4f5b-8906-27eb1b45860b,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4b8562b-44aa-435b-ad58-1ba2915538e3,87,1,00:03:04.768,3,4,42,Ball Receipt*,7,217,Barcelona,4,From Throw In,217,Barcelona,,,93c94dcf-d7ce-4355-9397-edef572a8b21,5246,Luis Alberto Suárez Díaz,23,Center Forward,87.6,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f69a38a1-9488-4f5b-8906-27eb1b45860b,88,1,00:03:04.768,3,4,10,Interception,7,217,Barcelona,4,From Throw In,223,Málaga,0.0,,93c94dcf-d7ce-4355-9397-edef572a8b21,26669,Weligton Róbson Pena de Oliveira,5,Left Center Back,34.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bae034b-daf8-41eb-9bdf-4516a5451d4d,89,1,00:03:18.441,3,18,30,Pass,8,217,Barcelona,4,From Throw In,217,Barcelona,2.248565,,a3580a09-ded6-4542-8579-8385362c3b07,6400,Aleix Vidal Parreu,2,Right Back,89.3,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5246.0,Luis Alberto Suárez Díaz,20.468758,-0.29239267,2.0,Low Pass,108.9,74.1,,,67.0,Throw-in,,ff1c9917-866e-4ec5-a5a4-b62080128758,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27d1731d-7b63-4171-986c-e261a617a2fc,90,1,00:03:19.632,3,19,17,Pressure,8,217,Barcelona,4,From Throw In,223,Málaga,0.610199,,,26669,Weligton Róbson Pena de Oliveira,5,Left Center Back,13.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff1c9917-866e-4ec5-a5a4-b62080128758,91,1,00:03:20.690,3,20,42,Ball Receipt*,8,217,Barcelona,4,From Throw In,217,Barcelona,,,6bae034b-daf8-41eb-9bdf-4516a5451d4d,5246,Luis Alberto Suárez Díaz,23,Center Forward,108.9,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcd1f5b7-adff-4ec6-a6c1-3d867053dcd4,111,1,00:03:35.320,3,35,2,Ball Recovery,10,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,c1438e4d-23dd-475a-9b5a-b1beb89eb630,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.5,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fc70c21-b155-4813-97c1-617d04b8a1d6,112,1,00:03:35.320,3,35,43,Carry,10,217,Barcelona,1,Regular Play,217,Barcelona,2.065956,,23f44252-4712-465d-89b0-b91ead4afded,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,11.5,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcd1f5b7-adff-4ec6-a6c1-3d867053dcd4,16.5,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23f44252-4712-465d-89b0-b91ead4afded,113,1,00:03:37.386,3,37,30,Pass,10,217,Barcelona,1,Regular Play,217,Barcelona,1.427662,,7e743324-27bc-48b8-8dee-104960cdffbc,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,16.5,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,11.859595,-0.42592967,1.0,Ground Pass,27.3,28.8,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e743324-27bc-48b8-8dee-104960cdffbc,114,1,00:03:38.813,3,38,42,Ball Receipt*,10,217,Barcelona,1,Regular Play,217,Barcelona,,,23f44252-4712-465d-89b0-b91ead4afded,22102,Adriano Correia Claro,6,Left Back,27.3,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6cd2e2-c17c-474c-b076-ca3cbbb7d8a0,115,1,00:03:38.813,3,38,43,Carry,10,217,Barcelona,1,Regular Play,217,Barcelona,1.091811,,7e743324-27bc-48b8-8dee-104960cdffbc,22102,Adriano Correia Claro,6,Left Back,27.3,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a72c108b-0185-4a05-ad04-ee299458e933,30.6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a72c108b-0185-4a05-ad04-ee299458e933,116,1,00:03:39.905,3,39,30,Pass,10,217,Barcelona,1,Regular Play,217,Barcelona,0.913687,,b7021fff-e77c-4486-a20d-57559ff80dae,22102,Adriano Correia Claro,6,Left Back,30.6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,8.802273,1.5935197,1.0,Ground Pass,30.4,37.2,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
