id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,dribble,duel,shot,goalkeeper,off_camera,clearance,foul_committed,counterpress,ball_recovery,interception,foul_won,out,bad_behaviour,block,substitution,miscontrol,related_events_0,related_events_1,carry_end_location_0,carry_end_location_1,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,location,pass_recipient_id,pass_recipient_name,pass_switch,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,foul_committed_type_id,foul_committed_type_name,pass_type_id,pass_type_name,dribble_outcome_id,dribble_outcome_name,clearance_head,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,interception_outcome_id,interception_outcome_name,pass_aerial_won,pass_through_ball,pass_technique_id,pass_technique_name,pass_cross,clearance_left_foot,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,foul_committed_card_id,foul_committed_card_name,shot_first_time
62fe992a-6084-4b17-8b5a-97ff2b28e0a3,47,1,00:00:43.545,0,43,2,Ball Recovery,3,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,4.3,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3e694b4-9e2d-4c5f-a26d-e36a981ad23a,48,1,00:00:43.545,0,43,43,Carry,3,217,Barcelona,1,Regular Play,217,Barcelona,9.529074,,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,4.3,43.4,,,,,,,,,,,,,,,,,,,,,5ea336b7-169d-4b0e-b073-3d9cbedd1740,62fe992a-6084-4b17-8b5a-97ff2b28e0a3,7.7,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea336b7-169d-4b0e-b073-3d9cbedd1740,49,1,00:00:53.074,0,53,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,6.411072,,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.7,43.9,,,,,,,,,,,,,,,,,,,,,,,,,87.00368,-0.40398628,3.0,High Pass,87.7,9.7,68.0,Drop Kick,74.0,Injury Clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74d7446-b83c-4b8a-bfe3-b6b5c2ad0152,50,1,00:00:59.501,0,59,40,Injury Stoppage,3,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5211,Jordi Alba Ramos,6,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0605c812-8530-471e-bce0-edfe2b7abf50,53,1,00:02:15.848,2,15,2,Ball Recovery,5,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,20.9,30.6,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e48a1e8-4609-47d1-bee8-dedde961e44f,54,1,00:02:19.901,2,19,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,2.2539,,,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,14.3,35.9,,,,,,,,,True,,,,,,,,,,,,874cc62e-7a7a-40f8-b7f5-5099412d1375,,,,14.940214,-0.7333126,1.0,Ground Pass,25.4,25.9,40.0,Right Foot,,,,5203.0,Sergio Busquets i Burgos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874cc62e-7a7a-40f8-b7f5-5099412d1375,55,1,00:02:22.155,2,22,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,25.4,25.9,,,,,,,,,,,,,,,,,,,,,1e48a1e8-4609-47d1-bee8-dedde961e44f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356c3bda-c665-46d2-bda6-a844c1ffec39,56,1,00:02:29.738,2,29,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,2.162659,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,40.9,49.0,,,,,,,,,,,,,,,,,,,,,39b38aaf-b6ba-4d1f-9c58-958628a1d645,,,,20.665188,1.0876707,1.0,Ground Pass,50.5,67.3,40.0,Right Foot,,,,5213.0,Gerard Piqué Bernabéu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39b38aaf-b6ba-4d1f-9c58-958628a1d645,57,1,00:02:31.901,2,31,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.5,67.3,,,,,,,,,,,,,,,,,,,,,356c3bda-c665-46d2-bda6-a844c1ffec39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34dd1c41-1080-4fe8-97e8-500fcb3b37c1,58,1,00:02:31.901,2,31,43,Carry,5,217,Barcelona,1,Regular Play,217,Barcelona,1.142302,,,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.5,67.3,,,,,,,,,,,,,,,,,,,,,39b38aaf-b6ba-4d1f-9c58-958628a1d645,b633d5d6-a2d5-4c66-a3b7-2d8314671887,52.5,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b633d5d6-a2d5-4c66-a3b7-2d8314671887,59,1,00:02:33.043,2,33,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,1.151499,,,5213,Gerard Piqué Bernabéu,3,Right Center Back,52.5,69.2,,,,,,,,,,,,,,,,,,,,,4734b847-73e6-4ea9-b9cd-a276d1c1b467,,,,15.870098,0.72297937,1.0,Ground Pass,64.4,79.7,40.0,Right Foot,,,,6379.0,Sergi Roberto Carnicer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734b847-73e6-4ea9-b9cd-a276d1c1b467,60,1,00:02:34.195,2,34,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,,6379,Sergi Roberto Carnicer,2,Right Back,64.4,79.7,,,,,,,,,,,,,,,,,,,,,b633d5d6-a2d5-4c66-a3b7-2d8314671887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fd571d3-5e4f-432a-a83a-b1733e7daa70,61,1,00:02:34.195,2,34,43,Carry,5,217,Barcelona,1,Regular Play,217,Barcelona,0.388501,,,6379,Sergi Roberto Carnicer,2,Right Back,64.4,79.7,,,,,,,,,,,,,,,,,,,,,1eff9732-49b9-46f6-bbb1-85b26f138f1c,4734b847-73e6-4ea9-b9cd-a276d1c1b467,64.4,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eff9732-49b9-46f6-bbb1-85b26f138f1c,62,1,00:02:34.583,2,34,30,Pass,5,217,Barcelona,1,Regular Play,217,Barcelona,0.7778,,,6379,Sergi Roberto Carnicer,2,Right Back,64.4,79.7,,,,,,,,,,,,,,,,,,,,,c6d7e5b9-6b3f-4f02-9211-3348d919f5a3,,,,7.1589108,-1.0759089,1.0,Ground Pass,67.8,73.4,40.0,Right Foot,,,,5503.0,Lionel Andrés Messi Cuccittini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6d7e5b9-6b3f-4f02-9211-3348d919f5a3,63,1,00:02:35.361,2,35,42,Ball Receipt*,5,217,Barcelona,1,Regular Play,217,Barcelona,,,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,67.8,73.4,,,,,,,,,,,,,,,,,,,,,1eff9732-49b9-46f6-bbb1-85b26f138f1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
