id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,out,foul_won,off_camera,shot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble,block,foul_committed,ball_recovery,substitution,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,related_events,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_committed_card_id,foul_committed_card_name,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,location,pass_aerial_won,foul_won_defensive,pass_goal_assist,shot_end_location_2,shot_first_time,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate
c5eb4380-f413-4416-a95a-e35a2a55bc46,1041,1,00:25:05.885,25,5,42,Ball Receipt*,46,217,Barcelona,1,Regular Play,217,Barcelona,,,36f046ba-047d-4777-9556-f60b8d5bf0db,5470,Ivan Rakitić,13,Right Center Midfield,81.1,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c08f35f-11a7-47a9-9877-513a83466c04,1042,1,00:25:05.885,25,5,43,Carry,46,217,Barcelona,1,Regular Play,217,Barcelona,0.6215,,1a9fe89d-7c1d-4776-8451-60ecc2059fd6,5470,Ivan Rakitić,13,Right Center Midfield,81.1,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5eb4380-f413-4416-a95a-e35a2a55bc46,,,,,,,,,,,,,,81.3,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a9fe89d-7c1d-4776-8451-60ecc2059fd6,1043,1,00:25:06.506,25,6,30,Pass,46,217,Barcelona,1,Regular Play,217,Barcelona,0.9645,,030e7444-abd2-4d47-aeeb-1f32a049b12e,5470,Ivan Rakitić,13,Right Center Midfield,81.3,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,12.440257,-1.4903253,1.0,Ground Pass,82.3,55.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030e7444-abd2-4d47-aeeb-1f32a049b12e,1044,1,00:25:07.471,25,7,42,Ball Receipt*,46,217,Barcelona,1,Regular Play,217,Barcelona,,,1a9fe89d-7c1d-4776-8451-60ecc2059fd6,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.3,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba3c93be-f8e2-4473-9758-6dfd4948470b,1045,1,00:25:07.471,25,7,30,Pass,46,217,Barcelona,1,Regular Play,217,Barcelona,1.7572,,af9d48ae-1dc8-4030-833e-a183e53b4ecf,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.3,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,11.54123,1.7273982,1.0,Ground Pass,80.5,67.6,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af9d48ae-1dc8-4030-833e-a183e53b4ecf,1046,1,00:25:09.228,25,9,42,Ball Receipt*,46,217,Barcelona,1,Regular Play,217,Barcelona,,,ba3c93be-f8e2-4473-9758-6dfd4948470b,5470,Ivan Rakitić,13,Right Center Midfield,80.5,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134bcbcd-0ad3-4751-b2e6-116071e9e8e8,1047,1,00:25:09.228,25,9,43,Carry,46,217,Barcelona,1,Regular Play,217,Barcelona,0.0769,,af9d48ae-1dc8-4030-833e-a183e53b4ecf,5470,Ivan Rakitić,13,Right Center Midfield,80.5,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3f7e331-2488-4151-a6cc-3e31c345450f,,,,,,,,,,,,,,69.2,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3f7e331-2488-4151-a6cc-3e31c345450f,1048,1,00:25:09.305,25,9,30,Pass,46,217,Barcelona,1,Regular Play,217,Barcelona,1.043438,,d8edfbef-bd87-4a1a-9aa0-93b4f655cb74,5470,Ivan Rakitić,13,Right Center Midfield,69.2,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,10.007997,-1.5308176,1.0,Ground Pass,69.6,54.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8edfbef-bd87-4a1a-9aa0-93b4f655cb74,1049,1,00:25:10.348,25,10,42,Ball Receipt*,46,217,Barcelona,1,Regular Play,217,Barcelona,,,d3f7e331-2488-4151-a6cc-3e31c345450f,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,69.6,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ed319af-d609-4d83-a7fb-d98daeb33caf,1050,1,00:25:10.348,25,10,43,Carry,46,217,Barcelona,1,Regular Play,217,Barcelona,1.607862,,c33e0437-b8a9-419a-a80c-87245726b514,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,69.6,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8edfbef-bd87-4a1a-9aa0-93b4f655cb74,,,,,,,,,,,,,,69.6,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
