id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate
1eab7aa0-6a4a-40ac-8080-86203b2ce514,3448,2,00:42:03.561,87,3,30,Pass,147,217,Barcelona,1,Regular Play,217,Barcelona,2.353849,,e6f7279e-b8a3-4fa8-aba6-41cf7ba5fbe0,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,42.0,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,32.8032,0.8479514,1.0,Ground Pass,63.7,73.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6f7279e-b8a3-4fa8-aba6-41cf7ba5fbe0,3449,2,00:42:05.914,87,5,42,Ball Receipt*,147,217,Barcelona,1,Regular Play,217,Barcelona,,,1eab7aa0-6a4a-40ac-8080-86203b2ce514,,4324,Daniel Alves da Silva,2,Right Back,63.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e11a884f-3df2-44dc-899e-cf6918751e3f,3450,2,00:42:05.914,87,5,43,Carry,147,217,Barcelona,1,Regular Play,217,Barcelona,0.354451,,e6f7279e-b8a3-4fa8-aba6-41cf7ba5fbe0,,4324,Daniel Alves da Silva,2,Right Back,63.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7dfc09b-a426-4394-8616-24f943b74475,,,,,,,,,,,,,,63.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7dfc09b-a426-4394-8616-24f943b74475,3451,2,00:42:06.269,87,6,30,Pass,147,217,Barcelona,1,Regular Play,217,Barcelona,0.717586,,94a91d8e-274c-4b55-83c1-9268e8a03fad,,4324,Daniel Alves da Silva,2,Right Back,63.7,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.8294315,0.49221125,1.0,Ground Pass,70.6,77.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94a91d8e-274c-4b55-83c1-9268e8a03fad,3452,2,00:42:06.986,87,6,42,Ball Receipt*,147,217,Barcelona,1,Regular Play,217,Barcelona,,,f7dfc09b-a426-4394-8616-24f943b74475,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,70.6,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da77ce6-d8a8-473f-82c3-b1c52fd6a515,3453,2,00:42:06.986,87,6,43,Carry,147,217,Barcelona,1,Regular Play,217,Barcelona,4.515414,,466c550e-b6b9-4173-b923-81c57faeada9,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,70.6,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94a91d8e-274c-4b55-83c1-9268e8a03fad,,,,,,,,,,,,,,79.4,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466c550e-b6b9-4173-b923-81c57faeada9,3454,2,00:42:11.502,87,11,30,Pass,147,217,Barcelona,1,Regular Play,217,Barcelona,0.9976,,2c94ec88-0614-4183-b8aa-1f6a5cf73ffd,,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,79.4,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdf86c7d-916f-4ee1-9ef2-0d9624f769ee,11094.0,Arda Turan,13.080137,-0.638914,2.0,Low Pass,89.9,60.0,38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdf86c7d-916f-4ee1-9ef2-0d9624f769ee,3455,2,00:42:12.499,87,12,42,Ball Receipt*,147,217,Barcelona,1,Regular Play,217,Barcelona,,,466c550e-b6b9-4173-b923-81c57faeada9,,11094,Arda Turan,13,Right Center Midfield,93.9,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c94ec88-0614-4183-b8aa-1f6a5cf73ffd,3456,2,00:42:12.499,87,12,10,Interception,147,217,Barcelona,1,Regular Play,1041,Sporting Gijón,0.0,,466c550e-b6b9-4173-b923-81c57faeada9,,24686,Roberto Canella Suárez,6,Left Back,30.2,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968e0faf-cae6-4efd-acaf-f7cf04351bc4,3457,2,00:42:12.499,87,12,43,Carry,147,217,Barcelona,1,Regular Play,1041,Sporting Gijón,0.7004,,2c94ec88-0614-4183-b8aa-1f6a5cf73ffd,,24686,Roberto Canella Suárez,6,Left Back,30.2,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75c0dd63-351d-4b68-bffd-331b470af3c6,,,,,,,,,,,,,,31.2,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
