id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,related_events,player,position,location
c9da85b7-238b-41aa-a7b4-3eb94d8de703,3471,2,00:42:22.920,87,22,23,Goal Keeper,147,217,Barcelona,1,Regular Play,1041,Sporting Gijón,0.0,,9a79a27e-0524-490d-8828-aa6996d23d74,,6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,1.8,41.3,,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591dc186-aa0d-42ec-b9d3-c40e389c321d,3480,2,00:44:09.466,89,9,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.999552,,3d66c947-0951-4fe5-b17a-f18be32f15f1,,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,7.0,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,22.204954,0.79813635,1.0,Ground Pass,22.5,60.0,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,
3d66c947-0951-4fe5-b17a-f18be32f15f1,3481,2,00:44:11.465,89,11,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,591dc186-aa0d-42ec-b9d3-c40e389c321d,,7068.0,Marc Bartra Aregall,3.0,Right Center Back,22.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accf50b3-a4fd-44df-9b54-0d0dca910f4c,3482,2,00:44:11.465,89,11,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,0.781786,,3d66c947-0951-4fe5-b17a-f18be32f15f1,,7068.0,Marc Bartra Aregall,3.0,Right Center Back,22.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563cfe9-9a12-400d-a9ed-34f7caa20e77,29.4,61.7,,,,,,,,,,,,,
4563cfe9-9a12-400d-a9ed-34f7caa20e77,3483,2,00:44:12.247,89,12,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,2.223675,,fdd3186e-1263-44ab-ae95-1c57c321ab11,,7068.0,Marc Bartra Aregall,3.0,Right Center Back,29.4,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,24.108505,0.2902649,1.0,Ground Pass,52.5,68.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,
fdd3186e-1263-44ab-ae95-1c57c321ab11,3484,2,00:44:14.471,89,14,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,4563cfe9-9a12-400d-a9ed-34f7caa20e77,,4324.0,Daniel Alves da Silva,2.0,Right Back,52.5,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e37e248e-9468-4fd2-944f-c77f42fef8bf,3485,2,00:44:14.471,89,14,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,3.919487,,47ce3de1-a678-463f-93cc-b7a5d823fba1,,4324.0,Daniel Alves da Silva,2.0,Right Back,52.5,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdd3186e-1263-44ab-ae95-1c57c321ab11,79.6,71.8,,,,,,,,,,,,,
47ce3de1-a678-463f-93cc-b7a5d823fba1,3486,2,00:44:18.390,89,18,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,3.042329,,df4063b7-d259-4755-9dcc-c0d4672ae262,,4324.0,Daniel Alves da Silva,2.0,Right Back,79.6,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,55.07177,-1.3826598,3.0,High Pass,89.9,17.7,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,
df4063b7-d259-4755-9dcc-c0d4672ae262,3487,2,00:44:21.432,89,21,42,Ball Receipt*,149,217,Barcelona,7,From Goal Kick,217,Barcelona,,,47ce3de1-a678-463f-93cc-b7a5d823fba1,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,89.9,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79ecd5f9-f7fb-4fc6-ab21-f0f01ed590f7,3488,2,00:44:21.432,89,21,43,Carry,149,217,Barcelona,7,From Goal Kick,217,Barcelona,4.832371,,1390f756-794b-4282-91f6-891b05d30630,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,89.9,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df4063b7-d259-4755-9dcc-c0d4672ae262,96.9,20.9,,,,,,,,,,,,,
1390f756-794b-4282-91f6-891b05d30630,3489,2,00:44:26.265,89,26,30,Pass,149,217,Barcelona,7,From Goal Kick,217,Barcelona,1.2808,,03eee54e-5654-477e-be37-223e08e14bd5,,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,96.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,14.029255,1.706645,1.0,Ground Pass,95.0,34.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,
