id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,interception,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,block,duel,dribble,ball_recovery,clearance,foul_committed,foul_won,substitution,50_50,goalkeeper,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_type_id,pass_type_name,related_events_2,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,related_events_3,foul_committed_card_id,foul_committed_card_name,pass_switch,pass_aerial_won,pass_through_ball,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate
2bfd900a-7de1-4812-a55f-f1391f33ae08,1585,1,00:40:53.255,40,53,23,Goal Keeper,73,217,Barcelona,2,From Corner,210,Real Sociedad,0.0,,9e0249d0-865f-4567-abcd-90fb4f182847,6694,Gerónimo Rulli,1,Goalkeeper,1.6,41.0,,,,,,,,,45.0,Diving,44.0,Set,39.0,Left Hand,26.0,Goal Conceded,58.0,Touched In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff29846b-9073-460e-9ad3-f2ccba50e175,1622,1,00:42:54.859,42,54,4,Duel,77,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,095c4441-cda5-4f08-948b-f20e45030e51,5506,Javier Alejandro Mascherano,5,Left Center Back,45.5,16.3,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33ef15a0-253a-4b17-89ec-ca71360b8710,1623,1,00:42:55.535,42,55,2,Ball Recovery,77,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.0,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617516e2-c277-4489-afe2-5ef0ea197bfa,1624,1,00:42:55.535,42,55,43,Carry,77,217,Barcelona,1,Regular Play,217,Barcelona,2.1386,,33ef15a0-253a-4b17-89ec-ca71360b8710,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.0,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3b1a957-5070-4900-81d4-f3b4e7453f94,48.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3b1a957-5070-4900-81d4-f3b4e7453f94,1625,1,00:42:57.673,42,57,30,Pass,77,217,Barcelona,1,Regular Play,217,Barcelona,4.6603,,f2fe6264-3e31-44ed-8d88-427e20ac31bb,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,48.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,56.989296,-0.30843282,3.0,High Pass,103.0,4.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2fe6264-3e31-44ed-8d88-427e20ac31bb,1626,1,00:43:02.334,43,2,42,Ball Receipt*,77,217,Barcelona,1,Regular Play,217,Barcelona,,,e3b1a957-5070-4900-81d4-f3b4e7453f94,4320,Neymar da Silva Santos Junior,21,Left Wing,103.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2c995bc-838c-4b48-8fd1-0d8776bce51c,1627,1,00:43:02.334,43,2,43,Carry,77,217,Barcelona,1,Regular Play,217,Barcelona,4.6067,,2d80262c-9689-4df9-a1d7-4a3c7a6577d0,4320,Neymar da Silva Santos Junior,21,Left Wing,103.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f2fe6264-3e31-44ed-8d88-427e20ac31bb,108.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d80262c-9689-4df9-a1d7-4a3c7a6577d0,1628,1,00:43:06.940,43,6,30,Pass,77,217,Barcelona,1,Regular Play,217,Barcelona,0.9023,,2d070b05-e684-425c-a3de-b2e0819a4e07,4320,Neymar da Silva Santos Junior,21,Left Wing,108.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d61df98-36b9-4fe4-9604-ae0a80e3c713,,,5246.0,Luis Alberto Suárez Díaz,14.176036,1.8568478,1.0,Ground Pass,104.1,18.1,40.0,Right Foot,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d070b05-e684-425c-a3de-b2e0819a4e07,1629,1,00:43:07.843,43,7,42,Ball Receipt*,77,217,Barcelona,1,Regular Play,217,Barcelona,,,2d80262c-9689-4df9-a1d7-4a3c7a6577d0,5246,Luis Alberto Suárez Díaz,23,Center Forward,104.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d61df98-36b9-4fe4-9604-ae0a80e3c713,1630,1,00:43:07.843,43,7,10,Interception,77,217,Barcelona,1,Regular Play,210,Real Sociedad,0.0,,2d80262c-9689-4df9-a1d7-4a3c7a6577d0,16622,Mikel González de Martín Martínez,3,Right Center Back,16.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
