id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,counterpress,duel,foul_won,interception,clearance,dribble,foul_committed,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,out,miscontrol,ball_recovery,block,bad_behaviour,injury_stoppage,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_assisted_shot_id,pass_shot_assist,pass_no_touch,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,related_events_3,foul_committed_advantage,foul_won_advantage,related_events_4,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty
d574d230-cdc4-4d40-9819-e46e5b59fc40,2586,2,00:23:09.032,68,9,43,Carry,151,217,Barcelona,1,Regular Play,217,Barcelona,0.908434,,1b87aff2-c51d-4873-920d-9b6dec853ed2,,5216,Andrés Iniesta Luján,15,Left Center Midfield,73.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc239a8-4b1c-4f05-8e21-b8778ad7d711,73.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b87aff2-c51d-4873-920d-9b6dec853ed2,2587,2,00:23:09.940,68,9,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.611704,,0cb4c1f4-1bd7-48cd-b219-528052f5675d,,5216,Andrés Iniesta Luján,15,Left Center Midfield,73.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,9.914131,-1.4189138,1.0,Ground Pass,74.5,43.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cb4c1f4-1bd7-48cd-b219-528052f5675d,2588,2,00:23:10.552,68,10,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,1b87aff2-c51d-4873-920d-9b6dec853ed2,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,74.5,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd61f2f3-8bc9-4ddc-82eb-1d561c3b1131,2589,2,00:23:10.552,68,10,43,Carry,151,217,Barcelona,1,Regular Play,217,Barcelona,0.850975,,0cb4c1f4-1bd7-48cd-b219-528052f5675d,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,74.5,43.8,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3cd1cfb1-fe19-4e00-bee7-ac48d5aa9160,74.9,44.2,edd6f706-6c79-4997-a877-bb271396077e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3cd1cfb1-fe19-4e00-bee7-ac48d5aa9160,2590,2,00:23:10.972,68,10,17,Pressure,151,217,Barcelona,1,Regular Play,222,Villarreal,0.775674,,bd61f2f3-8bc9-4ddc-82eb-1d561c3b1131,,6862,Cédric Bakambu,13,Right Center Midfield,45.2,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edd6f706-6c79-4997-a877-bb271396077e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edd6f706-6c79-4997-a877-bb271396077e,2591,2,00:23:11.403,68,11,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,1.347853,,36776ad0-d6fb-4f92-b825-043bc6b26fc5,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,74.9,44.2,,,,True,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,8.450444,1.9337221,1.0,Ground Pass,71.9,52.1,38.0,Left Foot,,,,3cd1cfb1-fe19-4e00-bee7-ac48d5aa9160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8063bb2a-9115-4a8c-a832-fc00e60a64c8,2592,2,00:23:12.630,68,12,17,Pressure,151,217,Barcelona,1,Regular Play,222,Villarreal,0.407688,,2e5575b8-b2e4-4848-af03-9d43238dc68f,,6862,Cédric Bakambu,13,Right Center Midfield,49.5,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36776ad0-d6fb-4f92-b825-043bc6b26fc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36776ad0-d6fb-4f92-b825-043bc6b26fc5,2593,2,00:23:12.750,68,12,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,8063bb2a-9115-4a8c-a832-fc00e60a64c8,,5216,Andrés Iniesta Luján,15,Left Center Midfield,71.9,52.1,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edd6f706-6c79-4997-a877-bb271396077e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e5575b8-b2e4-4848-af03-9d43238dc68f,2594,2,00:23:12.750,68,12,30,Pass,151,217,Barcelona,1,Regular Play,217,Barcelona,0.779666,,590e43b9-6b7d-446a-ad4a-bc557b01f31f,,5216,Andrés Iniesta Luján,15,Left Center Midfield,70.6,50.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,8.9810915,-0.65909004,2.0,Low Pass,77.7,45.1,40.0,Right Foot,,,,8063bb2a-9115-4a8c-a832-fc00e60a64c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590e43b9-6b7d-446a-ad4a-bc557b01f31f,2595,2,00:23:13.530,68,13,42,Ball Receipt*,151,217,Barcelona,1,Regular Play,217,Barcelona,,,2e5575b8-b2e4-4848-af03-9d43238dc68f,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,77.7,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
