id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,pass_no_touch,dribble_outcome_id,dribble_outcome_name,related_events_2,related_events_3,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,related_events,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,player,position,location
e66cbd7b-ad00-4c88-ac21-5fe3888cc1ea,3192,2,00:44:50.112,89,50,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.787826,,7a6ca76c-8c5e-4cd2-8a86-4f2d66301c04,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,93.2,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,8.077747,-1.0240074,1.0,Ground Pass,97.4,21.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a185e79-8b4e-4ae6-98b5-a3bae0494144,3193,2,00:44:50.806,89,50,17,Pressure,182,217,Barcelona,7,From Goal Kick,360,Rayo Vallecano,0.376276,,7a6ca76c-8c5e-4cd2-8a86-4f2d66301c04,27144.0,Antonio Amaya Carazo,3.0,Right Center Back,22.9,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdab09bc-006b-40ec-9ca8-a2a48e0cd27c,,,,,,,,,,,,,,,,,,,,,,,,,
7a6ca76c-8c5e-4cd2-8a86-4f2d66301c04,3194,2,00:44:50.900,89,50,42,Ball Receipt*,182,217,Barcelona,7,From Goal Kick,217,Barcelona,,,3a185e79-8b4e-4ae6-98b5-a3bae0494144,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,97.4,21.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e66cbd7b-ad00-4c88-ac21-5fe3888cc1ea,,,,,,,,,,,,,,,,,,,,,,,,,
fdab09bc-006b-40ec-9ca8-a2a48e0cd27c,3195,2,00:44:50.900,89,50,43,Carry,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.68163,,3a185e79-8b4e-4ae6-98b5-a3bae0494144,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,97.4,21.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75b24f1b-af5a-4304-b3b9-e09dd85201b5,,,,,,,98.9,19.5,,,,7a6ca76c-8c5e-4cd2-8a86-4f2d66301c04,,,,,,,,,,,,,
75b24f1b-af5a-4304-b3b9-e09dd85201b5,3196,2,00:44:51.581,89,51,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,1.156685,,d786f466-7053-4fa7-963a-e98ccfebf889,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,98.9,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,7.1112585,1.5145178,1.0,Ground Pass,99.3,26.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
d786f466-7053-4fa7-963a-e98ccfebf889,3197,2,00:44:52.738,89,52,42,Ball Receipt*,182,217,Barcelona,7,From Goal Kick,217,Barcelona,,,75b24f1b-af5a-4304-b3b9-e09dd85201b5,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,99.3,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dd41382-2ee0-4ca1-b7df-53aedec359cf,3198,2,00:44:52.738,89,52,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.471791,,040c0904-1fc6-4afb-b404-4298e45e023b,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,99.3,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,10.7,1.5707964,1.0,Ground Pass,99.3,37.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
040c0904-1fc6-4afb-b404-4298e45e023b,3199,2,00:44:53.210,89,53,42,Ball Receipt*,182,217,Barcelona,7,From Goal Kick,217,Barcelona,,,6dd41382-2ee0-4ca1-b7df-53aedec359cf,11094.0,Arda Turan,15.0,Left Center Midfield,99.3,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d39521ee-687d-49f1-bad0-c8d29fc3c32d,3200,2,00:44:53.210,89,53,43,Carry,182,217,Barcelona,7,From Goal Kick,217,Barcelona,0.120009,,040c0904-1fc6-4afb-b404-4298e45e023b,11094.0,Arda Turan,15.0,Left Center Midfield,99.3,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8096cb22-2a3b-44c7-af45-4d10dd00eca0,,,,,,,99.3,37.3,,,,,,,,,,,,,,,,,
8096cb22-2a3b-44c7-af45-4d10dd00eca0,3201,2,00:44:53.330,89,53,30,Pass,182,217,Barcelona,7,From Goal Kick,217,Barcelona,1.1814,,01748d9d-5bce-47bb-91d3-70f268a05040,11094.0,Arda Turan,15.0,Left Center Midfield,99.3,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,10.017983,-0.45471928,3.0,High Pass,108.3,32.9,40.0,Right Foot,,1574b867-d0f4-4111-841c-17a97411a796,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
