id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,ball_receipt,under_pressure,dribble,duel,shot,goalkeeper,off_camera,clearance,foul_committed,counterpress,ball_recovery,interception,foul_won,out,bad_behaviour,block,substitution,miscontrol,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,related_events_3,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_through_ball
d4a6a19b-0de5-414d-882f-71870100db9d,2544,2,00:14:41.673,59,41,2,Ball Recovery,108,217,Barcelona,7,From Goal Kick,217,Barcelona,0.0,,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,32.4,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad82e3ce-b676-4eda-9e0d-ead2ef4c328e,2545,2,00:14:41.673,59,41,43,Carry,108,217,Barcelona,7,From Goal Kick,217,Barcelona,1.103936,,98c82d06-3873-4d4f-bcbb-7bb1103bdebb,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,32.4,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4a6a19b-0de5-414d-882f-71870100db9d,,34.3,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98c82d06-3873-4d4f-bcbb-7bb1103bdebb,2546,2,00:14:42.777,59,42,30,Pass,108,217,Barcelona,7,From Goal Kick,217,Barcelona,0.328841,,1af9803f-61cc-4740-8a47-23cdde395058,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,34.3,63.9,5503.0,Lionel Andrés Messi Cuccittini,12.061509,-0.7032306,1.0,Ground Pass,43.5,56.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1af9803f-61cc-4740-8a47-23cdde395058,2547,2,00:14:43.106,59,43,42,Ball Receipt*,108,217,Barcelona,7,From Goal Kick,217,Barcelona,,,98c82d06-3873-4d4f-bcbb-7bb1103bdebb,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,43.5,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa103712-d9c2-40ea-beb2-7e39ebb7e58f,2548,2,00:14:43.106,59,43,43,Carry,108,217,Barcelona,7,From Goal Kick,217,Barcelona,5.966823,,1af9803f-61cc-4740-8a47-23cdde395058,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,43.5,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54398b4f-5a0b-47e3-94f8-c38d18c1297a,,82.6,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54398b4f-5a0b-47e3-94f8-c38d18c1297a,2549,2,00:14:49.072,59,49,30,Pass,108,217,Barcelona,7,From Goal Kick,217,Barcelona,1.68524,,fe305b10-a3c0-466e-bbc1-a609233fb648,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,82.6,41.7,4320.0,Neymar da Silva Santos Junior,31.578474,-0.67770827,2.0,Low Pass,107.2,21.9,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cf76fef-6ef9-47f2-a3b8-c3488ed91bcd,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d41b4494-3d68-47ff-a00a-6d6fc1806beb,2550,2,00:14:50.530,59,50,17,Pressure,108,217,Barcelona,7,From Goal Kick,222,Villarreal,2.245913,,3a7a2733-b2bc-4f67-b457-2555dabf8261,6772,Mario Gaspar Pérez Martínez,2,Right Back,13.8,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe305b10-a3c0-466e-bbc1-a609233fb648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe305b10-a3c0-466e-bbc1-a609233fb648,2551,2,00:14:50.758,59,50,42,Ball Receipt*,108,217,Barcelona,7,From Goal Kick,217,Barcelona,,,54398b4f-5a0b-47e3-94f8-c38d18c1297a,4320,Neymar da Silva Santos Junior,21,Left Wing,107.2,21.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,d41b4494-3d68-47ff-a00a-6d6fc1806beb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a7a2733-b2bc-4f67-b457-2555dabf8261,2552,2,00:14:50.758,59,50,43,Carry,108,217,Barcelona,7,From Goal Kick,217,Barcelona,3.26806,,0cf76fef-6ef9-47f2-a3b8-c3488ed91bcd,4320,Neymar da Silva Santos Junior,21,Left Wing,107.2,21.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,d41b4494-3d68-47ff-a00a-6d6fc1806beb,fe305b10-a3c0-466e-bbc1-a609233fb648,107.6,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cf76fef-6ef9-47f2-a3b8-c3488ed91bcd,2553,2,00:14:54.026,59,54,16,Shot,108,217,Barcelona,7,From Goal Kick,217,Barcelona,0.3498,,2e569e9a-35f5-4800-928e-b24aa1d18cb1,4320,Neymar da Silva Santos Junior,21,Left Wing,107.6,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15800229,117.3,41.2,0.9,54398b4f-5a0b-47e3-94f8-c38d18c1297a,93.0,Normal,40.0,Right Foot,87.0,Open Play,100.0,Saved,111.3,29.2,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,True,112.0,50.8,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,True,117.4,39.3,6755.0,Sergio Asenjo Andrés,1.0,Goalkeeper,False,112.4,43.2,5588.0,Antonio Rukavina,6.0,Left Back,False,112.8,36.1,6752.0,Víctor Ruíz Torre,5.0,Left Center Back,False,112.5,30.5,22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,False,107.8,33.8,6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,False,110.5,32.8,3324.0,Eric Bertrand Bailly,3.0,Right Center Back,False,96.8,40.0,6771.0,Manuel Trigueros Muñoz,9.0,Right Defensive Midfield,False,87.6,49.2,4324.0,Daniel Alves da Silva,2.0,Right Back,True,105.0,41.6,5470.0,Ivan Rakitić,13.0,Right Center Midfield,True,103.6,28.5,6379.0,Sergi Roberto Carnicer,15.0,Left Center Midfield,True,,,,,,,,,,,,,,,,,,,
