id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,ball_recovery,block,substitution,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,foul_won_defensive,related_events_3,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate
b1da0c50-2207-4341-b6cd-4541b38ff6aa,3350,2,00:40:43.800,85,43,43,Carry,159,217,Barcelona,1,Regular Play,217,Barcelona,0.6691,,13b029be-51b2-48ff-a8da-b7c0d147546e,5470,Ivan Rakitić,13,Right Center Midfield,59.7,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc059b1c-8f99-4880-a5a0-271a6292948d,,59.7,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13b029be-51b2-48ff-a8da-b7c0d147546e,3351,2,00:40:44.470,85,44,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.3576,,c916bdd2-6218-4b28-ace7-09a4a40f9584,5470,Ivan Rakitić,13,Right Center Midfield,59.7,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,18.386137,-1.8012642,1.0,Ground Pass,55.5,53.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c916bdd2-6218-4b28-ace7-09a4a40f9584,3352,2,00:40:45.827,85,45,42,Ball Receipt*,159,217,Barcelona,1,Regular Play,217,Barcelona,,,13b029be-51b2-48ff-a8da-b7c0d147546e,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9efe375-3976-48ca-9723-754fc7f811e2,3353,2,00:40:45.827,85,45,43,Carry,159,217,Barcelona,1,Regular Play,217,Barcelona,3.4058,,9d208e38-5a60-4dca-8f2e-a7d9270bd254,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,c916bdd2-6218-4b28-ace7-09a4a40f9584,,57.2,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d208e38-5a60-4dca-8f2e-a7d9270bd254,3354,2,00:40:49.233,85,49,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.016,,76f3ec76-5191-468b-b74b-dc1611345be8,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,57.2,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,23.821,-1.5288042,1.0,Ground Pass,58.2,21.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f3ec76-5191-468b-b74b-dc1611345be8,3355,2,00:40:51.249,85,51,42,Ball Receipt*,159,217,Barcelona,1,Regular Play,217,Barcelona,,,9d208e38-5a60-4dca-8f2e-a7d9270bd254,5506,Javier Alejandro Mascherano,5,Left Center Back,58.2,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc088cad-4df2-498e-b52b-b69c58dc8791,3356,2,00:40:51.249,85,51,43,Carry,159,217,Barcelona,1,Regular Play,217,Barcelona,2.4644,,681a5b80-dae1-4a45-8466-cc2afb7fac65,5506,Javier Alejandro Mascherano,5,Left Center Back,58.2,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,76f3ec76-5191-468b-b74b-dc1611345be8,,57.2,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681a5b80-dae1-4a45-8466-cc2afb7fac65,3357,2,00:40:53.713,85,53,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.8295,,122a5d41-e53e-44da-945f-f734b1405efe,5506,Javier Alejandro Mascherano,5,Left Center Back,57.2,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,14.916434,2.2612429,1.0,Ground Pass,47.7,37.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122a5d41-e53e-44da-945f-f734b1405efe,3358,2,00:40:55.543,85,55,42,Ball Receipt*,159,217,Barcelona,1,Regular Play,217,Barcelona,,,681a5b80-dae1-4a45-8466-cc2afb7fac65,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.7,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b901e76-00f1-415e-9302-e8a3dd40231a,3359,2,00:40:55.543,85,55,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,1.3428,,cff8d6dd-cec0-4737-81cf-236fb3688e32,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.7,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,12.238055,0.81429183,1.0,Ground Pass,56.1,46.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cff8d6dd-cec0-4737-81cf-236fb3688e32,3360,2,00:40:56.886,85,56,42,Ball Receipt*,159,217,Barcelona,1,Regular Play,217,Barcelona,,,0b901e76-00f1-415e-9302-e8a3dd40231a,5470,Ivan Rakitić,13,Right Center Midfield,56.1,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158410f2-5b74-4f82-84b8-2aba6fbdd944,3361,2,00:40:56.886,85,56,30,Pass,159,217,Barcelona,1,Regular Play,217,Barcelona,2.1624,,e89c8eee-bb6f-4ebb-a5a9-776c71cf7e0a,5470,Ivan Rakitić,13,Right Center Midfield,56.1,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,18.257053,2.0001438,1.0,Ground Pass,48.5,63.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e89c8eee-bb6f-4ebb-a5a9-776c71cf7e0a,3362,2,00:40:59.048,85,59,42,Ball Receipt*,159,217,Barcelona,1,Regular Play,217,Barcelona,,,158410f2-5b74-4f82-84b8-2aba6fbdd944,5213,Gerard Piqué Bernabéu,3,Right Center Back,48.5,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22b08509-87be-4ae8-9c34-5b660568e1a8,3363,2,00:40:59.048,85,59,43,Carry,159,217,Barcelona,1,Regular Play,217,Barcelona,1.0926,,512fcc63-f660-4e8d-ac23-5db64bbe08c7,5213,Gerard Piqué Bernabéu,3,Right Center Back,48.5,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,e89c8eee-bb6f-4ebb-a5a9-776c71cf7e0a,,50.2,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
