id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,miscontrol,counterpress,interception,clearance,dribble,foul_committed,foul_won,out,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,ball_recovery,block,substitution,related_events,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,related_events_3,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_penalty,foul_won_penalty,shot_redirect,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
0eb9f3ae-7d47-4ba3-ae4d-97bc53dfedaf,3023,2,00:30:57.526,75,57,43,Carry,148,217,Barcelona,1,Regular Play,217,Barcelona,0.381501,,86f4ccdf-0a65-494b-bed3-bb62b7586ed7,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,84.9,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be606376-a1b0-43a3-b2b4-183869f5e716,,82.8,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be606376-a1b0-43a3-b2b4-183869f5e716,3024,2,00:30:57.908,75,57,14,Dribble,148,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,b599f535-7a74-47b7-97cf-88b973ef9bc9,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,82.8,53.9,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06b5260e-ee56-456e-bd35-4f13fa19b096,3060,2,00:31:18.330,76,18,2,Ball Recovery,150,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,52.3,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f342ab38-7ebc-4797-9cbf-75e2962b3712,3061,2,00:31:18.330,76,18,43,Carry,150,217,Barcelona,1,Regular Play,217,Barcelona,0.149911,,06b5260e-ee56-456e-bd35-4f13fa19b096,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,52.3,37.7,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,96763266-18e8-4f23-bcdc-715d941405ee,a3946dae-0319-45e3-a3e9-fc7603ba6303,52.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3946dae-0319-45e3-a3e9-fc7603ba6303,3062,2,00:31:18.480,76,18,39,Dribbled Past,150,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,96763266-18e8-4f23-bcdc-715d941405ee,6797.0,Daniel Wass,13.0,Right Center Midfield,67.6,40.1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,edc29ed8-2dd3-4fd3-8c58-baffca974032,f342ab38-7ebc-4797-9cbf-75e2962b3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96763266-18e8-4f23-bcdc-715d941405ee,3063,2,00:31:18.480,76,18,14,Dribble,150,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,a3946dae-0319-45e3-a3e9-fc7603ba6303,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,52.5,40.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc29ed8-2dd3-4fd3-8c58-baffca974032,3064,2,00:31:18.480,76,18,43,Carry,150,217,Barcelona,1,Regular Play,217,Barcelona,1.611793,,96763266-18e8-4f23-bcdc-715d941405ee,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,52.5,40.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,a3946dae-0319-45e3-a3e9-fc7603ba6303,e88590ff-b32f-4680-a752-4f596bf76bc8,50.4,40.7,,,,,,,,,,,,,,f001900e-f43d-43a8-9939-71c6db988fe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e88590ff-b32f-4680-a752-4f596bf76bc8,3065,2,00:31:19.170,76,19,17,Pressure,150,217,Barcelona,1,Regular Play,209,Celta Vigo,1.363673,,edc29ed8-2dd3-4fd3-8c58-baffca974032,6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,66.3,37.3,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,f001900e-f43d-43a8-9939-71c6db988fe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fb39132-c9a5-43ad-b2d0-54fbed3672f2,3066,2,00:31:20.092,76,20,22,Foul Committed,150,217,Barcelona,1,Regular Play,209,Celta Vigo,0.0,,f001900e-f43d-43a8-9939-71c6db988fe0,6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,69.7,39.4,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f001900e-f43d-43a8-9939-71c6db988fe0,3067,2,00:31:20.092,76,20,21,Foul Won,150,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,0fb39132-c9a5-43ad-b2d0-54fbed3672f2,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,50.4,40.7,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,e88590ff-b32f-4680-a752-4f596bf76bc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
