id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,interception,dribble,duel,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance,miscontrol,out,foul_committed,foul_won,ball_recovery,block,substitution,bad_behaviour,related_events,goalkeeper,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,ball_recovery_recovery_failure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_cross,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,location,bad_behaviour_card_id,bad_behaviour_card_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name
21241d6e-239b-478a-8168-c81b321e1d80,3151,2,00:33:48.396,78,48,42,Ball Receipt*,133,217,Barcelona,4,From Throw In,217,Barcelona,,,ddf75d83-1f4f-4026-b401-1db9597a5657,,4320,Neymar da Silva Santos Junior,21,Left Wing,92.3,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148a9a9-c7c2-4cf8-bd1d-3611846f94d3,3152,2,00:33:48.396,78,48,43,Carry,133,217,Barcelona,4,From Throw In,217,Barcelona,0.313802,,0e1acd48-e8d8-4cd0-abdf-954015e6b28d,,4320,Neymar da Silva Santos Junior,21,Left Wing,92.3,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21241d6e-239b-478a-8168-c81b321e1d80,,93.1,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e1acd48-e8d8-4cd0-abdf-954015e6b28d,3153,2,00:33:48.710,78,48,30,Pass,133,217,Barcelona,4,From Throw In,217,Barcelona,1.079848,,506af5cc-0d5b-40fe-add6-85034c008070,,4320,Neymar da Silva Santos Junior,21,Left Wing,93.1,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,11.406138,2.6583397,1.0,Ground Pass,83.0,35.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506af5cc-0d5b-40fe-add6-85034c008070,3154,2,00:33:49.790,78,49,42,Ball Receipt*,133,217,Barcelona,4,From Throw In,217,Barcelona,,,0e1acd48-e8d8-4cd0-abdf-954015e6b28d,,5216,Andrés Iniesta Luján,15,Left Center Midfield,83.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ef02785-353f-47af-b141-e99c050aeba2,3155,2,00:33:49.790,78,49,43,Carry,133,217,Barcelona,4,From Throw In,217,Barcelona,0.040012,,506af5cc-0d5b-40fe-add6-85034c008070,,5216,Andrés Iniesta Luján,15,Left Center Midfield,83.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a920a93-0678-4bfb-b69b-4a20e8d2af4f,,83.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a920a93-0678-4bfb-b69b-4a20e8d2af4f,3156,2,00:33:49.830,78,49,30,Pass,133,217,Barcelona,4,From Throw In,217,Barcelona,1.427036,,96a0e136-7d8c-4ebc-b49c-1fb5f9eba680,,5216,Andrés Iniesta Luján,15,Left Center Midfield,83.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,27.708662,-0.97278404,1.0,Ground Pass,98.6,12.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96a0e136-7d8c-4ebc-b49c-1fb5f9eba680,3157,2,00:33:51.257,78,51,42,Ball Receipt*,133,217,Barcelona,4,From Throw In,217,Barcelona,,,8a920a93-0678-4bfb-b69b-4a20e8d2af4f,,5211,Jordi Alba Ramos,6,Left Back,98.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620a750f-e2d0-4b8b-8ed3-25bad6d40487,3158,2,00:33:51.257,78,51,43,Carry,133,217,Barcelona,4,From Throw In,217,Barcelona,0.039964,,96a0e136-7d8c-4ebc-b49c-1fb5f9eba680,,5211,Jordi Alba Ramos,6,Left Back,98.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98f2bf4d-0135-4775-8231-09aed06ab042,,98.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98f2bf4d-0135-4775-8231-09aed06ab042,3159,2,00:33:51.297,78,51,30,Pass,133,217,Barcelona,4,From Throw In,217,Barcelona,1.186924,,21073957-8747-44e9-9575-a90ad35429cd,,5211,Jordi Alba Ramos,6,Left Back,98.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,10.404326,1.8834286,1.0,Ground Pass,95.4,22.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21073957-8747-44e9-9575-a90ad35429cd,3160,2,00:33:52.484,78,52,42,Ball Receipt*,133,217,Barcelona,4,From Throw In,217,Barcelona,,,98f2bf4d-0135-4775-8231-09aed06ab042,,4320,Neymar da Silva Santos Junior,21,Left Wing,95.4,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
