id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,pass_switch,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events,pass_cross,related_events_3,related_events_4,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,foul_committed_offensive,foul_won_defensive,pass_aerial_won,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,pass_inswinging,clearance_head
8fd1f18c-074d-4472-b4a7-10ffaf7d0583,358,1,00:08:36.267,8,36,42,Ball Receipt*,22,217,Barcelona,4,From Throw In,217,Barcelona,,,3d5d046e-9101-471d-96c6-9a45b5a9d8c4,5470,Ivan Rakitić,15,Left Center Midfield,87.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7af91f3e-3237-453e-b67f-151cb4d67b4a,359,1,00:08:36.267,8,36,43,Carry,22,217,Barcelona,4,From Throw In,217,Barcelona,0.137791,,8fd1f18c-074d-4472-b4a7-10ffaf7d0583,5470,Ivan Rakitić,15,Left Center Midfield,87.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a4a27db5-4a0a-4466-b902-9ea512d2973b,,87.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4a27db5-4a0a-4466-b902-9ea512d2973b,360,1,00:08:36.405,8,36,30,Pass,22,217,Barcelona,4,From Throw In,217,Barcelona,0.914978,,75b445c1-1b22-44ae-999d-1997dd2f88a5,5470,Ivan Rakitić,15,Left Center Midfield,87.2,45.7,5503.0,Lionel Andrés Messi Cuccittini,15.546382,-0.07726523,1.0,Ground Pass,102.7,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75b445c1-1b22-44ae-999d-1997dd2f88a5,361,1,00:08:37.320,8,37,42,Ball Receipt*,22,217,Barcelona,4,From Throw In,217,Barcelona,,,a4a27db5-4a0a-4466-b902-9ea512d2973b,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,102.7,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacc0788-2337-4374-9d2f-e69824266daf,372,1,00:09:17.410,9,17,2,Ball Recovery,24,217,Barcelona,6,From Counter,217,Barcelona,0.0,,27637db7-7f62-49f6-811c-217989fa9a61,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,2.3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c45426ce-3c8f-46ce-80d8-d69a4f8fbfb1,373,1,00:09:23.109,9,23,30,Pass,24,217,Barcelona,6,From Counter,217,Barcelona,2.741178,,3fbcce31-c2c5-4b0c-9614-3af2b51180af,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,15.1,26.9,4320.0,Neymar da Silva Santos Junior,48.483913,-0.44796625,3.0,High Pass,58.8,5.9,,,,,,,True,,,,,,,,,,,,,,,,,,,68.0,Drop Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6f4f962-5155-49d8-b4ec-5e3b48d31633,374,1,00:09:25.679,9,25,17,Pressure,24,217,Barcelona,6,From Counter,360,Rayo Vallecano,1.776454,,3fbcce31-c2c5-4b0c-9614-3af2b51180af,6713,Diego Javier Llorente Ríos,3,Right Center Back,61.8,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70f29d8f-93d2-4bd9-b3ca-2858222ccf08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fbcce31-c2c5-4b0c-9614-3af2b51180af,375,1,00:09:25.851,9,25,42,Ball Receipt*,24,217,Barcelona,6,From Counter,217,Barcelona,,,c45426ce-3c8f-46ce-80d8-d69a4f8fbfb1,4320,Neymar da Silva Santos Junior,21,Left Wing,58.8,5.9,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,c6f4f962-5155-49d8-b4ec-5e3b48d31633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70f29d8f-93d2-4bd9-b3ca-2858222ccf08,376,1,00:09:25.851,9,25,43,Carry,24,217,Barcelona,6,From Counter,217,Barcelona,5.524794,,3fbcce31-c2c5-4b0c-9614-3af2b51180af,4320,Neymar da Silva Santos Junior,21,Left Wing,58.8,5.9,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,701804f1-3da5-4f15-b967-e07a6f202070,c6f4f962-5155-49d8-b4ec-5e3b48d31633,70.3,2.0,,,,,,,,,,,,,,,,fd298ece-f44c-4764-bc12-03d88c814591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701804f1-3da5-4f15-b967-e07a6f202070,377,1,00:09:27.433,9,27,17,Pressure,24,217,Barcelona,6,From Counter,360,Rayo Vallecano,3.9997,,70f29d8f-93d2-4bd9-b3ca-2858222ccf08,24138,Joaquín José Marín Ruiz,2,Right Back,66.4,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e856fec2-2b82-43b5-9ef8-865eec283154,fd298ece-f44c-4764-bc12-03d88c814591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74451d9f-0ce5-4d6e-a729-0ca6e716f7e8,378,1,00:09:31.375,9,31,39,Dribbled Past,24,217,Barcelona,6,From Counter,360,Rayo Vallecano,0.0,,e856fec2-2b82-43b5-9ef8-865eec283154,6713,Diego Javier Llorente Ríos,3,Right Center Back,49.8,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd298ece-f44c-4764-bc12-03d88c814591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd298ece-f44c-4764-bc12-03d88c814591,379,1,00:09:31.375,9,31,14,Dribble,24,217,Barcelona,6,From Counter,217,Barcelona,0.0,,701804f1-3da5-4f15-b967-e07a6f202070,4320,Neymar da Silva Santos Junior,21,Left Wing,70.3,2.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,74451d9f-0ce5-4d6e-a729-0ca6e716f7e8,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e856fec2-2b82-43b5-9ef8-865eec283154,380,1,00:09:31.375,9,31,43,Carry,24,217,Barcelona,6,From Counter,217,Barcelona,0.620212,,701804f1-3da5-4f15-b967-e07a6f202070,4320,Neymar da Silva Santos Junior,21,Left Wing,70.3,2.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,74451d9f-0ce5-4d6e-a729-0ca6e716f7e8,84bed78e-e90c-4816-afe4-d8e98efd1837,71.7,2.5,,,,,,,,,,,,,,,,bb796ddb-133b-4d08-98d5-f0fc9f8f8f57,fd298ece-f44c-4764-bc12-03d88c814591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
