id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,counterpress,duel,ball_receipt,dribble,out,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed,foul_won,off_camera,clearance,interception,ball_recovery,bad_behaviour,miscontrol,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,related_events,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_head,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_committed_advantage,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_switch,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position
b64e005a-843e-48f3-b707-1c81ff59135d,3567,2,00:44:01.075,89,1,43,Carry,137,217,Barcelona,4,From Throw In,217,Barcelona,2.729034,,55ee2ec8-6a85-4758-8061-bed224bbc77a,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,91.3,52.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a207ec92-eebc-49cb-bf37-8ca56c37672e,100.1,53.7,dc655c3f-935a-4631-abf1-dedaaa95e15e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a207ec92-eebc-49cb-bf37-8ca56c37672e,3568,2,00:44:01.144,89,1,17,Pressure,137,217,Barcelona,4,From Throw In,218,Real Betis,1.415245,,b64e005a-843e-48f3-b707-1c81ff59135d,27346.0,Petros Matheus dos Santos Araújo,13.0,Right Center Midfield,29.0,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc655c3f-935a-4631-abf1-dedaaa95e15e,3569,2,00:44:03.804,89,3,38,Miscontrol,137,217,Barcelona,4,From Throw In,217,Barcelona,0.0,,,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,100.1,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4642d013-2bb1-4111-9b7b-9a1a87ba5727,3624,2,00:44:56.371,89,56,30,Pass,139,217,Barcelona,7,From Goal Kick,217,Barcelona,3.5486,,c037e899-1c29-4a42-aa61-ce0cd453d0d9,20055.0,Marc-André ter Stegen,1.0,Goalkeeper,6.0,44.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,5216.0,Andrés Iniesta Luján,33.39461,-0.7515128,1.0,Ground Pass,30.4,21.2,63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c037e899-1c29-4a42-aa61-ce0cd453d0d9,3625,2,00:44:59.920,89,59,42,Ball Receipt*,139,217,Barcelona,7,From Goal Kick,217,Barcelona,,,4642d013-2bb1-4111-9b7b-9a1a87ba5727,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,30.4,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7879ba3c-9655-45d9-9d25-4b29bd792ef9,3626,2,00:45:05.319,90,5,30,Pass,139,217,Barcelona,7,From Goal Kick,217,Barcelona,2.0124,,104d8021-1f36-41bb-9b33-45378a28ca7e,5216.0,Andrés Iniesta Luján,13.0,Right Center Midfield,48.2,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,24.793547,1.7492068,2.0,Low Pass,43.8,53.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104d8021-1f36-41bb-9b33-45378a28ca7e,3627,2,00:45:07.331,90,7,42,Ball Receipt*,139,217,Barcelona,7,From Goal Kick,217,Barcelona,,,7879ba3c-9655-45d9-9d25-4b29bd792ef9,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,43.8,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431f8535-6612-49bf-93a9-9ba635f8b466,3628,2,00:45:07.331,90,7,43,Carry,139,217,Barcelona,7,From Goal Kick,217,Barcelona,5.4832,,06c8ff00-318e-40bc-81cb-dbd78297c333,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,43.8,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104d8021-1f36-41bb-9b33-45378a28ca7e,62.5,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06c8ff00-318e-40bc-81cb-dbd78297c333,3629,2,00:45:12.814,90,12,30,Pass,139,217,Barcelona,7,From Goal Kick,217,Barcelona,1.9892,,0954cc5f-c834-408c-9934-8e438a7dbe05,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,62.5,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,17.70113,-1.5594974,1.0,Ground Pass,62.7,36.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0954cc5f-c834-408c-9934-8e438a7dbe05,3630,2,00:45:14.804,90,14,42,Ball Receipt*,139,217,Barcelona,7,From Goal Kick,217,Barcelona,,,06c8ff00-318e-40bc-81cb-dbd78297c333,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,62.7,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
