id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,duel,carry,ball_receipt,interception,counterpress,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble,clearance,out,miscontrol,foul_committed,foul_won,shot,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name
d5f89452-eb9c-4333-a65a-a88d3c1d343b,2666,2,00:18:49.103,63,49,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,0.040032,,5ea4e29c-e7ab-47ba-a8a6-b1801cfaa780,,6834,Gerard Gumbau Garriga,11,Left Defensive Midfield,56.0,45.9,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e64cd6f-89c4-484a-b81a-2e447d867d7b,57.9,44.9,,,,f2f66b1f-b4a9-4515-991d-68e9dda0e614,,,,
f2f66b1f-b4a9-4515-991d-68e9dda0e614,2667,2,00:18:49.144,63,49,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,0.736642,,39fe1e8e-250d-43c5-b356-1af111731d4c,,6834,Gerard Gumbau Garriga,11,Left Defensive Midfield,57.9,44.9,,True,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,13.038404,2.4213197,1.0,Ground Pass,48.1,53.5,,,,,,,,,,9e64cd6f-89c4-484a-b81a-2e447d867d7b,,,,38.0,Left Foot,,,,,
39fe1e8e-250d-43c5-b356-1af111731d4c,2668,2,00:18:49.880,63,49,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,f2f66b1f-b4a9-4515-991d-68e9dda0e614,,7068,Marc Bartra Aregall,3,Right Center Back,48.1,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733c635b-640d-4fe6-ac69-b4933f7eb109,2669,2,00:18:49.880,63,49,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,2.203558,,39fe1e8e-250d-43c5-b356-1af111731d4c,,7068,Marc Bartra Aregall,3,Right Center Back,48.1,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ecb4113-cbf0-450a-b80c-5f3c0d70bbcd,53.9,52.6,,,,,,,,
6ecb4113-cbf0-450a-b80c-5f3c0d70bbcd,2670,2,00:18:52.084,63,52,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,2.362948,,db832ebe-6069-49e7-b5da-8bd597b8ad2b,,7068,Marc Bartra Aregall,3,Right Center Back,53.9,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,22102.0,Adriano Correia Claro,51.053795,-1.453001,3.0,High Pass,59.9,1.9,,,,,,,,,,,,,True,40.0,Right Foot,,,,,
db832ebe-6069-49e7-b5da-8bd597b8ad2b,2671,2,00:18:54.447,63,54,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,6ecb4113-cbf0-450a-b80c-5f3c0d70bbcd,,22102,Adriano Correia Claro,6,Left Back,59.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce877e90-94d8-43b6-8dad-e7675bcd7ebd,2672,2,00:18:54.447,63,54,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,0.180552,,26c8a0ed-37c3-40de-a0e7-509c25222fb6,,22102,Adriano Correia Claro,6,Left Back,59.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db832ebe-6069-49e7-b5da-8bd597b8ad2b,59.9,3.1,,,,,,,,
26c8a0ed-37c3-40de-a0e7-509c25222fb6,2673,2,00:18:54.627,63,54,30,Pass,141,217,Barcelona,1,Regular Play,217,Barcelona,0.916908,,3b39d3d5-88f4-4f9b-ac74-8dc66158385d,,22102,Adriano Correia Claro,6,Left Back,59.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,14.524462,2.4733033,1.0,Ground Pass,48.5,12.1,,,,,,,,,,,,,,40.0,Right Foot,,,,,
3b39d3d5-88f4-4f9b-ac74-8dc66158385d,2674,2,00:18:55.544,63,55,42,Ball Receipt*,141,217,Barcelona,1,Regular Play,217,Barcelona,,,26c8a0ed-37c3-40de-a0e7-509c25222fb6,,5506,Javier Alejandro Mascherano,5,Left Center Back,48.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7e6c3fc-4c48-42ee-9fff-b9dad3a0ad02,2675,2,00:18:55.544,63,55,43,Carry,141,217,Barcelona,1,Regular Play,217,Barcelona,4.112019,,3b39d3d5-88f4-4f9b-ac74-8dc66158385d,,5506,Javier Alejandro Mascherano,5,Left Center Back,48.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890af4f9-6f2a-419d-a275-5adbef7dddf7,51.6,29.7,,,,,,,,
