id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,off_camera,shot,goalkeeper,clearance,out,ball_receipt,interception,dribble,counterpress,duel,ball_recovery,foul_won,block,foul_committed,injury_stoppage,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,related_events,shot_open_goal,shot_first_time
cf77572a-fc6f-4d65-94eb-5293cc0b70db,15,1,00:00:10.147,0,10,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,97c7202b-705a-4fbb-9121-f5893e45e60c,5506,Javier Alejandro Mascherano,3,Right Center Back,36.4,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55a30bfa-30af-414b-a1b6-49400b0eeaff,16,1,00:00:10.147,0,10,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.801599,,cf77572a-fc6f-4d65-94eb-5293cc0b70db,5506,Javier Alejandro Mascherano,3,Right Center Back,36.4,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edc86099-9b92-4d8f-bd67-68bd169d51fc,41.5,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc86099-9b92-4d8f-bd67-68bd169d51fc,17,1,00:00:11.949,0,11,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.635823,,5708b8a3-3798-4455-b2ed-ae098bb042c4,5506,Javier Alejandro Mascherano,3,Right Center Back,41.5,71.0,22102.0,Adriano Correia Claro,65.454185,-1.466719,2.0,Low Pass,48.3,5.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5708b8a3-3798-4455-b2ed-ae098bb042c4,18,1,00:00:14.584,0,14,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,edc86099-9b92-4d8f-bd67-68bd169d51fc,22102,Adriano Correia Claro,6,Left Back,48.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32cba41a-52c2-4cf4-a8ab-faa266e1f201,19,1,00:00:14.584,0,14,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,3.009177,,5708b8a3-3798-4455-b2ed-ae098bb042c4,22102,Adriano Correia Claro,6,Left Back,48.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc69c745-fbb9-46ea-b64f-41447cd32acf,48.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc69c745-fbb9-46ea-b64f-41447cd32acf,20,1,00:00:17.594,0,17,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.923554,,b737737d-5b51-4668-abad-aee92bd2dbea,22102,Adriano Correia Claro,6,Left Back,48.3,5.9,6332.0,Thomas Vermaelen,8.386298,1.7143797,1.0,Ground Pass,47.1,14.2,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b737737d-5b51-4668-abad-aee92bd2dbea,21,1,00:00:18.517,0,18,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,fc69c745-fbb9-46ea-b64f-41447cd32acf,6332,Thomas Vermaelen,5,Left Center Back,47.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81e26fc3-5b0e-4ed8-8580-e388c7048e01,22,1,00:00:18.517,0,18,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.400646,,090e79ec-e9c9-4d99-88a9-3c506e394e77,6332,Thomas Vermaelen,5,Left Center Back,47.1,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b737737d-5b51-4668-abad-aee92bd2dbea,47.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090e79ec-e9c9-4d99-88a9-3c506e394e77,23,1,00:00:19.918,0,19,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.524872,,96f896e6-e650-4a9f-ac09-9b25110a497c,6332,Thomas Vermaelen,5,Left Center Back,47.2,14.4,5506.0,Javier Alejandro Mascherano,34.73111,1.4553697,1.0,Ground Pass,51.2,48.9,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96f896e6-e650-4a9f-ac09-9b25110a497c,24,1,00:00:21.443,0,21,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,090e79ec-e9c9-4d99-88a9-3c506e394e77,5506,Javier Alejandro Mascherano,3,Right Center Back,51.2,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
