id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,foul_committed,foul_won,off_camera,ball_receipt,counterpress,interception,dribble,clearance,duel,out,bad_behaviour,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery,block,substitution,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events_4,foul_committed_advantage,foul_won_advantage,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,ball_recovery_recovery_failure,pass_deflected,block_deflection
0b8ed487-2d52-4211-a982-535d7b0ec2ee,2471,2,00:16:15.739,61,15,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,b34f92e3-dba5-4d74-817b-9d8eebbd814a,5211,Jordi Alba Ramos,6,Left Back,51.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35ee1b32-bbdc-4169-8606-0e8705d2b9bf,2472,2,00:16:15.739,61,15,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,1.610954,,0b8ed487-2d52-4211-a982-535d7b0ec2ee,5211,Jordi Alba Ramos,6,Left Back,51.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5172ca6c-6c0e-4cb9-bff0-310960690599,51.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
5172ca6c-6c0e-4cb9-bff0-310960690599,2473,2,00:16:17.350,61,17,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.417819,,34428192-9b5d-4237-b193-2c81b0147d29,5211,Jordi Alba Ramos,6,Left Back,51.3,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,10.840664,2.225367,1.0,Ground Pass,44.7,15.3,38.0,Left Foot,,,,,,,,,,,,,,,,
34428192-9b5d-4237-b193-2c81b0147d29,2474,2,00:16:18.768,61,18,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,5172ca6c-6c0e-4cb9-bff0-310960690599,5506,Javier Alejandro Mascherano,5,Left Center Back,44.7,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf694bd5-09da-47e0-8677-feef89270668,2475,2,00:16:18.768,61,18,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,1.064844,,34428192-9b5d-4237-b193-2c81b0147d29,5506,Javier Alejandro Mascherano,5,Left Center Back,44.7,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec096e8c-a4bc-4238-92f8-160906ff268e,44.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
ec096e8c-a4bc-4238-92f8-160906ff268e,2476,2,00:16:19.832,61,19,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,2.165337,,f298799d-b850-4cff-9d91-fb90fec7aa9f,5506,Javier Alejandro Mascherano,5,Left Center Back,44.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,29.148756,1.7015343,1.0,Ground Pass,40.4,49.1,38.0,Left Foot,,,,,,,,,,,,,,,,
f298799d-b850-4cff-9d91-fb90fec7aa9f,2477,2,00:16:21.998,61,21,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,ec096e8c-a4bc-4238-92f8-160906ff268e,5213,Gerard Piqué Bernabéu,3,Right Center Back,40.4,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ab66afe-652e-42a3-a62e-77bc7487d641,2478,2,00:16:21.998,61,21,43,Carry,115,217,Barcelona,1,Regular Play,217,Barcelona,2.445333,,b823c59c-3c7d-4b3d-935e-557b91269ba9,5213,Gerard Piqué Bernabéu,3,Right Center Back,40.4,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f298799d-b850-4cff-9d91-fb90fec7aa9f,41.4,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,
b823c59c-3c7d-4b3d-935e-557b91269ba9,2479,2,00:16:24.443,61,24,30,Pass,115,217,Barcelona,1,Regular Play,217,Barcelona,1.117161,,e44f5c0c-7878-4877-978d-498c5e599015,5213,Gerard Piqué Bernabéu,3,Right Center Back,41.4,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,15.568237,-0.43779132,1.0,Ground Pass,55.5,43.3,40.0,Right Foot,,,,,,,,,,,,,,,,
e44f5c0c-7878-4877-978d-498c5e599015,2480,2,00:16:25.560,61,25,42,Ball Receipt*,115,217,Barcelona,1,Regular Play,217,Barcelona,,,b823c59c-3c7d-4b3d-935e-557b91269ba9,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.5,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
