id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,out,off_camera,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance,dribble,duel,50_50,interception,ball_recovery,foul_committed,foul_won,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,pass_outcome_id,pass_outcome_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,pass_switch,ball_recovery_recovery_failure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate
6fb35eac-28c9-4a59-bc8f-b4032792b8b1,347,1,00:08:42.428,8,42,42,Ball Receipt*,23,217,Barcelona,1,Regular Play,217,Barcelona,,,c3acb49e-e857-4de7-8eed-c3abfe93abf4,11094,Arda Turan,15,Left Center Midfield,22.1,2.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e82cf8dd-f396-4ac6-b7fd-96b7cc968d03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833ec488-3e20-46e2-b44a-46bb6ab2243c,348,1,00:08:42.428,8,42,43,Carry,23,217,Barcelona,1,Regular Play,217,Barcelona,7.7376,,074c9cf7-0d31-4ef3-b804-51ffdb690845,11094,Arda Turan,15,Left Center Midfield,22.1,2.9,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774d5f1-3324-4890-88bc-04b58fdf3b62,5.6,2.3,6fb35eac-28c9-4a59-bc8f-b4032792b8b1,e82cf8dd-f396-4ac6-b7fd-96b7cc968d03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074c9cf7-0d31-4ef3-b804-51ffdb690845,349,1,00:08:48.216,8,48,17,Pressure,23,217,Barcelona,1,Regular Play,1049,Granada,2.241015,,4774d5f1-3324-4890-88bc-04b58fdf3b62,26387,Edgar Antonio Méndez Ortega,7,Right Wing Back,113.1,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833ec488-3e20-46e2-b44a-46bb6ab2243c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4774d5f1-3324-4890-88bc-04b58fdf3b62,350,1,00:08:50.166,8,50,30,Pass,23,217,Barcelona,1,Regular Play,217,Barcelona,0.665,,0111a3a9-6e48-4af1-b4ba-cb9b42f95ca6,11094,Arda Turan,15,Left Center Midfield,5.6,2.3,,,True,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,5.4129477,2.7027333,1.0,Ground Pass,0.7,4.6,40.0,Right Foot,,,,074c9cf7-0d31-4ef3-b804-51ffdb690845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111a3a9-6e48-4af1-b4ba-cb9b42f95ca6,351,1,00:08:50.831,8,50,42,Ball Receipt*,23,217,Barcelona,1,Regular Play,217,Barcelona,,,4774d5f1-3324-4890-88bc-04b58fdf3b62,5211,Jordi Alba Ramos,6,Left Back,0.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d59613f-d52b-4031-a598-c646bf89532b,352,1,00:08:50.831,8,50,43,Carry,23,217,Barcelona,1,Regular Play,217,Barcelona,0.16,,0111a3a9-6e48-4af1-b4ba-cb9b42f95ca6,5211,Jordi Alba Ramos,6,Left Back,0.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e6df3fb-1c3c-44c0-b500-6f05787bfc8c,0.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e6df3fb-1c3c-44c0-b500-6f05787bfc8c,353,1,00:08:50.991,8,50,30,Pass,23,217,Barcelona,1,Regular Play,217,Barcelona,0.0366,,5af37641-2fd1-41d9-aafe-e9fe673615d8,5211,Jordi Alba Ramos,6,Left Back,0.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.376973,-0.2551824,3.0,High Pass,3.0,4.0,38.0,Left Foot,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5af37641-2fd1-41d9-aafe-e9fe673615d8,354,1,00:08:51.027,8,51,6,Block,23,217,Barcelona,1,Regular Play,1049,Granada,0.0,,2e6df3fb-1c3c-44c0-b500-6f05787bfc8c,6918,Isaac Ajayi Success,22,Right Center Forward,117.1,76.1,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1ea20d1-aaba-44d6-afc4-c46e7f427c9c,355,1,00:09:22.128,9,22,30,Pass,24,217,Barcelona,7,From Goal Kick,217,Barcelona,1.7965,,47d2fefc-f77d-4896-b29d-a1308be773f5,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,6.0,36.0,,,,,,,True,,,,,,,,,,,,,,,,,,,6332.0,Thomas Vermaelen,56.191193,-0.58652186,1.0,Ground Pass,52.8,4.9,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47d2fefc-f77d-4896-b29d-a1308be773f5,356,1,00:09:23.925,9,23,42,Ball Receipt*,24,217,Barcelona,7,From Goal Kick,217,Barcelona,,,e1ea20d1-aaba-44d6-afc4-c46e7f427c9c,6332,Thomas Vermaelen,5,Left Center Back,52.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
