id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,dribble,duel,clearance,counterpress,out,ball_recovery,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,foul_committed,foul_won,substitution,interception,block,miscontrol,bad_behaviour,goalkeeper,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_3,foul_committed_card_id,foul_committed_card_name,pass_type_id,pass_type_name,pass_aerial_won,duel_type_id,duel_type_name,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,clearance_head,clearance_aerial_won,player,position,location
115da6b6-c260-4df3-8320-027f5c2ac053,3350,2,00:43:38.056,88,38,43,Carry,135,217,Barcelona,8,From Keeper,217,Barcelona,0.613552,,2a88b6ff-e76c-4b4d-9ad7-298691609815,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,88.1,15.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4d47b34-9b07-449f-9508-fdba96f1f9c5,85.5,18.2,,ebccd451-ec54-4bfd-aba9-232e366badeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a88b6ff-e76c-4b4d-9ad7-298691609815,3351,2,00:43:38.670,88,38,30,Pass,135,217,Barcelona,8,From Keeper,217,Barcelona,1.700717,,476e59c3-e7d6-4e5c-9250-87a009f881d5,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,85.5,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,19.72942,2.3454423,1.0,Ground Pass,71.7,32.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476e59c3-e7d6-4e5c-9250-87a009f881d5,3352,2,00:43:40.371,88,40,42,Ball Receipt*,135,217,Barcelona,8,From Keeper,217,Barcelona,,,2a88b6ff-e76c-4b4d-9ad7-298691609815,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,71.7,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19dd0387-4e9a-4a15-b79a-095c0c15df69,3353,2,00:43:40.371,88,40,43,Carry,135,217,Barcelona,8,From Keeper,217,Barcelona,0.100376,,476e59c3-e7d6-4e5c-9250-87a009f881d5,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,71.7,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1e97077-139e-425f-9c71-703edb177b94,71.7,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1e97077-139e-425f-9c71-703edb177b94,3354,2,00:43:40.471,88,40,30,Pass,135,217,Barcelona,8,From Keeper,217,Barcelona,1.772155,,7b086346-bafb-40d0-b143-45414adc2d84,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,71.7,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,31.650908,1.4217502,1.0,Ground Pass,76.4,63.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b086346-bafb-40d0-b143-45414adc2d84,3355,2,00:43:42.243,88,42,42,Ball Receipt*,135,217,Barcelona,8,From Keeper,217,Barcelona,,,c1e97077-139e-425f-9c71-703edb177b94,5203.0,Sergio Busquets i Burgos,13.0,Right Center Midfield,76.4,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565bee7-1907-4425-b2d1-d32f216e0688,3356,2,00:43:42.951,88,42,30,Pass,135,217,Barcelona,8,From Keeper,217,Barcelona,1.051876,,c4930c02-a468-45bc-8b24-fa80fa7fadcc,5203.0,Sergio Busquets i Burgos,13.0,Right Center Midfield,76.4,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400.0,Aleix Vidal Parreu,15.84929,0.82109725,3.0,High Pass,87.2,75.3,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4930c02-a468-45bc-8b24-fa80fa7fadcc,3357,2,00:43:44.003,88,44,42,Ball Receipt*,135,217,Barcelona,8,From Keeper,217,Barcelona,,,3565bee7-1907-4425-b2d1-d32f216e0688,6400.0,Aleix Vidal Parreu,2.0,Right Back,87.2,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fbb3e99-4531-4d13-9eeb-6635ee8dfee8,3358,2,00:43:44.003,88,44,43,Carry,135,217,Barcelona,8,From Keeper,217,Barcelona,1.693534,,0c087d48-a978-4f02-9847-f4f7bfbc7257,6400.0,Aleix Vidal Parreu,2.0,Right Back,87.2,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4930c02-a468-45bc-8b24-fa80fa7fadcc,86.7,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c087d48-a978-4f02-9847-f4f7bfbc7257,3359,2,00:43:45.696,88,45,30,Pass,135,217,Barcelona,8,From Keeper,217,Barcelona,1.964406,,64503d82-8df8-4311-a292-9335a4b77fe5,6400.0,Aleix Vidal Parreu,2.0,Right Back,86.7,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,8.616263,-2.7610862,1.0,Ground Pass,78.7,72.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
