id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,interception,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,block,duel,dribble,ball_recovery,clearance,foul_committed,foul_won,substitution,50_50,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,clearance_aerial_won,pass_switch,related_events_3,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,foul_committed_card_id,foul_committed_card_name,dribble_overrun,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_outswinging,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate
d20554ef-2a56-4625-a462-454b5e9d46fa,941,1,00:21:07.651,21,7,23,Goal Keeper,38,217,Barcelona,1,Regular Play,210,Real Sociedad,0.0,,bc7593bb-9c02-41fc-b273-13251065ec70,6694,Gerónimo Rulli,1,Goalkeeper,6.0,38.9,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a72c300-1a18-4847-a5d1-db77c289871d,956,1,00:22:24.852,22,24,30,Pass,40,217,Barcelona,1,Regular Play,217,Barcelona,2.2453,,5fca787d-488d-4691-a73d-e6db401bb461,5506,Javier Alejandro Mascherano,5,Left Center Back,34.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,e510ba9f-aa3d-4a4b-b752-9983f2af3d6d,4691.0,Claudio Andrés Bravo Muñoz,27.582785,2.430607,1.0,Ground Pass,13.3,24.7,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e510ba9f-aa3d-4a4b-b752-9983f2af3d6d,957,1,00:22:27.098,22,27,42,Ball Receipt*,40,217,Barcelona,1,Regular Play,217,Barcelona,,,8a72c300-1a18-4847-a5d1-db77c289871d,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,13.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb352571-7c67-41e1-9d94-c16277bb75e4,958,1,00:22:27.098,22,27,43,Carry,40,217,Barcelona,1,Regular Play,217,Barcelona,0.463715,,7a1fc6a0-c6a0-412c-92a5-10c85ebd6946,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,13.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,e510ba9f-aa3d-4a4b-b752-9983f2af3d6d,,,,,,,,,,,,,,13.6,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a1fc6a0-c6a0-412c-92a5-10c85ebd6946,959,1,00:22:27.561,22,27,30,Pass,40,217,Barcelona,1,Regular Play,217,Barcelona,1.249859,,36969d6d-8e78-4093-8ef2-4cc2ffffb0c7,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,13.6,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0,Gerard Piqué Bernabéu,10.084641,0.5302158,1.0,Ground Pass,22.3,31.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36969d6d-8e78-4093-8ef2-4cc2ffffb0c7,960,1,00:22:28.811,22,28,42,Ball Receipt*,40,217,Barcelona,1,Regular Play,217,Barcelona,,,7a1fc6a0-c6a0-412c-92a5-10c85ebd6946,5213,Gerard Piqué Bernabéu,3,Right Center Back,22.3,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fec4807f-1d33-4c1c-9a56-2c7f11913cf1,961,1,00:22:28.811,22,28,43,Carry,40,217,Barcelona,1,Regular Play,217,Barcelona,3.349561,,222faba6-37b5-4dc1-ae07-2dc2ab163374,5213,Gerard Piqué Bernabéu,3,Right Center Back,22.3,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36969d6d-8e78-4093-8ef2-4cc2ffffb0c7,,,,,,,,,,,,,,30.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222faba6-37b5-4dc1-ae07-2dc2ab163374,962,1,00:22:32.161,22,32,30,Pass,40,217,Barcelona,1,Regular Play,217,Barcelona,1.278172,,acba6106-1d70-410b-bc4d-a93c39d60857,5213,Gerard Piqué Bernabéu,3,Right Center Back,30.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5203.0,Sergio Busquets i Burgos,18.386137,-0.23046781,1.0,Ground Pass,47.9,37.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acba6106-1d70-410b-bc4d-a93c39d60857,963,1,00:22:33.439,22,33,42,Ball Receipt*,40,217,Barcelona,1,Regular Play,217,Barcelona,,,222faba6-37b5-4dc1-ae07-2dc2ab163374,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.9,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c69bcc7-c053-4820-b41c-485979a5ca5e,964,1,00:22:33.439,22,33,43,Carry,40,217,Barcelona,1,Regular Play,217,Barcelona,2.307893,,acba6106-1d70-410b-bc4d-a93c39d60857,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,47.9,37.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,e73a6ede-d1dc-4159-987d-b7de72521c10,,,,,,,,,,,,,,54.7,38.6,fc22e393-03f5-4acc-a4d4-44003c0fd889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
