IdFiles,ScoringTeam,Score,NoInformation
101_1,Athletic Club,0_1,
101_2,,NF,NF
108_1,Rayo Vallecano,1_0,
108_2,Villarreal,1_1,
108_3,Rayo Vallecano,2_1,
108_4,,NF,NF
111_1,Rayo Vallecano,1_0,
111_2,Málaga,1_1,
111_3,,NF,NF
114_1,Real Madrid,0_1,
114_2,Rayo Vallecano,1_1,
114_3,Real Madrid,1_2,
114_4,Real Madrid,1_3,
114_5,Rayo Vallecano,2_3,
114_6,,NF,NF
121_1,Atlético Madrid,0_1,
121_2,,NF,NF
129_1,Real Sociedad,0_1,
129_2,Real Sociedad,0_2,
129_3,Rayo Vallecano,1_2,
129_4,,NF,NF
136_1,Rayo Vallecano,1_0,
136_2,Rayo Vallecano,2_0,
136_3,Levante UD,2_1,
136_4,Rayo Vallecano,3_1,
136_5,,NF,NF
17_1,Rayo Vallecano,1_0,
17_2,Rayo Vallecano,2_0,
17_3,Rayo Vallecano,3_0,
17_4,Valencia,3_1,
17_5,,NF,NF
234_1,,,NF
23_1,Rayo Vallecano,1_0,
23_2,Rayo Vallecano,2_0,
23_3,Rayo Vallecano,3_0,
23_4,,NF,NF
241_1,Celta Vigo,0_1,
241_2,Rayo Vallecano,1_1,
241_3,Celta Vigo,1_2,
241_4,,NF,NF
257_1,RC Deportivo La Coruña,0_1,
257_2,Rayo Vallecano,1_1,
257_3,RC Deportivo La Coruña,1_2,
257_4,RC Deportivo La Coruña,1_3,
257_5,,NF,NF
263_1,Rayo Vallecano,1_0,
263_2,,NF,NF
266_1,Rayo Vallecano,1_0,
266_2,Rayo Vallecano,2_0,
266_3,Rayo Vallecano,3_0,
266_4,,NF,NF
269_1,Sevilla,0_1,
269_2,Sevilla,0_2,
269_3,Rayo Vallecano,1_2,
269_4,Rayo Vallecano,2_2,
269_5,Sevilla,2_3,
269_6,,NF,NF
277_1,Real Betis,0_1,
277_2,Real Betis,0_2,
277_3,,NF,NF
290_1,Rayo Vallecano,1_0,
290_2,Barcelona,1_1,
290_3,Barcelona,1_2,
290_4,Barcelona,1_3,
290_5,Barcelona,1_4,
290_6,Barcelona,1_5,
290_7,Rayo Vallecano,2_5,
290_8,,NF,NF
296_1,Rayo Vallecano,1_0,
296_2,Rayo Vallecano,2_0,
296_3,Rayo Vallecano,3_0,
296_4,,NF,NF
305_1,Eibar,0_1,
305_2,,NF,NF
311_1,Rayo Vallecano,1_0,
311_2,Rayo Vallecano,2_0,
311_3,Granada,2_1,
311_4,,NF,NF
327_1,Getafe,0_1,
327_2,Rayo Vallecano,1_1,
327_3,,NF,NF
32_1,Rayo Vallecano,1_0,
32_2,RC Deportivo La Coruña,1_1,
32_3,Rayo Vallecano,2_1,
32_4,Rayo Vallecano,3_1,
32_5,,NF,NF
333_1,Athletic Club,0_1,
333_2,Athletic Club,0_2,
333_3,Athletic Club,0_3,
333_4,,NF,NF
340_1,Rayo Vallecano,1_0,
340_2,Villarreal,1_1,
340_3,Villarreal,1_2,
340_4,,NF,NF
347_1,Rayo Vallecano,1_0,
347_2,Málaga,1_1,
347_3,Málaga,1_2,
347_4,,NF,NF
354_1,Real Madrid,0_1,
354_2,Rayo Vallecano,1_1,
354_3,Rayo Vallecano,2_1,
354_4,Real Madrid,2_2,
354_5,Real Madrid,2_3,
354_6,Real Madrid,2_4,
354_7,Real Madrid,2_5,
354_8,Real Madrid,2_6,
354_9,Real Madrid,2_7,
354_10,Real Madrid,2_8,
354_11,Real Madrid,2_9,
354_12,Real Madrid,2_10,
354_13,,NF,NF
364_1,Atlético Madrid,0_1,
364_2,Atlético Madrid,0_2,
364_3,,NF,NF
37_1,Las Palmas,0_1,
37_2,Rayo Vallecano,1_1,
37_3,,NF,NF
3_1,Rayo Vallecano,1_0,
3_2,Real Sociedad,1_1,
3_3,Rayo Vallecano,2_1,
3_4,Real Sociedad,2_2,
3_5,,NF,NF
43_1,Sporting Gijón,0_1,
43_2,Rayo Vallecano,1_1,
43_3,Sporting Gijón,1_2,
43_4,Rayo Vallecano,2_2,
43_5,,NF,NF
52_1,Sevilla,0_1,
52_2,Sevilla,0_2,
52_3,Rayo Vallecano,1_2,
52_4,Rayo Vallecano,2_2,
52_5,,NF,NF
58_1,Real Betis,0_1,
58_2,Real Betis,0_2,
58_3,Rayo Vallecano,1_2,
58_4,Rayo Vallecano,2_2,
58_5,,NF,NF
63_1,Barcelona,0_1,
63_2,Barcelona,0_2,
63_3,Barcelona,0_3,
63_4,Rayo Vallecano,1_3,
63_5,Barcelona,1_4,
63_6,Barcelona,1_5,
63_7,,NF,NF
67_1,Espanyol,0_1,
67_2,Rayo Vallecano,1_1,
67_3,Espanyol,1_2,
67_4,,NF,NF
72_1,Rayo Vallecano,1_0,
72_2,Eibar,1_1,
72_3,,NF,NF
79_1,Granada,0_1,
79_2,Rayo Vallecano,1_1,
79_3,Granada,1_2,
79_4,Rayo Vallecano,2_2,
79_5,,NF,NF
92_1,Rayo Vallecano,1_0,
92_2,Rayo Vallecano,2_0,
92_3,,NF,NF
9_1,Levante UD,0_1,
9_2,Levante UD,0_2,
9_3,Rayo Vallecano,1_2,
9_4,,NF,NF
