,Mean,Std,Count,Mean,Std,Count
0_1,0.69,,1,0.56,,1
0_2,0.4,,1,0.27,,1
1_2,0.63,,1,0.53,,1
1_0,0.46,,1,0.45,,1
2_0,0.2,,1,0.24,,1
3_0,0.77,,1,0.74,,1
1_1,0.51,,1,0.46,,1
2_1,0.54,,1,0.46,,1
2_2,0.27,,1,0.21,,1
3_2,0.69,,1,0.65,,1
0_3,0.62,,1,0.6,,1
1_3,0.6,,1,0.52,,1
1_4,0.0,,1,0.2,,1
3_1,0.32,,1,0.17,,1
