,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
22102,4.0,,1,4.0,,1,0.3,,1,0.22,,1,0.59,,1
4691,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
7068,2.0,,1,2.0,,1,0.5,,1,0.04,,1,0.43,,1
6379,4.0,,1,3.0,,1,0.28,,1,0.13,,1,0.56,,1
6998,4.0,,1,5.0,,1,0.21,,1,0.33,,1,0.59,,1
4320,4.0,,1,2.0,,1,0.27,,1,0.21,,1,0.59,,1
5246,1.0,,1,1.0,,1,0.0,,1,0.0,,1,0.38,,1
5470,2.0,,1,2.0,,1,0.1,,1,0.12,,1,0.48,,1
5503,1.0,,1,2.0,,1,0.33,,1,0.04,,1,0.34,,1
4324,3.0,,1,3.0,,1,0.18,,1,0.11,,1,0.45,,1
5506,2.0,,1,2.0,,1,0.5,,1,0.03,,1,0.48,,1
