,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4324,6.29,2.76,14,5.86,1.96,14,0.78,,1,0.02,,1,0.91,,1,0.37,,1,2.0,,1
5470,5.94,2.66,17,5.94,2.63,17,0.0,,1,0.08,,1,0.37,,1,0.17,,1,5.0,,1
5503,6.0,2.48,16,6.12,2.63,16,0.2,,1,0.18,,1,0.5,,1,0.44,,1,6.0,,1
5211,6.93,2.31,15,6.07,2.31,15,0.33,,1,0.06,,1,0.53,,1,0.23,,1,5.0,,1
7068,3.33,3.21,3,3.67,3.06,3,0.79,,1,0.03,,1,0.77,,1,0.28,,1,2.0,,1
5216,7.17,2.29,12,7.33,2.67,12,0.49,,1,0.09,,1,0.71,,1,0.41,,1,2.0,,1
4320,5.44,2.28,18,5.0,2.54,18,0.39,,1,0.13,,1,0.5,,1,0.39,,1,4.0,,1
5506,5.38,2.96,16,5.69,2.65,16,0.64,,1,0.05,,1,0.59,,1,0.19,,1,2.0,,1
5203,5.88,2.18,17,6.76,2.14,17,0.66,,1,0.05,,1,0.77,,1,0.3,,1,2.0,,1
5246,6.24,1.99,17,4.29,1.99,17,0.21,,1,0.19,,1,0.62,,1,0.43,,1,5.0,,1
4691,1.93,1.14,14,3.5,2.03,14,0.0,,1,0.11,,1,0.29,,1,0.05,,1,4.0,,1
5213,6.0,2.0,16,6.69,2.18,16,0.0,,1,0.21,,1,0.34,,1,0.12,,1,4.0,,1
6379,5.0,2.97,11,4.91,2.63,11,0.33,,1,0.3,,1,0.45,,1,0.33,,1,3.0,,1
20055,2.67,1.53,3,4.33,3.06,3,0.84,,1,0.01,,1,0.62,,1,0.17,,1,2.0,,1
6400,4.75,2.22,4,4.25,2.36,4,0.17,,1,0.02,,1,0.4,,1,0.21,,1,6.0,,1
22102,5.0,2.83,2,5.5,3.54,2,0.72,,1,0.03,,1,0.77,,1,0.28,,1,2.0,,1
6616,3.83,2.32,6,3.33,1.86,6,1.0,,1,0.0,,1,0.53,,1,0.18,,1,3.0,,1
10609,2.67,2.07,6,2.67,2.07,6,0.58,,1,0.03,,1,0.59,,1,0.22,,1,2.0,,1
3508,4.0,,1,2.0,,1,0.93,,1,0.0,,1,0.62,,1,0.23,,1,3.0,,1
6332,1.5,0.71,2,2.5,0.71,2,0.33,,1,0.04,,1,0.24,,1,0.02,,1,4.0,,1
11094,5.5,1.0,4,6.0,2.45,4,0.21,,1,0.45,,1,0.67,,1,0.47,,1,4.0,,1
