IdFiles,ScoringTeam,Score
243_1,Manchester City,1_0
243_2,Arsenal,1_1
243_3,Arsenal,1_2
243_4_F,,
32_1,Arsenal,0_1
32_2,Arsenal,0_2
32_3,Manchester City,1_2
32_4_F,,
