,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
22102,3.0,,1,2.0,,1,0.17,,1,0.05,,1,0.53,,1,0.33,,1.0,4.0,,1.0
5506,2.0,,1,2.0,,1,0.42,,1,0.16,,1,0.53,,1,0.27,,1.0,3.0,,1.0
5470,2.0,1.41,2,1.0,1.41,2,0.0,,1,0.0,,1,0.31,,1,0.4,,1.0,2.0,,1.0
4324,4.0,1.41,2,4.0,0.0,2,0.05,,1,0.34,,1,0.36,,1,0.53,,1.0,2.0,,1.0
6616,2.0,,1,2.0,,1,0.8,,1,0.01,,1,0.44,,1,0.27,,1.0,3.0,,1.0
7068,3.0,,1,4.0,,1,0.2,,1,0.43,,1,0.57,,1,0.4,,1.0,3.0,,1.0
5503,1.5,0.71,2,2.5,0.71,2,0.17,,1,0.14,,1,0.29,,1,0.2,,1.0,3.0,,1.0
4320,3.0,1.41,2,2.0,0.0,2,0.32,,1,0.08,,1,0.54,,1,0.27,,1.0,3.0,,1.0
6834,1.0,,1,1.0,,1,0.0,,1,0.0,,1,0.38,,1,0.15,,1.0,4.0,,1.0
5246,1.0,,1,1.0,,1,0.0,,1,0.03,,1,0.3,,1,,,,,,
6379,3.0,,1,3.0,,1,0.31,,1,0.27,,1,0.49,,1,,,,,,
4691,0.0,,1,2.0,,1,0.5,,1,0.0,,1,0.0,,1,,,,,,
5211,2.0,,1,3.0,,1,0.33,,1,0.27,,1,0.36,,1,,,,,,
5203,1.0,,1,2.0,,1,0.0,,1,0.03,,1,0.26,,1,,,,,,
10609,2.0,,1,0.0,,1,1.0,,1,0.0,,1,0.42,,1,,,,,,
