,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
6616,7.0,,1,6.0,,1,0.77,,1,0.01,,1,0.77,,1,0.33,,1,2.0,,1
3508,6.0,,1,3.0,,1,0.78,,1,0.01,,1,0.71,,1,0.29,,1,3.0,,1
5470,9.0,,1,7.0,,1,0.64,,1,0.07,,1,0.91,,1,0.39,,1,2.0,,1
4320,7.0,,1,6.0,,1,0.73,,1,0.02,,1,0.77,,1,0.32,,1,2.0,,1
22102,7.0,,1,7.0,,1,0.61,,1,0.05,,1,0.77,,1,0.29,,1,2.0,,1
5506,4.0,,1,7.0,,1,0.66,,1,0.03,,1,0.62,,1,0.17,,1,2.0,,1
4324,9.0,,1,7.0,,1,0.64,,1,0.07,,1,0.91,,1,0.39,,1,2.0,,1
5503,7.0,,1,7.0,,1,0.67,,1,0.04,,1,0.77,,1,0.33,,1,3.0,,1
20055,2.0,,1,8.0,,1,0.74,,1,0.01,,1,0.5,,1,0.08,,1,2.0,,1
6834,5.0,,1,4.0,,1,0.76,,1,0.01,,1,0.67,,1,0.24,,1,2.0,,1
7068,8.0,,1,9.0,,1,0.6,,1,0.14,,1,0.83,,1,0.34,,1,2.0,,1
