index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
5,1,0,0,30,Barcelona,Pass,2,From Kick Off,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,60.0,40.0,4320.0,Neymar da Silva Santos Junior,4.924429,1.0,Ground Pass,55.5,38.0,Right Foot,
7,1,0,1,30,Barcelona,Pass,2,From Kick Off,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,55.5,38.0,6379.0,Sergi Roberto Carnicer,38.33771,3.0,High Pass,39.2,72.7,Right Foot,
10,1,0,5,30,Barcelona,Pass,2,From Kick Off,6379.0,Sergi Roberto Carnicer,2.0,Right Back,39.2,72.7,5213.0,Gerard Piqué Bernabéu,21.600464,1.0,Ground Pass,25.5,56.0,Right Foot,
13,1,0,7,30,Barcelona,Pass,2,From Kick Off,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,25.5,56.0,10609.0,Jérémy Mathieu,32.5,1.0,Ground Pass,21.9,23.7,Right Foot,
17,1,0,11,30,Barcelona,Pass,2,From Kick Off,10609.0,Jérémy Mathieu,5.0,Left Center Back,21.5,23.0,5211.0,Jordi Alba Ramos,22.664509,1.0,Ground Pass,27.7,1.2,Left Foot,
21,1,0,12,30,Barcelona,Pass,2,From Kick Off,5211.0,Jordi Alba Ramos,6.0,Left Back,29.4,1.0,4320.0,Neymar da Silva Santos Junior,22.917679,2.0,Low Pass,52.3,1.9,Left Foot,
61,1,1,14,30,Barcelona,Pass,6,From Throw In,5211.0,Jordi Alba Ramos,6.0,Left Back,13.5,0.1,,,24.424782,3.0,High Pass,37.9,1.2,,Incomplete
72,1,1,34,30,Barcelona,Pass,8,From Goal Kick,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,6.0,36.0,10609.0,Jérémy Mathieu,11.859595,1.0,Ground Pass,2.4,24.7,Right Foot,
76,1,1,37,30,Barcelona,Pass,8,From Goal Kick,10609.0,Jérémy Mathieu,5.0,Left Center Back,6.0,24.1,5211.0,Jordi Alba Ramos,26.016918,1.0,Ground Pass,20.2,2.3,Right Foot,
79,1,1,43,30,Barcelona,Pass,8,From Goal Kick,5211.0,Jordi Alba Ramos,6.0,Left Back,43.9,9.1,4320.0,Neymar da Silva Santos Junior,17.902514,1.0,Ground Pass,61.0,3.8,Left Foot,
83,1,1,45,30,Barcelona,Pass,8,From Goal Kick,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,62.7,2.3,5203.0,Sergio Busquets i Burgos,15.0,1.0,Ground Pass,53.7,14.3,Right Foot,
86,1,1,47,30,Barcelona,Pass,8,From Goal Kick,5203.0,Sergio Busquets i Burgos,15.0,Left Center Midfield,51.2,14.7,5506.0,Javier Alejandro Mascherano,11.609048,1.0,Ground Pass,47.8,25.8,Right Foot,
