id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,counterpress,under_pressure,dribble,interception,off_camera,duel,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,out,ball_recovery,clearance,foul_committed,foul_won,substitution,bad_behaviour,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,carry_end_location_0,carry_end_location_1,related_events,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_aerial_won,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_switch,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot
14ae8dd1-314b-4e16-9e9e-de2a65d2ce09,1879,2,00:14:17.723,59,17,42,Ball Receipt*,138,360,Rayo Vallecano,7,From Goal Kick,210,Real Sociedad,,,4aaf39a5-ebe7-40d0-8827-f8fa9bc3761c,8522,Armindo Tué Na Bangna,21,Left Wing,62.1,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cedad614-56e0-4eab-a808-ee45bc6caae3,1880,2,00:14:17.723,59,17,43,Carry,138,360,Rayo Vallecano,7,From Goal Kick,210,Real Sociedad,0.04,,14ae8dd1-314b-4e16-9e9e-de2a65d2ce09,8522,Armindo Tué Na Bangna,21,Left Wing,62.1,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521bf080-4afb-44b1-b6b7-8d30cc1437e8,,,62.1,69.2,,,,,,,,,,,,,,,,
521bf080-4afb-44b1-b6b7-8d30cc1437e8,1881,2,00:14:17.763,59,17,30,Pass,138,360,Rayo Vallecano,7,From Goal Kick,210,Real Sociedad,1.394031,,65c87c20-d7c7-4773-8dd8-fae8345b7c4f,8522,Armindo Tué Na Bangna,21,Left Wing,62.1,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,18.47647,-0.29093838,3.0,High Pass,79.8,63.9,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,
65c87c20-d7c7-4773-8dd8-fae8345b7c4f,1882,2,00:14:19.157,59,19,2,Ball Recovery,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,521bf080-4afb-44b1-b6b7-8d30cc1437e8,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,40.3,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b1972fa-0304-4647-88a2-aba3603f8abe,1883,2,00:14:19.157,59,19,43,Carry,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.41513,,17f66508-b81d-4b28-8bb3-d519cfe6d523,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,40.3,16.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65c87c20-d7c7-4773-8dd8-fae8345b7c4f,,,22.3,24.1,,,,f75f026b-447f-4343-a20f-894e51d5d7a3,,,,,,,,,,,,
f75f026b-447f-4343-a20f-894e51d5d7a3,1884,2,00:14:20.830,59,20,17,Pressure,138,360,Rayo Vallecano,7,From Goal Kick,210,Real Sociedad,0.981164,,17f66508-b81d-4b28-8bb3-d519cfe6d523,8584,Jonathas Cristian de Jesus,23,Center Forward,93.1,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b1972fa-0304-4647-88a2-aba3603f8abe,,,,,,,,,,,,,,,,,,,,
17f66508-b81d-4b28-8bb3-d519cfe6d523,1885,2,00:14:21.572,59,21,30,Pass,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.359257,,d7682400-f4c5-460e-bd36-29735751f584,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,22.3,24.1,,,,,True,,,,,,,,,,,,,,,,,,,,,18.38532,2.3638866,1.0,Ground Pass,9.2,37.0,40.0,Right Foot,,,,,,f75f026b-447f-4343-a20f-894e51d5d7a3,10612.0,Yoel Rodríguez Oterino,,,,,,,,,,,,,,,,,,
d7682400-f4c5-460e-bd36-29735751f584,1886,2,00:14:22.931,59,22,42,Ball Receipt*,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,17f66508-b81d-4b28-8bb3-d519cfe6d523,10612,Yoel Rodríguez Oterino,1,Goalkeeper,9.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f275cb25-c2b4-4e38-85fa-9421fa986371,1887,2,00:14:22.931,59,22,43,Carry,138,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.492597,,c94fb617-8f6d-4c22-95f6-36e7c777afac,10612,Yoel Rodríguez Oterino,1,Goalkeeper,9.2,37.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7682400-f4c5-460e-bd36-29735751f584,,,8.4,47.0,,,,edb19623-c87a-43d3-bff9-47e63a14caf0,,,,,,,,,,,,
edb19623-c87a-43d3-bff9-47e63a14caf0,1888,2,00:14:23.786,59,23,17,Pressure,138,360,Rayo Vallecano,7,From Goal Kick,210,Real Sociedad,0.752603,,c94fb617-8f6d-4c22-95f6-36e7c777afac,8584,Jonathas Cristian de Jesus,23,Center Forward,109.6,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f275cb25-c2b4-4e38-85fa-9421fa986371,,,,,,,,,,,,,,,,,,,,
