id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,interception_outcome_id,interception_outcome_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,player,position,location,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,block_offensive,block_deflection
5a6621c6-d8b8-4a48-a0fa-a7e62bab06f2,1702,1,00:41:42.543,41,42,30,Pass,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.720884,,4cac6164-bf3e-4e14-8b61-c3dd2833c5a5,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,47.2,64.2,26607.0,José Raúl Baena Urdiales,13.471823,-2.07429,1.0,Ground Pass,40.7,52.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4cac6164-bf3e-4e14-8b61-c3dd2833c5a5,1703,1,00:41:43.264,41,43,42,Ball Receipt*,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,5a6621c6-d8b8-4a48-a0fa-a7e62bab06f2,,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,40.7,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8996e94-bac5-4d76-ba67-e7da6288bbea,1704,1,00:41:44.037,41,44,30,Pass,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.242131,,cab8a9b3-e0c7-4ee7-aa08-9e73335c8365,True,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,40.7,52.4,24138.0,Joaquín José Marín Ruiz,19.36853,2.0136616,1.0,Ground Pass,32.4,69.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cab8a9b3-e0c7-4ee7-aa08-9e73335c8365,1705,1,00:41:45.279,41,45,42,Ball Receipt*,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,b8996e94-bac5-4d76-ba67-e7da6288bbea,,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,32.4,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a546495-d2cd-45e3-abc9-2f038b95d8d3,1706,1,00:41:46.525,41,46,30,Pass,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.042208,,a8ad7363-9016-4a40-99bc-95f08c262f68,,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,39.3,71.1,23761.0,Alhassane Bangoura,18.656097,0.22157592,1.0,Ground Pass,57.5,75.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8ad7363-9016-4a40-99bc-95f08c262f68,1707,1,00:41:47.567,41,47,42,Ball Receipt*,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,8a546495-d2cd-45e3-abc9-2f038b95d8d3,,23761.0,Alhassane Bangoura,17.0,Right Wing,57.5,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cd4f765-84a8-4750-bb45-f46854b245ea,1708,1,00:41:47.567,41,47,43,Carry,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.118531,,a8ad7363-9016-4a40-99bc-95f08c262f68,,23761.0,Alhassane Bangoura,17.0,Right Wing,57.5,75.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,e88ee63d-96bc-438d-8fb5-d4e3a9576bc4,67.5,78.8,ee28418b-9afe-4bcb-9b11-e7f354f208c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e88ee63d-96bc-438d-8fb5-d4e3a9576bc4,1709,1,00:41:47.980,41,47,17,Pressure,96,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.466396,,5cd4f765-84a8-4750-bb45-f46854b245ea,,6797.0,Daniel Wass,13.0,Right Center Midfield,52.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee28418b-9afe-4bcb-9b11-e7f354f208c5,1710,1,00:41:48.686,41,48,14,Dribble,96,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,ceeb5ff2-27e2-4b04-9253-5faa65418f60,,23761.0,Alhassane Bangoura,17.0,Right Wing,67.5,78.8,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceeb5ff2-27e2-4b04-9253-5faa65418f60,1711,1,00:41:48.686,41,48,4,Duel,96,360,Rayo Vallecano,1,Regular Play,209,Celta Vigo,0.0,,ee28418b-9afe-4bcb-9b11-e7f354f208c5,,6797.0,Daniel Wass,13.0,Right Center Midfield,52.6,1.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
