id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,ball_receipt_outcome_id,ball_receipt_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name
f32f9352-4593-4024-b9a5-ec057adca6c7,809,1,00:22:29.602,22,29,43,Carry,45,360,Rayo Vallecano,9,From Kick Off,217,Barcelona,0.49762,,7a70b507-817a-4cbb-bb22-5640e3550fd8,5506,Javier Alejandro Mascherano,5,Left Center Back,51.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbea8695-deba-4bd3-aa2b-506d6316fb8f,51.1,6.5,,,,,,,,,,,,
bbea8695-deba-4bd3-aa2b-506d6316fb8f,810,1,00:22:30.100,22,30,30,Pass,45,360,Rayo Vallecano,9,From Kick Off,217,Barcelona,5.0524,,053e53b8-81af-4c99-8846-7de1854b2700,5506,Javier Alejandro Mascherano,5,Left Center Back,51.1,6.5,5246.0,Luis Alberto Suárez Díaz,60.41523,0.4266275,3.0,High Pass,106.1,31.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,48883eb0-9a10-4ab4-a8cc-4072c3a243e7,,,,9.0,Incomplete,,,,,,,,,
053e53b8-81af-4c99-8846-7de1854b2700,811,1,00:22:35.152,22,35,42,Ball Receipt*,45,360,Rayo Vallecano,9,From Kick Off,217,Barcelona,,,bbea8695-deba-4bd3-aa2b-506d6316fb8f,5246,Luis Alberto Suárez Díaz,23,Center Forward,98.1,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,
48883eb0-9a10-4ab4-a8cc-4072c3a243e7,812,1,00:22:35.152,22,35,23,Goal Keeper,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,0.0,,bbea8695-deba-4bd3-aa2b-506d6316fb8f,24255,Juan Carlos Martín Corral,1,Goalkeeper,14.0,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Collected,15.0,Success
81f759a7-b1ff-447d-8cb3-85641da1a7e3,813,1,00:22:35.152,22,35,43,Carry,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.6228,,48883eb0-9a10-4ab4-a8cc-4072c3a243e7,24255,Juan Carlos Martín Corral,1,Goalkeeper,14.0,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,add976b6-1836-4c5f-b97f-80b2120c379f,15.5,43.8,,,,,,,,,,,,
add976b6-1836-4c5f-b97f-80b2120c379f,814,1,00:22:36.775,22,36,30,Pass,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.246541,,de3e14a8-2f0f-459c-8fcf-73ffae82c982,24255,Juan Carlos Martín Corral,1,Goalkeeper,15.5,43.8,26848.0,Roberto Trashorras Gayoso,14.785128,-0.52417964,1.0,Ground Pass,28.3,36.4,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de3e14a8-2f0f-459c-8fcf-73ffae82c982,815,1,00:22:38.021,22,38,42,Ball Receipt*,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,add976b6-1836-4c5f-b97f-80b2120c379f,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,28.3,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539163f5-200d-493b-ae18-853f225bc502,816,1,00:22:41.878,22,41,30,Pass,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.448449,,992423e1-23f3-495b-abc3-a63d28dc007e,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,28.3,36.4,6914.0,Roberto Román Triguero,23.046474,-0.36841995,1.0,Ground Pass,49.8,28.1,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992423e1-23f3-495b-abc3-a63d28dc007e,817,1,00:22:43.327,22,43,42,Ball Receipt*,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,539163f5-200d-493b-ae18-853f225bc502,6914,Roberto Román Triguero,6,Left Back,49.8,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f99f2f80-2db6-4b9a-bf05-2dda143ad3fe,818,1,00:22:43.756,22,43,30,Pass,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.190293,,3eecfc7a-bea8-4485-aeab-34359a3f8fea,6914,Roberto Román Triguero,6,Left Back,51.6,28.1,26848.0,Roberto Trashorras Gayoso,11.975391,-2.2911973,1.0,Ground Pass,43.7,19.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3eecfc7a-bea8-4485-aeab-34359a3f8fea,819,1,00:22:44.946,22,44,42,Ball Receipt*,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,f99f2f80-2db6-4b9a-bf05-2dda143ad3fe,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,43.7,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b86a1c64-d1d5-4c19-9e1c-f35878f467a7,820,1,00:22:44.946,22,44,43,Carry,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,2.262307,,3eecfc7a-bea8-4485-aeab-34359a3f8fea,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,43.7,19.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,92793015-80e6-4a64-ac22-5e9b120f0ea3,47.3,22.5,cd6a354d-123d-4214-ab80-c3f3203fc6d6,,,,,,,,,,,
cd6a354d-123d-4214-ab80-c3f3203fc6d6,821,1,00:22:46.347,22,46,17,Pressure,46,360,Rayo Vallecano,8,From Keeper,217,Barcelona,1.218978,,92793015-80e6-4a64-ac22-5e9b120f0ea3,5470,Ivan Rakitić,15,Left Center Midfield,69.1,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b86a1c64-d1d5-4c19-9e1c-f35878f467a7,,,,,,,,,,,,,,
92793015-80e6-4a64-ac22-5e9b120f0ea3,822,1,00:22:47.208,22,47,30,Pass,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.768852,,3df8ed9c-90e8-4a3f-84b3-76302b17d869,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,47.3,22.5,26797.0,Francisco Medina Luna,24.45179,1.2244712,1.0,Ground Pass,55.6,45.5,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,cd6a354d-123d-4214-ab80-c3f3203fc6d6,,,,,,,,,,,,,,
3df8ed9c-90e8-4a3f-84b3-76302b17d869,823,1,00:22:48.977,22,48,42,Ball Receipt*,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,92793015-80e6-4a64-ac22-5e9b120f0ea3,26797,Francisco Medina Luna,19,Center Attacking Midfield,55.6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea6a36e7-9dde-46a3-9e83-571d5e844bf8,824,1,00:22:48.977,22,48,43,Carry,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,0.051748,,3df8ed9c-90e8-4a3f-84b3-76302b17d869,26797,Francisco Medina Luna,19,Center Attacking Midfield,55.6,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823e04ec-2549-4345-80b3-961e558b4669,55.6,45.5,,,,,,,,,,,,
823e04ec-2549-4345-80b3-961e558b4669,825,1,00:22:49.029,22,49,30,Pass,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.6019,,0dfc028c-f1b4-4779-a20a-294eb2968a26,26797,Francisco Medina Luna,19,Center Attacking Midfield,55.6,45.5,24138.0,Joaquín José Marín Ruiz,18.448034,-0.28574553,1.0,Ground Pass,73.3,40.3,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,ebb1dccc-338c-4401-aeb2-7fa28d171924,,,,9.0,Incomplete,,,,,,,,,
0dfc028c-f1b4-4779-a20a-294eb2968a26,826,1,00:22:50.631,22,50,42,Ball Receipt*,46,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,823e04ec-2549-4345-80b3-961e558b4669,24138,Joaquín José Marín Ruiz,2,Right Back,75.7,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,
