id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,interception,duel,counterpress,goalkeeper,shot,clearance,out,foul_committed,foul_won,dribble,ball_recovery,block,substitution,bad_behaviour,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_cross,related_events_3,related_events,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,ball_recovery_recovery_failure,clearance_aerial_won,clearance_head,foul_won_defensive,pass_inswinging,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_outswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,pass_goal_assist,shot_one_on_one
d4564419-974f-4fdf-b881-83362a3ee380,271,1,00:07:26.167,7,26,30,Pass,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.903117,,c6451b22-6b0c-484c-9c22-707f649848a1,True,11542,Javier Guerra Rodríguez,23,Center Forward,61.0,40.1,26848.0,Roberto Trashorras Gayoso,9.563472,3.0263166,1.0,Ground Pass,51.5,41.2,65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6451b22-6b0c-484c-9c22-707f649848a1,272,1,00:07:27.071,7,27,42,Ball Receipt*,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,d4564419-974f-4fdf-b881-83362a3ee380,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,51.5,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5336cefe-f02e-4336-8cce-3dbaadf01eba,273,1,00:07:29.605,7,29,30,Pass,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.857663,,27d2f72a-cbb0-4e89-8daf-237850a9f3d5,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,55.1,41.7,24138.0,Joaquín José Marín Ruiz,27.2,1.5707964,1.0,Ground Pass,55.1,68.9,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27d2f72a-cbb0-4e89-8daf-237850a9f3d5,274,1,00:07:31.463,7,31,42,Ball Receipt*,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,5336cefe-f02e-4336-8cce-3dbaadf01eba,,24138,Joaquín José Marín Ruiz,2,Right Back,55.1,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f72901ae-ffbf-4b85-9022-e4bf145e4afc,275,1,00:07:31.463,7,31,43,Carry,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.082527,,27d2f72a-cbb0-4e89-8daf-237850a9f3d5,,24138,Joaquín José Marín Ruiz,2,Right Back,55.1,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4cb1181-9fdb-440b-a24c-0662928e9bfb,54.7,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4cb1181-9fdb-440b-a24c-0662928e9bfb,276,1,00:07:32.546,7,32,30,Pass,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.274197,,ea864347-9143-4cca-b021-2efa8399b6b0,,24138,Joaquín José Marín Ruiz,2,Right Back,54.7,71.9,26848.0,Roberto Trashorras Gayoso,15.185519,-1.796608,1.0,Ground Pass,51.3,57.1,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea864347-9143-4cca-b021-2efa8399b6b0,277,1,00:07:33.820,7,33,42,Ball Receipt*,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,f4cb1181-9fdb-440b-a24c-0662928e9bfb,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,51.3,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3785812-73ad-4453-8956-550180bd3ea1,278,1,00:07:33.820,7,33,43,Carry,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.837346,,2708c123-f804-4fad-8d0d-fc578c7937d8,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,51.3,57.1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,ea864347-9143-4cca-b021-2efa8399b6b0,53.8,45.3,f1f762d0-84e2-438a-b2bf-2f09b1897eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708c123-f804-4fad-8d0d-fc578c7937d8,279,1,00:07:35.443,7,35,17,Pressure,13,360,Rayo Vallecano,9,From Kick Off,219,RC Deportivo La Coruña,0.291283,,b3785812-73ad-4453-8956-550180bd3ea1,,6732,Lucas Pérez Martínez,23,Center Forward,66.3,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1f762d0-84e2-438a-b2bf-2f09b1897eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1f762d0-84e2-438a-b2bf-2f09b1897eeb,280,1,00:07:35.657,7,35,30,Pass,13,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.460099,,2708c123-f804-4fad-8d0d-fc578c7937d8,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,53.8,45.3,11298.0,José Ignacio Martínez García,60.950882,-0.8329813,3.0,High Pass,94.8,0.2,,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,3f6b8295-ad00-4c54-bba9-5c1a12cd7527,,,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
