id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel,miscontrol,ball_receipt,counterpress,carry,clearance,out,interception,dribble,shot,goalkeeper,foul_committed,foul_won,ball_recovery,bad_behaviour,substitution,injury_stoppage,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_right_foot,related_events,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name
f3a7e445-dc33-42b7-89b9-be0acc5233e8,2968,2,00:45:13.075,90,13,30,Pass,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.290763,,c63cd5ad-3f5d-406b-9943-9e2fe031adb3,True,26690,Alberto Mateus Contreiras Gonçalves,24,Left Center Forward,61.0,40.1,6852.0,Jozabed Sánchez Ruiz,6.8818603,-2.1910458,1.0,Ground Pass,57.0,34.5,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c63cd5ad-3f5d-406b-9943-9e2fe031adb3,2969,2,00:45:14.365,90,14,42,Ball Receipt*,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,f3a7e445-dc33-42b7-89b9-be0acc5233e8,,6852,Jozabed Sánchez Ruiz,13,Right Center Midfield,57.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d4059f9-7d72-4ff8-b19b-a553cebc23ea,2970,2,00:45:18.368,90,18,30,Pass,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.990584,,f313bb8b-1eb0-4265-8476-df59d67fdfbd,,6852,Jozabed Sánchez Ruiz,13,Right Center Midfield,57.0,34.5,24138.0,Joaquín José Marín Ruiz,35.70224,1.6464942,1.0,Ground Pass,54.3,70.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f313bb8b-1eb0-4265-8476-df59d67fdfbd,2971,2,00:45:20.358,90,20,42,Ball Receipt*,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,1d4059f9-7d72-4ff8-b19b-a553cebc23ea,,24138,Joaquín José Marín Ruiz,3,Right Center Back,54.3,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f71c051a-3327-4596-a51e-58992b6329e3,2972,2,00:45:20.358,90,20,43,Carry,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.714106,,daf5abc7-a51d-40d2-bdb1-a8961fe7e7d8,,24138,Joaquín José Marín Ruiz,3,Right Center Back,54.3,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f313bb8b-1eb0-4265-8476-df59d67fdfbd,64.3,71.5,,,,,,,,,,,,,,,
daf5abc7-a51d-40d2-bdb1-a8961fe7e7d8,2973,2,00:45:22.072,90,22,30,Pass,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.933717,,c6fd2e39-7e4d-4357-88d1-2e4f105165aa,,24138,Joaquín José Marín Ruiz,3,Right Center Back,64.3,71.5,,,38.693928,-0.6016218,3.0,High Pass,96.2,49.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,
c6fd2e39-7e4d-4357-88d1-2e4f105165aa,2974,2,00:45:24.006,90,24,9,Clearance,214,360,Rayo Vallecano,9,From Kick Off,212,Atlético Madrid,0.0,,daf5abc7-a51d-40d2-bdb1-a8961fe7e7d8,,5249,Diego Roberto Godín Leal,5,Left Center Back,23.9,30.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,37.0,Head,True,,,,,,,,,,
c0a150d1-c344-4fe7-bcf3-af2fa8131057,2975,2,00:45:25.910,90,25,30,Pass,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.208142,,675105cc-db21-4959-9236-1467d64ed6f7,,6852,Jozabed Sánchez Ruiz,13,Right Center Midfield,75.1,32.0,7900.0,Tiago Manuel Dias Correia,15.028307,-0.35331902,2.0,Low Pass,89.2,26.8,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675105cc-db21-4959-9236-1467d64ed6f7,2976,2,00:45:27.118,90,27,42,Ball Receipt*,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,c0a150d1-c344-4fe7-bcf3-af2fa8131057,,7900,Tiago Manuel Dias Correia,8,Left Wing Back,89.2,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8434fa32-429a-49d4-b5e7-491d0f47df1b,2977,2,00:45:27.118,90,27,43,Carry,214,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.102193,,675105cc-db21-4959-9236-1467d64ed6f7,,7900,Tiago Manuel Dias Correia,8,Left Wing Back,89.2,26.8,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,ec856581-7c85-4f7a-bdf5-c0c73179cd80,89.2,28.7,,,,,,ed178578-d3aa-4313-942f-0a32ce892c18,,,,,,,,,
