id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_goal_assist,pass_deflected,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate
84fae259-dc7b-4a0f-81fb-7576d513d6bd,378,1,00:10:21.181,10,21,6,Block,28,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,0.0,,8c8f83a7-4688-4dc7-8e80-939d01eaa144,5201,Sergio Ramos García,5,Left Center Back,45.9,2.1,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd23eeed-3b8f-4e11-800b-a270131a12f5,379,1,00:10:28.172,10,28,30,Pass,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,2.028645,,66eb322a-6ab2-469f-81e8-e5a48c7b717b,6914,Roberto Román Triguero,2,Right Back,71.3,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,10.55462,-1.7421755,2.0,Low Pass,69.5,69.6,,,,,,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66eb322a-6ab2-469f-81e8-e5a48c7b717b,380,1,00:10:30.201,10,30,42,Ball Receipt*,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,dd23eeed-3b8f-4e11-800b-a270131a12f5,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,69.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be1edae0-dbc4-479a-a190-5fc111969af6,381,1,00:10:30.201,10,30,43,Carry,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.246478,,66eb322a-6ab2-469f-81e8-e5a48c7b717b,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,69.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98e71ed1-3716-4135-aa29-48c9e249698e,65.7,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98e71ed1-3716-4135-aa29-48c9e249698e,382,1,00:10:31.447,10,31,30,Pass,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,2.219671,,f68f827b-4bd0-44ee-b993-5b69663ae724,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,65.7,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26222.0,José Eduardo Rosa Vale de Castro,37.941532,-1.8375107,1.0,Ground Pass,55.7,29.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f68f827b-4bd0-44ee-b993-5b69663ae724,383,1,00:10:33.667,10,33,42,Ball Receipt*,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,98e71ed1-3716-4135-aa29-48c9e249698e,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,55.7,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661681ef-f526-41fb-9770-4abbcdcea3c0,384,1,00:10:33.667,10,33,30,Pass,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,2.267782,,957c2211-cb5d-407f-a137-bfe3bdd8ee91,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,55.7,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11298.0,José Ignacio Martínez García,32.367886,-0.8728935,1.0,Ground Pass,76.5,4.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957c2211-cb5d-407f-a137-bfe3bdd8ee91,385,1,00:10:35.935,10,35,42,Ball Receipt*,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,661681ef-f526-41fb-9770-4abbcdcea3c0,11298,José Ignacio Martínez García,6,Left Back,76.5,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e6d5569-a354-40e5-94db-4c8c001a3067,386,1,00:10:35.935,10,35,43,Carry,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.386809,,957c2211-cb5d-407f-a137-bfe3bdd8ee91,11298,José Ignacio Martínez García,6,Left Back,76.5,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bdfda0f5-8cd3-4b46-8836-b25c04a0dcf8,83.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdfda0f5-8cd3-4b46-8836-b25c04a0dcf8,387,1,00:10:37.322,10,37,30,Pass,29,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.599146,,3f1aec95-24cb-4d32-8694-d9cbef3977d8,11298,José Ignacio Martínez García,6,Left Back,83.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf68ee16-d8cc-4487-8b18-f9330ff7198f,,,11542.0,Javier Guerra Rodríguez,17.3358,0.74868,3.0,High Pass,96.2,17.8,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
