id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,dribble,duel,ball_recovery,ball_receipt,clearance,out,foul_won,foul_committed,counterpress,interception,shot,goalkeeper,substitution,miscontrol,bad_behaviour,player_off,pass,pass_cross,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_head,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,related_events_3,related_events,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_won_defensive
79d32ca0-c4c0-41f6-8d32-038e4e0249d5,345,1,00:10:35.042,10,35,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.991033,,63b84698-d184-475a-9ce8-67de68e243fe,True,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,60.0,40.0,6713.0,Diego Javier Llorente Ríos,17.582378,-3.0447536,1.0,Ground Pass,42.5,38.3,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63b84698-d184-475a-9ce8-67de68e243fe,346,1,00:10:36.033,10,36,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,79d32ca0-c4c0-41f6-8d32-038e4e0249d5,,6713,Diego Javier Llorente Ríos,5,Left Center Back,42.5,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18bce3e1-3f44-43d3-a83a-01739998e0fd,347,1,00:10:38.421,10,38,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.328903,,2a07ea5d-58c2-499e-96af-accba8d93196,True,6713,Diego Javier Llorente Ríos,5,Left Center Back,42.6,38.5,4711.0,Pablo Hernández Domínguez,54.789234,0.2489627,3.0,High Pass,95.7,52.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a07ea5d-58c2-499e-96af-accba8d93196,348,1,00:10:38.750,10,38,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,18bce3e1-3f44-43d3-a83a-01739998e0fd,,4711,Pablo Hernández Domínguez,17,Right Wing,95.7,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce3ccaf1-d19d-498c-a509-a2265f7d4550,349,1,00:10:39.078,10,39,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.041905,,6cb756c0-4f62-407e-8a8e-252efbc6bd96,True,4711,Pablo Hernández Domínguez,17,Right Wing,95.6,52.2,6914.0,Roberto Román Triguero,13.1472435,1.9527152,1.0,Ground Pass,90.7,64.4,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cb756c0-4f62-407e-8a8e-252efbc6bd96,350,1,00:10:40.120,10,40,42,Ball Receipt*,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,ce3ccaf1-d19d-498c-a509-a2265f7d4550,,6914,Roberto Román Triguero,2,Right Back,90.7,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd430aaa-9fbd-4c48-8a45-bf5eb196f63d,351,1,00:10:41.083,10,41,30,Pass,27,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.767917,,bdaa496b-d1e9-4d5e-83f9-2f192a42ac3e,,6914,Roberto Román Triguero,2,Right Back,94.7,66.3,,,24.583939,-1.0561911,2.0,Low Pass,106.8,44.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdaa496b-d1e9-4d5e-83f9-2f192a42ac3e,352,1,00:10:41.851,10,41,9,Clearance,27,360,Rayo Vallecano,9,From Kick Off,213,Sevilla,0.0,,cd430aaa-9fbd-4c48-8a45-bf5eb196f63d,,6349,Federico Julián Fazio,5,Left Center Back,13.3,35.2,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78a5fcf8-a0c2-421f-9789-65c5343854c6,353,1,00:10:47.999,10,47,30,Pass,28,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.715624,,0451c86b-8881-46d5-bd9e-64b27c49e64a,,6914,Roberto Román Triguero,2,Right Back,110.0,80.0,26607.0,José Raúl Baena Urdiales,15.822136,-2.4816582,2.0,Low Pass,97.5,70.3,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0451c86b-8881-46d5-bd9e-64b27c49e64a,354,1,00:10:48.714,10,48,42,Ball Receipt*,28,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,78a5fcf8-a0c2-421f-9789-65c5343854c6,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,97.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
