id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,interception,clearance,counterpress,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,duel,out,dribble,ball_recovery,miscontrol,foul_won,off_camera,foul_committed,substitution,50_50,bad_behaviour,player,position,location,goalkeeper,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events,related_events_1,carry_end_location_0,carry_end_location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_aerial_won,pass_miscommunication
074295f6-6def-426f-a22f-bca013f52802,1832,2,00:05:46.863,50,46,42,Ball Receipt*,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,339ed38c-5788-4a85-a107-1d6dddb4f334,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,27.8,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0349f592-8be2-47ef-8b66-02abfbc88db2,1833,2,00:05:46.863,50,46,43,Carry,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,4.051628,,074295f6-6def-426f-a22f-bca013f52802,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,27.8,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d1384bf-f13c-4259-b0f0-98181e8a5f1e,43.1,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1384bf-f13c-4259-b0f0-98181e8a5f1e,1834,2,00:05:50.915,50,50,30,Pass,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.795486,,254b0491-11da-4fbb-8919-71e14ee41f14,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,43.1,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711.0,Pablo Hernández Domínguez,20.965925,1.2505541,1.0,Ground Pass,49.7,47.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,
254b0491-11da-4fbb-8919-71e14ee41f14,1835,2,00:05:51.710,50,51,42,Ball Receipt*,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,5d1384bf-f13c-4259-b0f0-98181e8a5f1e,4711.0,Pablo Hernández Domínguez,19.0,Center Attacking Midfield,49.7,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2babf111-03f0-4efc-98db-0c00d29c25e5,1836,2,00:05:51.710,50,51,43,Carry,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.969235,,254b0491-11da-4fbb-8919-71e14ee41f14,4711.0,Pablo Hernández Domínguez,19.0,Center Attacking Midfield,49.7,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a38d528-7d7a-4f83-9050-3357190c4147,54.6,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a38d528-7d7a-4f83-9050-3357190c4147,1837,2,00:05:53.680,50,53,30,Pass,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,2.614078,,a185b6b0-378d-4ac6-bd45-3c54113e2a9d,4711.0,Pablo Hernández Domínguez,19.0,Center Attacking Midfield,54.6,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6ffc32f-2bf3-4cef-95f5-87e839326798,,,7900.0,Tiago Manuel Dias Correia,55.477745,-0.7471515,3.0,High Pass,95.3,9.7,40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,
a185b6b0-378d-4ac6-bd45-3c54113e2a9d,1838,2,00:05:56.294,50,56,42,Ball Receipt*,101,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,8a38d528-7d7a-4f83-9050-3357190c4147,7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,94.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,
d6ffc32f-2bf3-4cef-95f5-87e839326798,1839,2,00:05:56.294,50,56,10,Interception,101,360,Rayo Vallecano,4,From Throw In,1049,Granada,0.0,,8a38d528-7d7a-4f83-9050-3357190c4147,4546.0,Dimitri Foulquier,2.0,Right Back,24.8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,
14139e48-e966-435d-b7b7-38755616d9f1,1840,2,00:06:02.202,51,2,30,Pass,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.35125,,ae87e3b1-bc7c-43ac-869c-96c8f38703a3,7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,91.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,12.151132,2.900606,2.0,Low Pass,79.6,3.0,,,,,,,,,,,67.0,Throw-in,,,,,,,,,,,,,,,
ae87e3b1-bc7c-43ac-869c-96c8f38703a3,1841,2,00:06:03.553,51,3,42,Ball Receipt*,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,14139e48-e966-435d-b7b7-38755616d9f1,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,79.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603f44d-4bf9-4226-a4e7-77e45597a784,1842,2,00:06:03.553,51,3,43,Carry,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.589449,,74b1e997-2676-41f3-9259-4dbde7904fc6,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,79.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae87e3b1-bc7c-43ac-869c-96c8f38703a3,79.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74b1e997-2676-41f3-9259-4dbde7904fc6,1843,2,00:06:05.142,51,5,30,Pass,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.199999,,49e27ac2-3f36-4fee-a205-07064a49b15e,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,79.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6743.0,Manuel Rolando Iturra Urrutia,23.632605,2.108313,1.0,Ground Pass,67.2,24.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,
49e27ac2-3f36-4fee-a205-07064a49b15e,1844,2,00:06:06.342,51,6,42,Ball Receipt*,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,74b1e997-2676-41f3-9259-4dbde7904fc6,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,67.2,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2faac1b6-792f-4d1a-8d5a-5f08a5194db6,1845,2,00:06:06.342,51,6,43,Carry,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.959998,,49e27ac2-3f36-4fee-a205-07064a49b15e,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,67.2,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7f5b92e-a466-4407-9b93-08da21a56a70,66.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7f5b92e-a466-4407-9b93-08da21a56a70,1846,2,00:06:07.302,51,7,30,Pass,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.847691,,105cf261-654c-47e7-892a-9e8105e69e51,6743.0,Manuel Rolando Iturra Urrutia,11.0,Left Defensive Midfield,66.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773222c1-79b5-4a91-9c08-56a4b409b33f,,,24138.0,Joaquín José Marín Ruiz,10.167104,0.68088526,1.0,Ground Pass,74.4,31.3,40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,True
773222c1-79b5-4a91-9c08-56a4b409b33f,1847,2,00:06:08.150,51,8,42,Ball Receipt*,102,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,b7f5b92e-a466-4407-9b93-08da21a56a70,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,74.4,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,
