id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,related_events,goalkeeper,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,foul_committed_type_id,foul_committed_type_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,pass_switch,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,related_events_3
d9d16440-7582-4d49-b9c1-4ffc6621e36b,639,1,00:14:04.306,14,4,23,Goal Keeper,33,360,Rayo Vallecano,2,From Corner,217,Barcelona,0.0,,6e4c2782-77c1-45d9-87da-8514df87fb7f,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,2.0,42.9,,,,,,,,,,,46.0,Standing,43.0,Prone,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d44e1d55-515a-4ca6-b17a-40229c62e548,643,1,00:14:54.222,14,54,2,Ball Recovery,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,23761,Alhassane Bangoura,17,Right Wing,56.1,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f90d5644-a2a3-4a0b-a8f9-1b2d23017dd1,644,1,00:14:54.610,14,54,17,Pressure,35,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.976266,,,4320,Neymar da Silva Santos Junior,21,Left Wing,66.8,9.6,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867bc9e6-563f-4ec4-84fd-8752e19c25bf,645,1,00:14:58.719,14,58,30,Pass,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.599357,,cb391a0e-25c3-4171-b486-949ef356ba3d,23761,Alhassane Bangoura,17,Right Wing,34.7,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26222.0,José Eduardo Rosa Vale de Castro,15.692355,-1.8219573,1.0,Ground Pass,30.8,43.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,
cb391a0e-25c3-4171-b486-949ef356ba3d,646,1,00:15:00.319,15,0,42,Ball Receipt*,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,867bc9e6-563f-4ec4-84fd-8752e19c25bf,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,30.8,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26fec3ed-f788-49c9-8d17-f1c5f2f894ae,647,1,00:15:00.319,15,0,43,Carry,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.638482,,91144d85-f5f1-4eed-ac6d-269e072a67b0,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,30.8,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb391a0e-25c3-4171-b486-949ef356ba3d,29.8,47.9,,,,,,,,,,,,,,,,,,
91144d85-f5f1-4eed-ac6d-269e072a67b0,648,1,00:15:01.957,15,1,30,Pass,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.049674,,4264a0f6-cbb4-4166-b6fc-e8933f9edc02,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,29.8,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11298.0,José Ignacio Martínez García,35.23535,0.9568153,3.0,High Pass,50.1,76.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,
4264a0f6-cbb4-4166-b6fc-e8933f9edc02,649,1,00:15:04.007,15,4,42,Ball Receipt*,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,91144d85-f5f1-4eed-ac6d-269e072a67b0,11298,José Ignacio Martínez García,2,Right Back,50.1,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fda077b-1d06-4040-b986-3f45b90ab865,650,1,00:15:04.007,15,4,43,Carry,35,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.708689,,3811ac4c-87c1-4677-b94f-7cff5231a11e,11298,José Ignacio Martínez García,2,Right Back,50.1,76.7,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4264a0f6-cbb4-4166-b6fc-e8933f9edc02,49.2,76.5,a60428dc-431e-40f0-a85d-015e91700de4,,,,,,,,,,,,,,,,,
3811ac4c-87c1-4677-b94f-7cff5231a11e,651,1,00:15:04.303,15,4,17,Pressure,35,360,Rayo Vallecano,1,Regular Play,217,Barcelona,0.539469,,9fda077b-1d06-4040-b986-3f45b90ab865,5211,Jordi Alba Ramos,6,Left Back,67.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a60428dc-431e-40f0-a85d-015e91700de4,,,,,,,,,,,,,,,,,,,,
