id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,duel,clearance,counterpress,out,off_camera,interception,goalkeeper,shot,dribble,foul_won,foul_committed,ball_recovery,50_50,miscontrol,block,substitution,pass,pass_outcome_id,pass_outcome_name,related_events,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,related_events_1,related_events_2,related_events_3,pass_aerial_won,duel_type_id,duel_type_name,interception_outcome_id,interception_outcome_name,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate
1ded7d5a-3d85-4d6e-b8d4-1526841bce7b,792,1,00:22:14.988,22,14,30,Pass,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.857897,,0d2a5811-dbba-4dac-ae59-bb5d741dcbf7,11298,José Ignacio Martínez García,6,Left Back,22.7,0.1,26848.0,Roberto Trashorras Gayoso,10.998636,0.8690733,2.0,Low Pass,29.8,8.5,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d2a5811-dbba-4dac-ae59-bb5d741dcbf7,793,1,00:22:15.846,22,15,42,Ball Receipt*,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,1ded7d5a-3d85-4d6e-b8d4-1526841bce7b,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,29.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f866da8f-fc0e-4d5c-8059-c4278c3ac16c,794,1,00:22:15.846,22,15,30,Pass,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.849745,,444a7431-a49f-4f15-92c9-fcf939709b10,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,29.8,8.5,11298.0,José Ignacio Martínez García,7.77946,-2.3743744,2.0,Low Pass,24.2,3.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444a7431-a49f-4f15-92c9-fcf939709b10,795,1,00:22:16.695,22,16,42,Ball Receipt*,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,f866da8f-fc0e-4d5c-8059-c4278c3ac16c,11298,José Ignacio Martínez García,6,Left Back,24.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca517713-1fb0-4c59-a1cf-d3eed6afa2ea,796,1,00:22:16.695,22,16,43,Carry,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.217647,,444a7431-a49f-4f15-92c9-fcf939709b10,11298,José Ignacio Martínez García,6,Left Back,24.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870d3426-df83-4e95-9666-5ecd337dcc82,,,,,,,,24.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870d3426-df83-4e95-9666-5ecd337dcc82,797,1,00:22:16.913,22,16,30,Pass,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.884605,,8da00953-878b-4f42-9fea-2ac52825f9e8,11298,José Ignacio Martínez García,6,Left Back,24.2,3.1,26685.0,Nicolás Ladislao Fedor Flores,42.53281,0.36042175,3.0,High Pass,64.0,18.1,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,ff7c5252-6298-45a0-83ab-f1465a7964e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8da00953-878b-4f42-9fea-2ac52825f9e8,798,1,00:22:18.798,22,18,42,Ball Receipt*,56,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,870d3426-df83-4e95-9666-5ecd337dcc82,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,65.3,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfe25e00-eedb-4ccb-8e79-c4f1322b7698,813,1,00:22:30.844,22,30,10,Interception,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,3fab89f4-94f5-4d30-afe8-dcc1befcf4d6,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,92.9,50.8,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f855f9f-2159-4f85-97b0-ccbe34e73e39,814,1,00:22:30.844,22,30,43,Carry,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.085928,,54720d0e-6dad-4fe4-8f0d-10ef6bd44234,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,92.9,50.8,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,cfe25e00-eedb-4ccb-8e79-c4f1322b7698,dc970300-ed32-4aa1-874a-5ce0d75c2253,,,,,,,98.7,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc970300-ed32-4aa1-874a-5ce0d75c2253,815,1,00:22:30.875,22,30,17,Pressure,58,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,0.067738,,1f855f9f-2159-4f85-97b0-ccbe34e73e39,6869,Alejandro Arribas Garrido,3,Right Center Back,27.6,33.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,54720d0e-6dad-4fe4-8f0d-10ef6bd44234,f926c833-b207-4e93-8a89-db37352ca643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dbbff3e-ae28-4bcb-990d-e581104dfc98,816,1,00:22:30.930,22,30,39,Dribbled Past,58,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,0.0,,54720d0e-6dad-4fe4-8f0d-10ef6bd44234,6869,Alejandro Arribas Garrido,3,Right Center Back,21.4,32.7,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,f926c833-b207-4e93-8a89-db37352ca643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54720d0e-6dad-4fe4-8f0d-10ef6bd44234,817,1,00:22:30.930,22,30,14,Dribble,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,6dbbff3e-ae28-4bcb-990d-e581104dfc98,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,98.7,47.4,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,dc970300-ed32-4aa1-874a-5ce0d75c2253,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f926c833-b207-4e93-8a89-db37352ca643,818,1,00:22:30.930,22,30,43,Carry,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.910591,,54720d0e-6dad-4fe4-8f0d-10ef6bd44234,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,98.7,47.4,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,6dbbff3e-ae28-4bcb-990d-e581104dfc98,a8d68025-3659-4e18-ad69-310d9452355a,dc970300-ed32-4aa1-874a-5ce0d75c2253,,,,,,107.4,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8d68025-3659-4e18-ad69-310d9452355a,819,1,00:22:32.841,22,32,30,Pass,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.277811,,97b49414-d7be-4f47-9d02-f6800c6f8736,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,107.4,44.2,6852.0,Jozabed Sánchez Ruiz,12.210241,-1.5298357,1.0,Ground Pass,107.9,32.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f4acca-6aad-4829-9dde-cc13af198d7d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97b49414-d7be-4f47-9d02-f6800c6f8736,820,1,00:22:34.118,22,34,42,Ball Receipt*,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,a8d68025-3659-4e18-ad69-310d9452355a,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,107.9,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f4acca-6aad-4829-9dde-cc13af198d7d,821,1,00:22:34.140,22,34,16,Shot,58,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.941918,,b00613b7-e5b3-4b49-b56b-96e55d258935,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,108.2,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.91900533,120.0,40.3,0.2,a8d68025-3659-4e18-ad69-310d9452355a,True,97.0,Goal,93.0,Normal,40.0,Right Foot,87.0,Open Play,94.1,51.1,6869.0,Alejandro Arribas Garrido,3.0,Right Center Back,False,100.3,42.5,6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,False,100.5,56.4,6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,False,108.2,46.0,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,True,108.3,41.1,27457.0,Manuel Fernández Muñíz,1.0,Goalkeeper,False
