id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,duel,clearance,counterpress,interception,shot,goalkeeper,out,dribble,ball_recovery,foul_committed,foul_won,substitution,block,miscontrol,pass,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events,ball_receipt_outcome_id,ball_receipt_outcome_name,block_offensive,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,related_events_3,clearance_aerial_won,clearance_head,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch
69cc432b-b11f-493d-9c27-c9b5b9313f27,2971,2,00:46:41.692,91,41,30,Pass,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.895723,,4c0d9388-972e-428c-b76a-03b4c7e528d3,True,26690,Alberto Mateus Contreiras Gonçalves,24,Left Center Forward,60.0,40.0,26848.0,Roberto Trashorras Gayoso,26.394697,3.0200572,1.0,Ground Pass,33.8,43.2,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c0d9388-972e-428c-b76a-03b4c7e528d3,2972,2,00:46:42.588,91,42,42,Ball Receipt*,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,69cc432b-b11f-493d-9c27-c9b5b9313f27,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,33.8,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765dc51-4b0d-4448-bebd-e62db6d0ea68,2973,2,00:46:43.066,91,43,30,Pass,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.315379,,85806f17-9c71-4ca4-b5cc-74c3508ee861,True,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,33.8,43.2,,,48.166588,0.47200397,3.0,High Pass,76.7,65.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
85806f17-9c71-4ca4-b5cc-74c3508ee861,2974,2,00:46:43.382,91,43,9,Clearance,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.0,,1765dc51-4b0d-4448-bebd-e62db6d0ea68,True,26669,Weligton Róbson Pena de Oliveira,5,Left Center Back,43.4,15.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,
dd6c28f2-c5b9-4299-bfbb-b94c4df11808,2975,2,00:46:45.876,91,45,30,Pass,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.852967,,720f740a-cbcb-48b8-b1ea-3d73340f2fd7,,26783,Roque Luis Santa Cruz Cantero,24,Left Center Forward,86.1,24.4,10868.0,Ricardo Jorge Luz Horta,11.524756,-2.1082397,2.0,Low Pass,80.2,14.5,70.0,Other,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720f740a-cbcb-48b8-b1ea-3d73340f2fd7,2976,2,00:46:46.729,91,46,42,Ball Receipt*,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,,,dd6c28f2-c5b9-4299-bfbb-b94c4df11808,,10868,Ricardo Jorge Luz Horta,16,Left Midfield,80.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d7155a8-f84f-4851-a8c1-52e5afc17abd,2977,2,00:46:46.729,91,46,43,Carry,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.908835,,720f740a-cbcb-48b8-b1ea-3d73340f2fd7,,10868,Ricardo Jorge Luz Horta,16,Left Midfield,80.2,14.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,a3d7b80c-ac05-42d4-84bc-923cb2e53b87,a5ab9ee3-2dc8-43f1-892d-6aca5992ce6f,79.7,17.9,,,,,,,,,,,,,,,,,,,
a5ab9ee3-2dc8-43f1-892d-6aca5992ce6f,2978,2,00:46:47.017,91,47,17,Pressure,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.581151,,2d7155a8-f84f-4851-a8c1-52e5afc17abd,,24138,Joaquín José Marín Ruiz,2,Right Back,40.1,62.9,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3d7b80c-ac05-42d4-84bc-923cb2e53b87,2979,2,00:46:47.638,91,47,3,Dispossessed,194,360,Rayo Vallecano,9,From Kick Off,223,Málaga,0.0,,5b3b70db-c17f-4e85-a717-5c23506a427d,,10868,Ricardo Jorge Luz Horta,16,Left Midfield,79.7,17.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b3b70db-c17f-4e85-a717-5c23506a427d,2980,2,00:46:47.638,91,47,4,Duel,194,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,a3d7b80c-ac05-42d4-84bc-923cb2e53b87,,24138,Joaquín José Marín Ruiz,2,Right Back,40.4,62.2,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,11.0,Tackle,,,,,,,,,,,,,,,
