id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,duel,clearance,ball_receipt,interception,counterpress,out,foul_committed,foul_won,goalkeeper,dribble,shot,ball_recovery,miscontrol,block,substitution,injury_stoppage,50_50,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,pass_switch,foul_won_defensive,duel_type_id,duel_type_name,pass_aerial_won,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,location,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1
f5af19da-8d88-4b5c-90d1-7135850959d7,2738,2,00:42:44.873,87,44,42,Ball Receipt*,219,360,Rayo Vallecano,9,From Kick Off,223,Málaga,,,c2994bc3-37b8-41af-bdab-cc97da81addc,,6580,José Luis García del Pozo,12,Right Midfield,79.7,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9269c2f4-a9ae-4544-9732-4ab984db770f,2739,2,00:42:44.873,87,44,30,Pass,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.712642,,c2994bc3-37b8-41af-bdab-cc97da81addc,,6713,Diego Javier Llorente Ríos,3,Right Center Back,30.4,3.6,11542.0,Javier Guerra Rodríguez,42.00595,0.48813686,3.0,High Pass,67.5,23.3,38.0,Left Foot,64.0,Interception,,,,,,,,,,,,,,,,,,,,,c677de9e-5ef5-4519-acc5-bccd7d1b99d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e5c3938-4f5d-4b8e-a1f3-3847f2a83f60,2740,2,00:42:46.960,87,46,17,Pressure,219,360,Rayo Vallecano,9,From Kick Off,223,Málaga,1.732323,,87226c91-8427-4de4-9f1f-2475c02abe5e,,6563,Juan Pablo Añor Acosta,11,Left Defensive Midfield,53.3,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c677de9e-5ef5-4519-acc5-bccd7d1b99d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c677de9e-5ef5-4519-acc5-bccd7d1b99d5,2741,2,00:42:47.585,87,47,42,Ball Receipt*,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,8e5c3938-4f5d-4b8e-a1f3-3847f2a83f60,,11542,Javier Guerra Rodríguez,23,Center Forward,67.5,23.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,9269c2f4-a9ae-4544-9732-4ab984db770f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87226c91-8427-4de4-9f1f-2475c02abe5e,2742,2,00:42:47.585,87,47,43,Carry,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.219585,,261bca50-e830-48fd-9318-8a0cf5ac7442,,11542,Javier Guerra Rodríguez,23,Center Forward,67.5,23.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,8e5c3938-4f5d-4b8e-a1f3-3847f2a83f60,69.5,18.3,,,c677de9e-5ef5-4519-acc5-bccd7d1b99d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261bca50-e830-48fd-9318-8a0cf5ac7442,2743,2,00:42:48.805,87,48,30,Pass,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.848925,,94cc6560-9438-4403-8d06-978d938e62fc,,11542,Javier Guerra Rodríguez,23,Center Forward,69.5,18.3,26848.0,Roberto Trashorras Gayoso,10.304368,3.1124747,1.0,Ground Pass,59.2,18.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94cc6560-9438-4403-8d06-978d938e62fc,2744,2,00:42:49.654,87,49,42,Ball Receipt*,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,261bca50-e830-48fd-9318-8a0cf5ac7442,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,59.2,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f47101a-daab-414f-9da0-1a554adc7d10,2745,2,00:42:49.654,87,49,30,Pass,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.316738,,1794e339-245f-4872-be60-6f593aecc955,,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,59.2,18.6,24138.0,Joaquín José Marín Ruiz,20.77354,-0.98412883,2.0,Low Pass,70.7,1.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794e339-245f-4872-be60-6f593aecc955,2746,2,00:42:50.971,87,50,42,Ball Receipt*,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,1f47101a-daab-414f-9da0-1a554adc7d10,,24138,Joaquín José Marín Ruiz,21,Left Wing,70.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edcb73a9-f65f-44c4-9b58-30cc48d056aa,2747,2,00:42:50.971,87,50,43,Carry,219,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.719784,,1794e339-245f-4872-be60-6f593aecc955,,24138,Joaquín José Marín Ruiz,21,Left Wing,70.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385a4f62-4060-4fbb-9356-78fa98a4fbad,68.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
