id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,duel,clearance,counterpress,out,off_camera,interception,goalkeeper,shot,dribble,foul_won,foul_committed,ball_recovery,50_50,miscontrol,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,related_events,related_events_2,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,pass_through_ball,pass_technique_id,pass_technique_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,pass_cross,pass_cut_back,pass_goal_assist,shot_end_location_2,shot_first_time,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate
7d111ee6-ae42-401a-b18f-ed7a19e80049,15,1,00:00:07.947,0,7,43,Carry,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.725464,,3eb10752-8056-4587-9af6-5428464f8a69,6914,Roberto Román Triguero,5,Left Center Back,28.3,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5da1c256-c287-47be-881a-7b3d02b8454d,31.7,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5da1c256-c287-47be-881a-7b3d02b8454d,16,1,00:00:11.673,0,11,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,3.23576,,d277b957-e298-4327-a036-46004f7759b4,6914,Roberto Román Triguero,5,Left Center Back,31.7,60.9,26685.0,Nicolás Ladislao Fedor Flores,62.40521,-0.114019446,3.0,High Pass,93.7,53.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,d46ebddf-2129-4438-9989-92af1cf1185b,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d46ebddf-2129-4438-9989-92af1cf1185b,17,1,00:00:14.909,0,14,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,5da1c256-c287-47be-881a-7b3d02b8454d,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,91.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68525eac-5c90-407b-b2f0-23fc6596681b,18,1,00:00:14.909,0,14,4,Duel,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,d277b957-e298-4327-a036-46004f7759b4,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,93.7,53.8,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d277b957-e298-4327-a036-46004f7759b4,19,1,00:00:14.909,0,14,9,Clearance,2,360,Rayo Vallecano,9,From Kick Off,219,RC Deportivo La Coruña,0.0,,5da1c256-c287-47be-881a-7b3d02b8454d,6777,Sidnei Rechel da Silva Júnior,5,Left Center Back,26.4,26.3,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,68525eac-5c90-407b-b2f0-23fc6596681b,,,,,,,,,True,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a41801cb-30d0-4888-9af4-db71f307b3bd,20,1,00:00:17.754,0,17,2,Ball Recovery,2,360,Rayo Vallecano,9,From Kick Off,219,RC Deportivo La Coruña,0.0,,,6733,Pedro Mosquera Parada,11,Left Defensive Midfield,30.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d2ab553-d98b-4db2-adb8-3a8bbe6d455f,21,1,00:00:17.754,0,17,43,Carry,2,360,Rayo Vallecano,9,From Kick Off,219,RC Deportivo La Coruña,1.121193,,15de396e-5e1b-4372-9882-38fcac5d1b8b,6733,Pedro Mosquera Parada,11,Left Defensive Midfield,30.8,8.7,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,1c1485e0-ce62-4be8-85aa-d6b3423083e2,29.8,3.6,,,,,,,,,,,,a41801cb-30d0-4888-9af4-db71f307b3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c1485e0-ce62-4be8-85aa-d6b3423083e2,22,1,00:00:17.796,0,17,17,Pressure,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.807997,,9d2ab553-d98b-4db2-adb8-3a8bbe6d455f,4711,Pablo Hernández Domínguez,17,Right Wing,87.8,69.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15de396e-5e1b-4372-9882-38fcac5d1b8b,23,1,00:00:18.875,0,18,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,219,RC Deportivo La Coruña,0.617159,,,6733,Pedro Mosquera Parada,11,Left Defensive Midfield,29.8,3.6,,,7.539231,-0.38050637,1.0,Ground Pass,36.8,0.8,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6db94822-8116-4441-b947-b0b19a0e91de,24,1,00:00:25.907,0,25,30,Pass,3,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.329499,,5bcee13f-647c-4b64-b945-ecfd98cb9f50,24138,Joaquín José Marín Ruiz,2,Right Back,87.1,80.0,4711.0,Pablo Hernández Domínguez,10.123734,-1.9769851,2.0,Low Pass,83.1,70.7,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
