id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,duel,out,counterpress,ball_receipt,clearance,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed,foul_won,dribble,ball_recovery,interception,block,substitution,miscontrol,bad_behaviour,related_events_1,related_events_2,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_aerial_won,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,related_events_3,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_outcome_id,dribble_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,pass_switch,location,pass_cross,clearance_aerial_won,clearance_head,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_technique_id,pass_technique_name,pass_inswinging,shot_first_time,goalkeeper_end_location_0,goalkeeper_end_location_1,pass_outswinging,pass_cut_back,foul_won_defensive,block_offensive,dribble_overrun,player,position,dribble_nutmeg,related_events_4,foul_committed_advantage,foul_won_advantage,block_save_block
df6a3880-6b33-4ea9-a236-8ba427818796,715,1,00:16:42.965,16,42,30,Pass,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.865517,,47cf5729-18f8-47e4-a56a-c47d9d3d3cb0,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,65.4,41.4,,True,,,,,,,,,,,,,,,,,,,,,,,,,5dbd97cd-40c4-4349-be77-350baac64387,,26222.0,José Eduardo Rosa Vale de Castro,17.600569,2.6245606,1.0,Ground Pass,50.1,50.1,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47cf5729-18f8-47e4-a56a-c47d9d3d3cb0,716,1,00:16:44.830,16,44,42,Ball Receipt*,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,df6a3880-6b33-4ea9-a236-8ba427818796,,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,50.1,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196ecee8-7dad-4aaf-8a51-4a8cfce2e36f,717,1,00:16:44.830,16,44,43,Carry,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.988655,,47cf5729-18f8-47e4-a56a-c47d9d3d3cb0,,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,50.1,50.1,,True,,,,,,,,,,,,,,,,,,,,,,,,,76a704e2-b1a8-4ab8-9482-989576d97304,caa29eb2-a387-425e-8351-bb1033f15727,,,,,,,,,,,,,49.9,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caa29eb2-a387-425e-8351-bb1033f15727,718,1,00:16:45.601,16,45,17,Pressure,45,360,Rayo Vallecano,1,Regular Play,207,Valencia,1.085429,,196ecee8-7dad-4aaf-8a51-4a8cfce2e36f,,20542.0,Álvaro Negredo Sánchez,23.0,Center Forward,66.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76a704e2-b1a8-4ab8-9482-989576d97304,719,1,00:16:47.819,16,47,30,Pass,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.690016,,4f55a341-0284-4f2e-b1ba-dd938b5124ab,,26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,49.9,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6914.0,Roberto Román Triguero,24.126749,-1.7080041,1.0,Ground Pass,46.6,25.7,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f55a341-0284-4f2e-b1ba-dd938b5124ab,720,1,00:16:49.509,16,49,42,Ball Receipt*,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,76a704e2-b1a8-4ab8-9482-989576d97304,,6914.0,Roberto Román Triguero,5.0,Left Center Back,46.6,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d229081b-021d-4b94-8bdc-8c26d6c7f21e,721,1,00:16:49.509,16,49,43,Carry,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.213546,,26e0cd66-ff05-4fa9-8782-4507cd1f735c,,6914.0,Roberto Román Triguero,5.0,Left Center Back,46.6,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4f55a341-0284-4f2e-b1ba-dd938b5124ab,,,,,,,,,,,,,,49.1,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26e0cd66-ff05-4fa9-8782-4507cd1f735c,722,1,00:16:51.722,16,51,30,Pass,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.67478,,371043cb-c5ba-4306-8afa-31d09fef14c2,,6914.0,Roberto Román Triguero,5.0,Left Center Back,49.1,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,8.64523,1.0502155,1.0,Ground Pass,53.4,26.7,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371043cb-c5ba-4306-8afa-31d09fef14c2,723,1,00:16:52.397,16,52,42,Ball Receipt*,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,26e0cd66-ff05-4fa9-8782-4507cd1f735c,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,53.4,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96e64a85-fba1-49d4-9f4e-ae44bf5576ff,724,1,00:16:52.397,16,52,43,Carry,45,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.883435,,371043cb-c5ba-4306-8afa-31d09fef14c2,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,53.4,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,67344a6d-6aae-4156-8b20-b76cca1c0b02,,,,,,,,,,,,,,53.7,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
