id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,related_events_1,related_events_2,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location_0,carry_end_location_1,related_events_3,pass_cross,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name
3318485c-a0ca-4890-96c9-88317df05598,60,1,00:00:50.547,0,50,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,2.10428,,46747a49-8bd4-4672-a58a-0362b6ad7b0d,9e6ddce0-9e74-40c1-9adf-589b336dde3b,ec0c0356-7449-42d4-a769-c83823ef13d9,6914,Roberto Román Triguero,2,Right Back,29.0,64.5,10612.0,Yoel Rodríguez Oterino,28.165583,-2.3963737,1.0,Ground Pass,8.3,45.4,40.0,Right Foot,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46747a49-8bd4-4672-a58a-0362b6ad7b0d,61,1,00:00:52.652,0,52,42,Ball Receipt*,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,3318485c-a0ca-4890-96c9-88317df05598,,,10612,Yoel Rodríguez Oterino,1,Goalkeeper,8.3,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95f6834a-afe1-437f-84a4-0353e2628fdc,62,1,00:00:52.652,0,52,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4.007887,,1720b9dc-501f-4d0c-bf18-8310d95ae444,b949e4e3-76bf-4362-93fb-18730cd630e3,,10612,Yoel Rodríguez Oterino,1,Goalkeeper,8.3,45.4,11542.0,Javier Guerra Rodríguez,61.78673,0.07776494,3.0,High Pass,69.9,50.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720b9dc-501f-4d0c-bf18-8310d95ae444,63,1,00:00:56.660,0,56,42,Ball Receipt*,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,95f6834a-afe1-437f-84a4-0353e2628fdc,,,11542,Javier Guerra Rodríguez,23,Center Forward,68.2,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b01f41fd-1861-4e98-9627-47f1803d9008,64,1,00:00:56.660,0,56,4,Duel,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,b949e4e3-76bf-4362-93fb-18730cd630e3,,,11542,Javier Guerra Rodríguez,23,Center Forward,69.9,50.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b949e4e3-76bf-4362-93fb-18730cd630e3,65,1,00:00:56.660,0,56,30,Pass,3,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,1.555599,,95f6834a-afe1-437f-84a4-0353e2628fdc,b01f41fd-1861-4e98-9627-47f1803d9008,d6014996-917a-4fbd-b504-bc1c3b5f7f4e,20016,Kléper Laveran Lima Ferreira,5,Left Center Back,50.2,29.9,,,18.88306,0.66150767,3.0,High Pass,65.1,41.5,,,64.0,Interception,,True,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6014996-917a-4fbd-b504-bc1c3b5f7f4e,66,1,00:00:58.215,0,58,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.813125,,97d8d197-8b5a-4d66-ba74-67f86d91db57,b949e4e3-76bf-4362-93fb-18730cd630e3,,4711,Pablo Hernández Domínguez,21,Left Wing,55.0,38.6,6852.0,Jozabed Sánchez Ruiz,13.6,0.0,2.0,Low Pass,68.6,38.6,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d8d197-8b5a-4d66-ba74-67f86d91db57,67,1,00:00:59.028,0,59,42,Ball Receipt*,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,d6014996-917a-4fbd-b504-bc1c3b5f7f4e,,,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,68.6,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0323141-73ec-4c85-8a65-26963127023b,68,1,00:00:59.028,0,59,43,Carry,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.12,,436ea431-e7bc-4cc9-afa4-f8a37f53ed2c,97d8d197-8b5a-4d66-ba74-67f86d91db57,,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,68.6,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436ea431-e7bc-4cc9-afa4-f8a37f53ed2c,69,1,00:00:59.148,0,59,30,Pass,3,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.024271,,94af9135-a62e-4890-b2cc-c9878d6152cf,,,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,68.6,38.6,11542.0,Javier Guerra Rodríguez,11.521285,1.5100018,1.0,Ground Pass,69.3,50.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
