id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,goalkeeper,dribble,duel,foul_committed,off_camera,clearance,shot,foul_won,interception,out,ball_recovery,bad_behaviour,substitution,pass,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,related_events,carry_end_location_0,carry_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,related_events_3,pass_cross,foul_won_defensive,player,position,location
54a79e44-f615-4dd6-a0fb-de7ef542b408,3153,2,00:46:47.911,91,47,42,Ball Receipt*,200,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,9b545037-09a9-4f30-a3df-6b90b10a6450,23761.0,Alhassane Bangoura,21.0,Left Wing,71.9,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7951256c-ee50-44d6-a21d-d2716d61aaad,3154,2,00:46:47.911,91,47,43,Carry,200,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,5.575649,,54a79e44-f615-4dd6-a0fb-de7ef542b408,23761.0,Alhassane Bangoura,21.0,Left Wing,71.9,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eedca5b6-63e7-4789-9881-03528d4fdb15,,,103.7,69.2,,,,,,,,,,,,,,,,,,,,
eedca5b6-63e7-4789-9881-03528d4fdb15,3155,2,00:46:53.487,91,53,30,Pass,200,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.766076,,,23761.0,Alhassane Bangoura,21.0,Left Wing,103.7,69.2,,,23.46167,-1.4982742,3.0,High Pass,105.4,45.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,True,,,,
e596d69c-0963-4d00-b4a6-8e13b28ca823,3156,2,00:46:55.416,91,55,22,Foul Committed,200,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,510c3ed9-8789-4943-9dd4-0b58bac86edc,26690.0,Alberto Mateus Contreiras Gonçalves,23.0,Center Forward,105.4,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510c3ed9-8789-4943-9dd4-0b58bac86edc,3157,2,00:46:55.416,91,55,21,Foul Won,200,360,Rayo Vallecano,1,Regular Play,213,Sevilla,0.0,,e596d69c-0963-4d00-b4a6-8e13b28ca823,7948.0,Marco Andreolli,3.0,Right Center Back,14.7,34.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
0977ce59-8ec8-49f9-804b-d237908be5fc,3199,2,00:48:20.835,93,20,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.295898,,18a48496-835c-4508-ba18-32b81d20ed08,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,6.2,8.7,11543.0,José Antonio Dorado Ramírez,17.62328,0.94658905,1.0,Ground Pass,16.5,23.0,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,78512a02-bf53-4004-bb29-4d97188e0075,,,,,,,,,,,,,,,,,,,,,,,,
18a48496-835c-4508-ba18-32b81d20ed08,3200,2,00:48:22.131,93,22,42,Ball Receipt*,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,0977ce59-8ec8-49f9-804b-d237908be5fc,11543.0,José Antonio Dorado Ramírez,3.0,Right Center Back,16.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2912429-4624-49d9-a72b-af384471ad7b,3201,2,00:48:22.131,93,22,43,Carry,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.639098,,18a48496-835c-4508-ba18-32b81d20ed08,11543.0,José Antonio Dorado Ramírez,3.0,Right Center Back,16.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871bd7f2-bae0-41dd-9768-c2640797eec6,,,15.9,22.5,,,,,,,,,,,,,,,,,,,,
871bd7f2-bae0-41dd-9768-c2640797eec6,3202,2,00:48:22.770,93,22,30,Pass,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.236067,,49e5d1d7-27f5-462e-aceb-a975199d7ef5,11543.0,José Antonio Dorado Ramírez,3.0,Right Center Back,15.9,22.5,6713.0,Diego Javier Llorente Ríos,17.36318,0.42758077,1.0,Ground Pass,31.7,29.7,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49e5d1d7-27f5-462e-aceb-a975199d7ef5,3203,2,00:48:24.006,93,24,42,Ball Receipt*,202,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,871bd7f2-bae0-41dd-9768-c2640797eec6,6713.0,Diego Javier Llorente Ríos,5.0,Left Center Back,31.7,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
