id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,foul_won,dribble,duel,counterpress,out,clearance,interception,shot,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,block,substitution,foul_committed,ball_recovery,miscontrol,bad_behaviour,goalkeeper,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_type_id,pass_type_name,related_events_2,related_events,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate
8594e84a-1acb-4409-a02d-98062e3884d6,1538,2,00:02:02.062,47,2,23,Goal Keeper,96,360,Rayo Vallecano,1,Regular Play,1041,Sporting Gijón,0.0,,1fdc6fcf-e4af-4231-a915-d923b57217bd,,11537,Alberto García Cabrera,1,Goalkeeper,0.9,40.1,,,,,,,,,,,,,26.0,Goal Conceded,55.0,No Touch,46.0,Standing,43.0,Prone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16af9a80-755a-473b-8a39-20fecd178633,1540,2,00:02:48.112,47,48,2,Ball Recovery,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,38449682-9e24-4707-a164-c41f4277aaf8,True,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,62.4,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0df50fe2-a2e9-4368-a5e5-639fb50ed5b1,1541,2,00:02:51.737,47,51,30,Pass,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.074668,,088baa3f-fcef-4693-a887-f5180ccf5d7e,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,52.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10727.0,Răzvan Dincă Raț,22.905895,-1.0798118,1.0,Ground Pass,62.8,5.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088baa3f-fcef-4693-a887-f5180ccf5d7e,1542,2,00:02:52.812,47,52,42,Ball Receipt*,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,0df50fe2-a2e9-4368-a5e5-639fb50ed5b1,,10727,Răzvan Dincă Raț,6,Left Back,62.8,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a80fb4d6-e3d1-460f-9118-e84a59465fc8,1543,2,00:02:52.812,47,52,43,Carry,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.862828,,088baa3f-fcef-4693-a887-f5180ccf5d7e,,10727,Răzvan Dincă Raț,6,Left Back,62.8,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ce1dc96-d427-4417-bb72-e3a78fa0c35e,66.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ce1dc96-d427-4417-bb72-e3a78fa0c35e,1544,2,00:02:54.675,47,54,30,Pass,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.130718,,2a5fa369-eb83-4664-ad41-c7df38dc4d66,,10727,Răzvan Dincă Raț,6,Left Back,66.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11542.0,Javier Guerra Rodríguez,23.84114,0.7022569,1.0,Ground Pass,84.5,21.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a5fa369-eb83-4664-ad41-c7df38dc4d66,1545,2,00:02:55.805,47,55,42,Ball Receipt*,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,3ce1dc96-d427-4417-bb72-e3a78fa0c35e,,11542,Javier Guerra Rodríguez,23,Center Forward,84.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4990d9f-9b08-4261-aabd-a3d4c2a3eb98,1546,2,00:02:55.805,47,55,43,Carry,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.081128,,2a5fa369-eb83-4664-ad41-c7df38dc4d66,,11542,Javier Guerra Rodríguez,23,Center Forward,84.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c739ef5-b465-4611-9f6d-034ce19f484c,84.5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c739ef5-b465-4611-9f6d-034ce19f484c,1547,2,00:02:55.886,47,55,30,Pass,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.980106,,3c1a011f-3561-49dd-8152-29d7b81ae29e,,11542,Javier Guerra Rodríguez,23,Center Forward,84.5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,5.748913,-2.91349,2.0,Low Pass,78.9,19.4,40.0,Right Foot,94ad37ce-f83e-4ed2-8da1-96bc782bef75,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94ad37ce-f83e-4ed2-8da1-96bc782bef75,1548,2,00:02:56.867,47,56,42,Ball Receipt*,98,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,7c739ef5-b465-4611-9f6d-034ce19f484c,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,75.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
