id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,carry,ball_receipt,counterpress,interception_outcome_id,interception_outcome_name,duel,shot,goalkeeper,clearance,foul_won,out,ball_recovery,block,dribble,foul_committed,miscontrol,substitution,bad_behaviour,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,interception,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,related_events,clearance_left_foot,clearance_right_foot,pass_cross,duel_outcome_id,duel_outcome_name,clearance_other,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,foul_won_defensive,pass_aerial_won,ball_recovery_recovery_failure,block_offensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_outswinging,related_events_3,dribble_outcome_id,dribble_outcome_name
55154bfd-cc5c-4789-80bb-9c985f6b450e,433,1,00:09:42.176,9,42,30,Pass,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.468909,,2d63eaef-a04b-4577-82b3-d24c7065a6fa,True,10727,Răzvan Dincă Raț,6,Left Back,89.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,26222.0,José Eduardo Rosa Vale de Castro,20.652603,2.9565423,2.0,Low Pass,68.9,3.9,,,,,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d63eaef-a04b-4577-82b3-d24c7065a6fa,434,1,00:09:43.645,9,43,42,Ball Receipt*,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,55154bfd-cc5c-4789-80bb-9c985f6b450e,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,68.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc6972c1-5e16-4f77-81c7-93a7e5377775,435,1,00:09:44.599,9,44,30,Pass,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.584855,,37bf261f-ad5d-4a3e-bba3-69aa8674de2c,,26222,José Eduardo Rosa Vale de Castro,5,Left Center Back,68.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,6713.0,Diego Javier Llorente Ríos,30.342215,2.1615412,2.0,Low Pass,52.0,29.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37bf261f-ad5d-4a3e-bba3-69aa8674de2c,436,1,00:09:46.183,9,46,42,Ball Receipt*,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,dc6972c1-5e16-4f77-81c7-93a7e5377775,,6713,Diego Javier Llorente Ríos,3,Right Center Back,52.0,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8610870a-5ca8-4131-b195-038b57be3abd,437,1,00:09:46.183,9,46,43,Carry,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,6.785141,,10afaaba-c8a3-4c5d-8f4b-3e3eb7bf5acd,,6713,Diego Javier Llorente Ríos,3,Right Center Back,52.0,29.1,,,,,,,,,,,,,,,,,,,,,37bf261f-ad5d-4a3e-bba3-69aa8674de2c,,56.8,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10afaaba-c8a3-4c5d-8f4b-3e3eb7bf5acd,438,1,00:09:52.969,9,52,30,Pass,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.120201,,510ef9f8-459d-4598-a104-9b254d3f59e5,,6713,Diego Javier Llorente Ríos,3,Right Center Back,56.8,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,11542.0,Javier Guerra Rodríguez,20.519747,-0.3741716,1.0,Ground Pass,75.9,46.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510ef9f8-459d-4598-a104-9b254d3f59e5,439,1,00:09:54.089,9,54,42,Ball Receipt*,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,10afaaba-c8a3-4c5d-8f4b-3e3eb7bf5acd,,11542,Javier Guerra Rodríguez,23,Center Forward,75.9,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161ba76d-d542-44c4-9b63-64fab49f1666,440,1,00:09:54.089,9,54,43,Carry,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.741894,,510ef9f8-459d-4598-a104-9b254d3f59e5,,11542,Javier Guerra Rodríguez,23,Center Forward,75.9,46.0,,True,,,,,,,,,,,,,,,,,,,a46317bd-dcd7-48bc-b138-427b0635a0c0,c0300ff8-e9d0-4a6a-8baf-339e10245473,76.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a46317bd-dcd7-48bc-b138-427b0635a0c0,441,1,00:09:54.254,9,54,17,Pressure,21,360,Rayo Vallecano,4,From Throw In,322,Eibar,0.961528,,161ba76d-d542-44c4-9b63-64fab49f1666,,6837,Mauro Javier Dos Santos,3,Right Center Back,41.4,35.7,,,,,,,,,,,,,,,,,,,,,c0300ff8-e9d0-4a6a-8baf-339e10245473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0300ff8-e9d0-4a6a-8baf-339e10245473,442,1,00:09:54.831,9,54,30,Pass,21,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.810252,,a46317bd-dcd7-48bc-b138-427b0635a0c0,,11542,Javier Guerra Rodríguez,23,Center Forward,76.7,46.0,,True,,,,,,,,,,,,,,,,,,,ae9f4df6-c6d2-450d-b006-b56c1029f457,,,,,9246.0,Patrick Ebert,11.139569,2.2735803,1.0,Ground Pass,69.5,54.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
