id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,off_camera,player,position,location,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,dribble,shot,goalkeeper,interception,foul_committed,foul_won,ball_recovery,out,miscontrol,block,substitution,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,pass_aerial_won,duel_type_id,duel_type_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head
05653049-b84f-43b8-8f19-b90eaec5b650,1,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,4231.0,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,13.0,6914.0,Roberto Román Triguero,2.0,Right Back,2.0,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,27.0,27144.0,Antonio Amaya Carazo,5.0,Left Center Back,4.0,11298.0,José Ignacio Martínez García,6.0,Left Back,3.0,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,10.0,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,8.0,11539.0,Adrián Embarba Blázquez,17.0,Right Wing,11.0,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,21.0,4711.0,Pablo Hernández Domínguez,21.0,Left Wing,14.0,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2b968a6-2889-438d-b1c0-f91a6e2a5fff,2,1,00:00:00.000,0,0,35,Starting XI,1,360,Rayo Vallecano,1,Regular Play,215,Athletic Club,0.0,4231.0,6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,1.0,6649.0,Óscar de Marcos Arana,2.0,Right Back,10.0,6788.0,Xabier Etxeita Gorritxategi,3.0,Right Center Back,16.0,4353.0,Aymeric Laporte,5.0,Left Center Back,4.0,6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,24.0,6388.0,Ander Iturraspe Derteano,9.0,Right Defensive Midfield,8.0,6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,7.0,6393.0,Iñaki Williams Arthuer,17.0,Right Wing,15.0,6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,22.0,6392.0,Íñigo Lekue Martínez,21.0,Left Wing,30.0,6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6ce5006-0aff-4008-88e2-55b4178921d6,3,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,1,Regular Play,215,Athletic Club,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df4ad8f3-2ced-40b2-94b0-cf6abc9ab56d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4ad8f3-2ced-40b2-94b0-cf6abc9ab56d,4,1,00:00:00.000,0,0,18,Half Start,1,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a6ce5006-0aff-4008-88e2-55b4178921d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57f259a1-fe83-4041-b748-465dc73e260b,5,1,00:00:00.393,0,0,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.365242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,391ae051-ebdc-4aa3-a233-005beb1b98df,6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,61.0,40.1,11542.0,Javier Guerra Rodríguez,1.5811388,-1.8925469,1.0,Ground Pass,60.5,38.6,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,
391ae051-ebdc-4aa3-a233-005beb1b98df,6,1,00:00:00.758,0,0,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57f259a1-fe83-4041-b748-465dc73e260b,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,60.5,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
328b9676-a8a3-418b-8bac-ccf507f97dd3,7,1,00:00:00.758,0,0,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.962186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ee6d7b8-3b05-4c95-a684-ed131582b394,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,59.9,39.8,26848.0,Roberto Trashorras Gayoso,16.819334,-3.0224,1.0,Ground Pass,43.2,37.8,40.0,Right Foot,,,,,,,,,,,,,,,,,
6ee6d7b8-3b05-4c95-a684-ed131582b394,8,1,00:00:01.721,0,1,42,Ball Receipt*,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328b9676-a8a3-418b-8bac-ccf507f97dd3,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,43.2,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4530eab-4592-4f63-8159-37bffb2d3409,9,1,00:00:01.721,0,1,43,Carry,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.065404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194d7eed-d399-4836-ac80-bbeb0d4e176a,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,43.2,37.8,,,,,,,,,,,,,6ee6d7b8-3b05-4c95-a684-ed131582b394,43.2,35.9,,,,,,,,,,,,
194d7eed-d399-4836-ac80-bbeb0d4e176a,10,1,00:00:02.786,0,2,30,Pass,2,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.517128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f6fa8ba7-b699-4fb5-afd3-60da68e3c213,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,43.2,35.9,27144.0,Antonio Amaya Carazo,15.384408,-1.8473103,1.0,Ground Pass,39.0,21.1,40.0,Right Foot,,,,,,,,,,,,,,,,,
